鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,土地,懷生段一小段331地號,10.75,都市：其他:道路用地(公共設施用地)。59/3/18,,,1140604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1059000,98512,,0.0,0,包含公共設施保留地用地；,RPQNMLQJOHKGFFA28EA,0.0,0.0,0.0,無,0001
信義區,車位,臺北市信義區吳興街１５６巷２２弄２號房屋地下二層,0.0,,,,1140502,土地0建物1車位1,地下二層,七層,其他,見使用執照,鋼筋混凝土造,0811110,16.04,0,0,0,無,有,750000,,升降機械,0.0,750000,建物坐落地號：三興段一小段762地號；僅車位交易；,RPPNMLSJNHKGFDA97DA,0.0,0.0,0.0,有,0002
士林區,土地,富安段三小段44-1地號,7.92,都市：其他:堤防用地(公共設施用地)(將來係採用區段徵收之方式辦理整體開發)。80/6/5,,,1140502,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,455300,57487,,0.0,0,包含公共設施保留地用地；,RPTNMLMJNHKGFEA87DA,0.0,0.0,0.0,無,0003
大安區,土地,仁愛段三小段422地號,48.0,都市：其他:道路用地(公共設施用地)。48/3/13,,,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,104167,,0.0,0,包含公共設施保留地用地；,RPWOMLPJNHKGFFA68DA,0.0,0.0,0.0,無,
大同區,房地(土地+建物),臺北市大同區民權西路２９２巷２２號,8.67,都市：其他:特定專用區(供一般商業使用)。,,,1140502,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0691211,38.33,1,1,1,有,無,8230000,214714,,0.0,0,,RPSNMLMJNHKGFBA47DA,33.25,5.08,0.0,無,0004
文山區,車位,臺北市文山區興隆路二段３０１巷２３號,1.83,住,,,1140505,土地2建物1車位1,一層,十三層,其他,住家用,鋼筋混凝土造,0990507,29.46,0,0,0,無,有,1950000,,坡道平面,0.0,1950000,僅車位交易；,RPPNMLMKNHKGFAA27EA,0.0,0.0,0.0,有,0005
內湖區,土地,東湖段六小段464地號,124.0,,,,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,16129,,0.0,0,包含公共設施保留地用地；,RPUOMLMKNHKGFCA97DA,0.0,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區撫遠街４００巷１６號二樓,18.04,都市：其他:住宅用地及道路用地(公共設施用地)(民生社區特定專用區)。,,,1140505,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600111,40.3,2,1,1,有,無,6750000,167494,,0.0,0,,RPRNMLPJNHKGFDA87DA,37.9,2.4,0.0,無,
士林區,土地,菁山段二小段254-2地號,5.84,都市：其他:保護區。,,,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,17123,,0.0,0,增值稅由買方負擔,RPSPMLMKNHKGFEA08DA,0.0,0.0,0.0,無,
南港區,土地,新光段三小段146地號,0.01,都市：其他:道路用地(公共設施用地)。61/2/7,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000,0,,0.0,0,僅供土地買賣包含公共設施保留地用地；,RPQNMLNKNHKGFDA77EA,0.0,0.0,0.0,無,
萬華區,土地,福星段一小段139地號,3.5,商,,,1140508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,857143,,0.0,0,未登記建物；,RPQNMLOKNHKGFBA57DA,0.0,0.0,0.0,無,0006
