編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMKKHKGFEA57CC,16,24.25,住家用,鋼筋混凝土造,97年8月18日,七層,,
RPRNMLMKKHKGFEA57CC,16,11.89,共有部分,鋼筋混凝土造,97年8月18日,七層,,
RPQPMLMKKHKGFCA47CC,33,32.63,住家用,鋼筋混凝土造,80年10月21日,十二層,,
RPQPMLMKKHKGFCA47CC,33,5.58,共有部分,鋼筋混凝土造,80年10月21日,十二層,,
RPQPMLMKKHKGFBA37CC,44,59.04,住家用,鋼筋混凝土造,70年4月2日,十層,,
RPOPMLMKKHKGFCA27CC,44,15.79,住家用,鋼筋混凝土造,70年5月15日,十二層,,
RPQPMLMKKHKGFCA47CC,33,9.40,共有部分,鋼筋混凝土造,80年10月21日,十二層,,
RPQPMLMKKHKGFBA37CC,44,14.76,共有部分,鋼筋混凝土造,70年4月2日,十層,,
RPOPMLMKKHKGFCA27CC,44,4.32,共有部分,鋼筋混凝土造,70年5月15日,十二層,,
RPXNMLMKKHKGFFA28CC,35,1404.60,見使用執照,鋼筋混凝土造,79年2月9日,十六層,,
RPXNMLMKKHKGFFA28CC,35,140.00,共有部分,鋼筋混凝土造,79年2月9日,十六層,,
RPQOMLMKKHKGFCA37CC,33,59.65,住家用,鋼筋混凝土造,80年11月25日,六層,,
RPQOMLMKKHKGFCA37CC,33,4.06,住家用,鋼筋混凝土造,80年11月25日,六層,,
RPQOMLMKKHKGFCA37CC,33,85.97,住家用,鋼筋混凝土造,80年11月25日,六層,,
RPQOMLMKKHKGFCA37CC,33,20.87,共有部分,鋼筋混凝土造,80年11月25日,六層,,
RPRPMLMKKHKGFBA47CC,44,18.83,見使用執照,鋼筋混凝土造,70年7月6日,八層,,
RPRPMLMKKHKGFBA47CC,44,3.65,共有部分,鋼筋混凝土造,70年7月6日,八層,,
RPRPMLMKKHKGFBA47CC,44,4.49,共有部分,鋼筋混凝土造,70年7月6日,八層,,
RPOOMLMKKHKGFFA47CC,17,34.58,住家用,鋼筋混凝土造,97年1月25日,十二層,,
RPOOMLMKKHKGFFA47CC,17,7.24,共有部分,鋼筋混凝土造,97年1月25日,十二層,,
RPOOMLMKKHKGFFA47CC,17,9.02,共有部分,鋼筋混凝土造,97年1月25日,十二層,,
RPSNMLNKKHKGFBA47CC,60,98.56,住家用,加強磚造,54年7月22日,四層,,
RPXNMLNKKHKGFBA97CC,44,22.44,住家用,鋼筋混凝土造,70年2月12日,十二層,,
RPXNMLNKKHKGFBA97CC,44,6.78,,鋼筋混凝土造,70年2月12日,十二層,,
RPRNMLNKKHKGFBA37CC,50,70.82,住家用,鋼筋混凝土造,64年1月7日,四層,,
RPOOMLNKKHKGFBA17CC,48,52.13,住家用,鋼筋混凝土造,65年8月20日,五層,,
RPOOMLNKKHKGFBA17CC,48,5.58,共有部分,鋼筋混凝土造,65年8月20日,五層,,
RPRNMLNKKHKGFDA57CC,42,56.88,商業用,鋼筋混凝土造,71年9月7日,十二層,,
RPRNMLNKKHKGFDA57CC,42,14.01,共有部分,鋼筋混凝土造,71年9月7日,十二層,,
RPSNMLNKKHKGFDA67CC,41,50.05,集合住宅,鋼筋混凝土造,73年6月8日,十五層,,
RPSNMLNKKHKGFDA67CC,41,18.34,共有部分,鋼筋混凝土造,73年6月8日,十五層,,
RPOOMLMKKHKGFBA07CC,53,71.00,住家用,鋼筋混凝土造,60年12月3日,四層,,
RPTNMLNKKHKGFDA77CC,48,106.36,住家用,鋼筋混凝土造,65年12月30日,四層,,
