編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUOMLRKKHKGFCA28CC,坡道平面,4000,40.75,地下四樓
RPPOMLRKKHKGFEA97CC,坡道平面,0,30.21,地下一樓
RPTOMLSKKHKGFEA48CC,坡道平面,0,31.92,地下四樓
RPQOMLTKKHKGFDA18CC,坡道平面,5000,43.15,地下四樓
RPQOMLTKKHKGFDA18CC,坡道平面,5000,43.15,地下四樓
RPTNMLTKKHKGFBA18CC,坡道平面,0,,地下一樓
RPVNMLLLKHKGFCA77CC,一樓平面,0,,一樓
RPWNMLLLKHKGFCA87CC,坡道平面,0,40.90,地下三樓
RPTNMLNLKHKGFCA77CC,坡道平面,0,47.52,地下三樓
RPSNMLPLKHKGFBA77CC,坡道平面,0,36.73,地下三樓
RPRNMLPLKHKGFCA77CC,坡道平面,0,33.64,一樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道平面,0,47.51,地下二樓
RPOQMLPLKHKGFDA87CC,坡道機械,0,47.51,地下三樓
RPOQMLPLKHKGFDA87CC,坡道機械,0,47.51,地下三樓
RPXNMLQLKHKGFDA58CC,坡道平面,0,47.29,地下三樓
RPWNMLRLKHKGFAA28CC,坡道平面,0,37.92,地下二樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPPNMLQLKHKGFFA97CC,升降平面,0,,地下三樓
RPUOMLRLKHKGFCA38CC,坡道平面,0,47.45,地下二樓
RPPNMLRLKHKGFEA97CC,坡道平面,0,,地下三樓
RPOOMLNJLHKGFCA27CC,坡道平面,0,38.56,地下一樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下二樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下二樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下二樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下二樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下四樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下四樓
RPVNMLNJLHKGFDA97CC,坡道平面,0,37.41,地下四樓
RPUOMLNJLHKGFBA77CC,升降機械,0,,地下二樓
RPUOMLNJLHKGFFA18CC,坡道平面,0,,地下四樓
RPUOMLNJLHKGFFA18CC,坡道平面,0,,地下四樓
RPROMLOJLHKGFDA77CC,坡道平面,0,33.76,地下三樓
RPPNMLOJLHKGFEA57CC,坡道平面,0,36.97,地下二樓
