編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKNHKGFAB67EA,31,.88,梯間、人行道、機械室、防空避難室、水箱,鋼筋混凝土造,83年7月28日,十六層,,持分移轉
RPRNMLNKNHKGFAB67EA,31,15.71,停車空間,鋼筋混凝土造,83年7月28日,十六層,地下三層,持分移轉
RPRNMLTJNHKGFKB09DA,37,17.32,住家用,鋼筋混凝土造,77年8月1日,五層,一層 平台,全筆移轉
RPRNMLTJNHKGFKB09DA,37,3.70,走廊,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPRNMLTJNHKGFKB09DA,37,2.94,突出物、梯間、人行道、避難室,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPQNMLQKNHKGFFB28DA,32,14.85,地下室、機械室、水箱、梯間、走道,鋼筋混凝土造,82年6月27日,十三層,,持分移轉
RPQNMLQKNHKGFFB28DA,32,58.92,住家用,鋼筋混凝土造,82年6月27日,十三層,三層 陽台,全筆移轉
RPRPMLPJNHKGFCB08DA,19,52.91,住房、停車空間、樓梯間、水箱,鋼筋混凝土造,95年7月4日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPVNMLNKNHKGFJB88DA,40,6.97,避難室、梯間,鋼筋混凝土造,74年1月11日,,,持分移轉
RPVNMLNKNHKGFJB88DA,40,35.21,住家用,鋼筋混凝土造,74年1月11日,四層,二層,全筆移轉
RPPNMLMKNHKGFCB47DA,36,15.88,住家用,鋼筋混凝土造,78年10月28日,五層,四層 陽台 花台,全筆移轉
RPPNMLMKNHKGFCB47DA,36,5.42,避難室、人行道、水箱、走道,鋼筋混凝土造,78年10月28日,五層,,持分移轉
RPOOMLOKNHKGFBB57DA,,64.99,集合住宅,鋼筋混凝土造,114年1月16日,二十四層,六層 陽台,全筆移轉
RPOOMLOKNHKGFBB57DA,,59.88,本共有部份係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，排煙室，樓梯間，一般昇降機，緊急昇降機，汙水機械室，機械室，消防機房，水箱，車道，一般安全梯，停車空間，電信室，水景機械室，戲水池機房，緊急發電機室，台電配電室，消防蓄水池，電錶室，防災中心，消防中繼機房，梯廳，公設管委會使用空間，門廳，儲藏室，管理室，特別安全梯，梯間，消防水箱，水錶箱室，電梯機房等３２項。,鋼筋混凝土造,114年1月16日,二十四層,,持分移轉
RPPNMLKKNHKGFBB17DA,1,110.81,集合住宅,鋼筋混凝土造,113年8月29日,十一層,三層 陽台,全筆移轉
RPPNMLKKNHKGFBB17DA,1,117.83,本共有部分係依使用執照之建築概要表記載項目有：停車空間、電梯間、安全梯、昇降機間、機械房（消防機械室及發電機室、汙雨水機房）、防空避難室兼停車空間、水箱、機械房（電信室）、台電配電場所、管委會使用空間、車道、梯廳、樓梯間、機械房（水表室）、機械房（電梯機房）等１５項,鋼筋混凝土造,113年8月29日,十一層,,持分移轉
RPQNMLTJNHKGFKB98DA,37,16.51,住家用,鋼筋混凝土造,77年8月1日,五層,四層 陽台,全筆移轉
RPQNMLTJNHKGFKB98DA,37,3.34,走廊,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPQNMLTJNHKGFKB98DA,37,2.94,突出物、梯間、人行道、避難室,鋼筋混凝土造,77年8月1日,五層,,持分移轉
RPWNMLQKNHKGFAB38DA,31,24.68,住家用,鋼筋混凝土造,83年2月8日,八層,四層,全筆移轉
RPWNMLQKNHKGFAB38DA,31,9.73,停車空間．機械房．水箱．集合住宅．防空避難室．人行道．梯間,鋼筋混凝土造,83年2月8日,八層,,持分移轉
RPTOMLRJNHKGFBB28DA,31,53.42,共有部份,鋼筋混凝土造,83年10月5日,十三層,,持分移轉
RPTOMLRJNHKGFBB28DA,31,104.35,住家用,鋼筋混凝土造,83年10月5日,十三層,十三層 陽台 花台,全筆移轉
RPOPMLPJNHKGFBB67DA,53,168.60,商業用,鋼筋混凝土加強磚造,61年10月1日,三層,一層 二層 三層 騎樓,全筆移轉
RPVOMLQJNHKGFAB28DA,35,16.96,住家用,鋼筋混凝土造,79年6月25日,十二層,七層 花台,全筆移轉
RPVOMLQJNHKGFAB28DA,35,7.19,人行道．梯間．走道．停車空間．水箱．機械室．避難室,鋼筋混凝土造,79年6月25日,十二層,,持分移轉
RPSNMLMJNHKGFBB57DA,33,25.14,住家用,鋼筋混凝土造,81年4月29日,七層,四層,全筆移轉
RPSNMLMJNHKGFBB57DA,33,11.51,共有部份,鋼筋混凝土造,81年4月29日,七層,,持分移轉
RPWVMLTJNHKGFBB86DA,43,78.43,住家用,鋼筋混凝土造,70年12月18日,十層,八層 陽台,全筆移轉
RPPNMLQKNHKGFAB67DA,30,23.76,辦公室,鋼筋混凝土造,84年6月28日,十三層,六層 花台,全筆移轉
