鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
后里區,房地(土地+建物),臺中市后里區水門路18號旁,15.99,,鄉村區,乙種建築用地,1140212,土地1建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,49.72,1,1,1,有,無,4885000,98250,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費；毛胚屋；,RPPNMLMKKHKGFDB27CB,銘佳最美,1棟5D號,
烏日區,房地(土地+建物)+車位,臺中市烏日區慶光路100號,18.73,,特定農業區,甲種建築用地,1140211,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,95.61,1,2,1,有,無,7400000,84243,一樓平面,23.2,1300000,,RPRNMLMKKHKGFIB97CB,旺聖豪景,B棟B7號,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德八路二段,46.01,住,,,1140214,土地1建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.05,3,2,2,有,無,37900000,218663,坡道平面,30.7,2400000,,RPRNMLOKKHKGFBB47CB,順天KING'S ROAD,B棟12F-5號,
北屯區,房地(土地+建物),臺中市北屯區敦富路,7.38,商,,,1140211,土地1建物1車位0,五層,24,辦公商業大樓,商業用,鋼筋混凝土造,,65.12,0,0,0,無,無,9270000,142353,,0.0,0,,RPPNMLQKKHKGFBB47CB,浩瀚創立方,B19棟0號,
南區,房地(土地+建物)+車位,臺中市南區復興路二段,26.35,商,,,1140217,土地3建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,208.83,4,2,3,有,無,26020000,134328,坡道平面,34.48,2600000,,RPPNMLRKKHKGFAB47CB,富宇青沐,02F-A7號,
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路二段、崇德二路二段、仁平街、水連街,45.67,住,,,1140217,土地1建物1車位3,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,261.17,4,2,2,有,無,45450000,232593,坡道平面,94.14,6600000,,RPPNMLRKKHKGFBB57CB,惠宇仁平MY PARK,12F-A號,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路,11.27,其他,,,1140214,土地1建物1車位1,二十層,34,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,150.29,3,2,2,有,無,31020000,236223,坡道平面,31.25,2900000,,RPPNMLRKKHKGFCB67CB,遠雄琉蘊,A棟A02F20號,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路,10.99,其他,,,1140215,土地1建物1車位1,十二層,34,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,147.23,3,2,2,有,無,33810000,268236,坡道平面,31.25,2700000,,RPQNMLRKKHKGFCB77CB,遠雄琉蘊,B棟B07F12號,
西屯區,房地(土地+建物)+車位,臺中市西屯區惠民段7、9、9-1、9-2號地號等4筆,5.19,其他,,,1140212,土地4建物1車位1,十七層,35,辦公商業大樓,商業用,見其他登記事項,,104.0,0,0,1,有,無,24100000,247194,坡道平面,15.81,2300000,,RPPOMLRKKHKGFCB77CB,市政壹號廣場,A02-17號,
