鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
暖暖區,房地(土地+建物),基隆市暖暖區國安路,8.75,住,,,1140211,土地2建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.17,3,2,2,有,無,15620000,160749,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；,RPVNMLOKKHKGFDC18CB,美麗上城,B棟05號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,29.71,住,,,1140215,土地17建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.69,3,2,2,有,無,17310000,125346,坡道平面,23.75,1900000,,RPPNMLTKKHKGFDC08CB,白天鵝安幔,B棟B5-08F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,21.08,住,,,1140222,土地17建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.97,2,2,2,有,無,12750000,127264,坡道平面,23.75,1650000,,RPPNMLQLKHKGFDC87CB,白天鵝安幔,A棟A6-12F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,21.33,住,,,1140216,土地17建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.06,2,2,2,有,無,12700000,123429,坡道平面,23.75,1800000,,RPQNMLQLKHKGFDC97CB,白天鵝安幔,B棟B6-07F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,17.99,住,,,1140222,土地17建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.89,2,2,1,有,無,10750000,120718,坡道平面,23.75,1800000,,RPRNMLQLKHKGFDC08CB,白天鵝安幔,B棟B11-04F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,21.73,住,,,1140220,土地17建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.75,2,2,2,有,無,13130000,125889,坡道平面,23.75,1800000,,RPSNMLQLKHKGFDC18CB,白天鵝安幔,B棟B9-09F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,24.42,住,,,1140217,土地17建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.58,3,2,2,有,無,14370000,124665,坡道平面,23.75,1800000,,RPTNMLQLKHKGFDC28CB,白天鵝安幔,B棟B14-13F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,24.82,住,,,1140301,土地17建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.6,3,2,2,有,無,14380000,122314,坡道平面,23.75,1800000,,RPPNMLOJLHKGFDC57CB,白天鵝安幔,B棟B13-10F號,
安樂區,房地(土地+建物)+車位,基隆市安樂區武崙街,24.42,住,,,1140226,土地17建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.91,3,2,2,有,無,14200000,121590,坡道平面,23.75,1900000,,RPQNMLOJLHKGFDC67CB,白天鵝安幔,B棟B2-06F號,
