編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLOKKHKGFDC18CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPVNMLOKKHKGFDC18CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPPNMLTKKHKGFDC08CB,武嶺段,.13,都市：住,100000,365,持分移轉,05220004
RPPNMLTKKHKGFDC08CB,武嶺段,1.68,都市：住,100000,365,持分移轉,05260000
RPPNMLTKKHKGFDC08CB,武嶺段,.03,都市：住,100000,365,持分移轉,05330000
RPPNMLTKKHKGFDC08CB,武嶺段,.51,都市：住,100000,365,持分移轉,05650000
RPPNMLTKKHKGFDC08CB,武嶺段,.36,都市：住,100000,365,持分移轉,05650001
RPPNMLTKKHKGFDC08CB,武嶺段,.02,都市：住,100000,365,持分移轉,05660017
RPPNMLTKKHKGFDC08CB,武嶺段,.15,都市：住,100000,365,持分移轉,05660019
RPPNMLTKKHKGFDC08CB,武嶺段,4.78,都市：住,100000,365,持分移轉,05660020
RPPNMLTKKHKGFDC08CB,武嶺段,3.82,都市：住,100000,365,持分移轉,05660021
RPPNMLTKKHKGFDC08CB,武嶺段,9.90,都市：住,100000,365,持分移轉,05660022
RPPNMLTKKHKGFDC08CB,武嶺段,.06,都市：住,100000,365,持分移轉,05660023
RPPNMLTKKHKGFDC08CB,武嶺段,1.68,都市：住,100000,365,持分移轉,05670002
RPPNMLTKKHKGFDC08CB,武嶺段,2.01,都市：住,100000,365,持分移轉,05680002
RPPNMLTKKHKGFDC08CB,武嶺段,.11,都市：住,100000,365,持分移轉,05680004
RPPNMLTKKHKGFDC08CB,武嶺段,.22,都市：住,100000,365,持分移轉,05680005
RPPNMLTKKHKGFDC08CB,武嶺段,4.02,都市：住,100000,365,持分移轉,05690002
RPPNMLTKKHKGFDC08CB,武嶺段,.24,都市：住,100000,365,持分移轉,05690003
RPPNMLLKLHKGFDC47DB,泰安段,27.74,都市：住,10000,128,持分移轉,02930000
RPTNMLQLKHKGFDC28CB,武嶺段,.11,都市：住,100000,300,持分移轉,05220004
RPTNMLQLKHKGFDC28CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05260000
RPTNMLQLKHKGFDC28CB,武嶺段,.02,都市：住,100000,300,持分移轉,05330000
RPTNMLQLKHKGFDC28CB,武嶺段,.42,都市：住,100000,300,持分移轉,05650000
RPTNMLQLKHKGFDC28CB,武嶺段,.30,都市：住,100000,300,持分移轉,05650001
RPTNMLQLKHKGFDC28CB,武嶺段,.01,都市：住,100000,300,持分移轉,05660017
RPTNMLQLKHKGFDC28CB,武嶺段,.13,都市：住,100000,300,持分移轉,05660019
RPTNMLQLKHKGFDC28CB,武嶺段,3.93,都市：住,100000,300,持分移轉,05660020
RPTNMLQLKHKGFDC28CB,武嶺段,3.14,都市：住,100000,300,持分移轉,05660021
RPTNMLQLKHKGFDC28CB,武嶺段,8.14,都市：住,100000,300,持分移轉,05660022
RPTNMLQLKHKGFDC28CB,武嶺段,.05,都市：住,100000,300,持分移轉,05660023
RPTNMLQLKHKGFDC28CB,武嶺段,1.38,都市：住,100000,300,持分移轉,05670002
RPTNMLQLKHKGFDC28CB,武嶺段,1.66,都市：住,100000,300,持分移轉,05680002
RPTNMLQLKHKGFDC28CB,武嶺段,.09,都市：住,100000,300,持分移轉,05680004
RPTNMLQLKHKGFDC28CB,武嶺段,.18,都市：住,100000,300,持分移轉,05680005
RPTNMLQLKHKGFDC28CB,武嶺段,3.30,都市：住,100000,300,持分移轉,05690002
RPTNMLQLKHKGFDC28CB,武嶺段,.20,都市：住,100000,300,持分移轉,05690003
RPRNMLLKLHKGFDC57CB,武嶺段,.13,都市：住,100000,365,持分移轉,05220004
RPRNMLLKLHKGFDC57CB,武嶺段,1.68,都市：住,100000,365,持分移轉,05260000
RPRNMLLKLHKGFDC57CB,武嶺段,.03,都市：住,100000,365,持分移轉,05330000
RPRNMLLKLHKGFDC57CB,武嶺段,.51,都市：住,100000,365,持分移轉,05650000
RPRNMLLKLHKGFDC57CB,武嶺段,.36,都市：住,100000,365,持分移轉,05650001
RPRNMLLKLHKGFDC57CB,武嶺段,.02,都市：住,100000,365,持分移轉,05660017
RPRNMLLKLHKGFDC57CB,武嶺段,.15,都市：住,100000,365,持分移轉,05660019
RPRNMLLKLHKGFDC57CB,武嶺段,4.78,都市：住,100000,365,持分移轉,05660020
RPRNMLLKLHKGFDC57CB,武嶺段,3.82,都市：住,100000,365,持分移轉,05660021
RPRNMLKKLHKGFDC47CB,福祿段,.30,都市：住,100000,2684,持分移轉,05080015
RPRNMLLKLHKGFDC57CB,武嶺段,9.90,都市：住,100000,365,持分移轉,05660022
RPRNMLKKLHKGFDC47CB,福祿段,5.48,都市：住,100000,2684,持分移轉,05080035
RPRNMLLKLHKGFDC57CB,武嶺段,.06,都市：住,100000,365,持分移轉,05660023
RPRNMLKKLHKGFDC47CB,福祿段,5.48,都市：住,100000,2684,持分移轉,05080036
RPRNMLKKLHKGFDC47CB,福祿段,15.56,都市：住,100000,2684,持分移轉,05080037
RPRNMLLKLHKGFDC57CB,武嶺段,1.68,都市：住,100000,365,持分移轉,05670002
RPRNMLLKLHKGFDC57CB,武嶺段,2.01,都市：住,100000,365,持分移轉,05680002
RPRNMLLKLHKGFDC57CB,武嶺段,.11,都市：住,100000,365,持分移轉,05680004
RPRNMLLKLHKGFDC57CB,武嶺段,.22,都市：住,100000,365,持分移轉,05680005
RPRNMLLKLHKGFDC57CB,武嶺段,4.02,都市：住,100000,365,持分移轉,05690002
RPRNMLLKLHKGFDC57CB,武嶺段,.24,都市：住,100000,365,持分移轉,05690003
