編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLKLKHKGFDC77CC,升降機械,0,,地下一樓
RPTNMLKLKHKGFDC77CC,升降機械,0,,地下一樓
RPTOMLPLKHKGFDC38CC,一樓平面,0,,一樓
RPTOMLPLKHKGFDC38CC,一樓平面,0,,一樓
RPXNMLNJLHKGFDC38CC,坡道平面,0,,地下二樓
RPXNMLNKLHKGFDC48CC,坡道平面,0,41.14,地下二樓
RPWOMLOKLHKGFDC58CC,坡道機械,2000,,地下一樓
RPROMLRKLHKGFDC38CC,坡道平面,3500,22.80,地下一樓
RPQNMLTKLHKGFDC38CC,坡道平面,3000,,地下一樓
RPPNMLNLLHKGFDC87DC,坡道平面,0,41.61,地下三樓
RPSNMLKLMHKGFDC87CC,坡道平面,0,32.08,地下二樓
RPUNMLKLMHKGFDC08CC,坡道平面,0,,地下一樓
RPWNMLMLMHKGFDC48CC,升降機械,0,17.52,地下五樓含以下
RPWOMLPJNHKGFDC78CC,坡道平面,2500,28.14,地下三樓
RPWNMLRJNHKGFDC88CC,坡道平面,2000,17.52,地下一樓
RPRNMLOLNHKGFDC28CC,坡道平面,0,27.14,地下三樓
