鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新營區,土地,新東段460地號,217.69,住,,,1140605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6574238,30200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJOHKGFDD28EA,0.0,0.0,0.0,無,
新營區,土地,周武段943-1地號,1.13,住,,,1140601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26000,23009,,0.0,0,,RPPNMLTJOHKGFDD58EA,0.0,0.0,0.0,無,
關廟區,土地,四甲段32地號,428.0,住,,,1140606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14000000,32710,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLTJNHKGFID76EA,0.0,0.0,0.0,無,
關廟區,土地,四甲段29地號,553.0,農,,,1140606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1450000,2622,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLTJNHKGFID86EA,0.0,0.0,0.0,無,
新化區,土地,新平段805地號,1424.15,住,,,1140604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,99085200,69575,,0.0,0,,RPPNMLOJOHKGFHD38DA,0.0,0.0,0.0,無,
南化區,土地,南化段1119-3地號,84.0,,山坡地保育區,丙種建築用地,1140602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,17857,,0.0,0,未登記建物；,RPPNMLKKOHKGFJD38EA,0.0,0.0,0.0,無,
新營區,房地(土地+建物),臺南市新營區新進路３１８巷１號,91.99,商,,,1140501,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130829,223.39,5,1,5,有,無,18200000,81472,,0.0,0,,RPQNMLLJNHKGFDD77EA,211.12,0.0,12.27,無,
西港區,土地,成功段1304地號,6.99,,鄉村區,乙種建築用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,140000,20029,,0.0,0,賣方賣清稅費均由買方負擔畸零地或有合併使用效益；,RPPNMLLJNHKGFGD87DA,0.0,0.0,0.0,無,0001
麻豆區,土地,港埔段1116地號,5096.0,,特定農業區,農牧用地,1140501,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20000000,3925,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLMJNHKGFFD97EA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺南市北區公園路１０９２巷２７弄３４號,3.94,住,,,1140501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0650203,6.79,4,2,2,有,無,300000,44183,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKMMHKGFAD08DA,6.79,0.0,0.0,無,0002
安平區,車位,臺南市安平區育平路２１２號地下層２樓,0.16,住,,,1140503,土地1建物1車位1,地下二層,十七層,其他,管理員室,鋼筋混凝土造,0840729,34.39,0,0,0,無,無,1300000,,坡道平面,0.0,1300000,僅車位交易；,RPPPMLPJNHKGFAD87DA,0.0,0.0,0.0,無,0003
後壁區,土地,竹新段619地號,457.39,,特定農業區,農牧用地,1140506,土地13建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,2842,,0.0,0,,RPRNMLRJNHKGFED48DA,0.0,0.0,0.0,無,
新營區,土地,姑爺段1490地號,757.0,,特定農業區,農牧用地,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,1189,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLQJNHKGFDD68DA,0.0,0.0,0.0,無,
新營區,房地(土地+建物),臺南市新營區富強街５７之１號七樓,34.55,住,,,1140505,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880513,185.87,3,2,3,有,有,3000000,16140,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJNHKGFDD48DA,128.87,0.0,7.22,有,
鹽水區,土地,番子厝段3498地號,1104.0,,特定農業區,農牧用地,1140501,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,453,,0.0,0,,RPPNMLPJNHKGFDD08EA,0.0,0.0,0.0,無,
後壁區,土地,新嘉段1047地號,85.21,,鄉村區,乙種建築用地,1140503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,721700,8470,,0.0,0,,RPPNMLQJNHKGFED28EA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區正興街１６１號五樓之１５,3.25,商,,,1140501,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830528,31.209999999999997,1,0,1,有,有,1000000,32041,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJNHKGFAD08EA,21.62,0.0,1.78,有,0004
安南區,土地,港西段223地號,199.71,住,,,1140502,土地15建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,5508,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLSJNHKGFBD18EA,0.0,0.0,0.0,無,
學甲區,土地,大灣段1347-1地號,160.0,,鄉村區,乙種建築用地,1140504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2736000,17100,,0.0,0,,RPPNMLTJNHKGFGD78EA,0.0,0.0,0.0,無,
歸仁區,房地(土地+建物),臺南市歸仁區沙崙二街１２號,89.0,,一般農業區,甲種建築用地,1140504,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830929,141.73,3,2,3,有,無,4900000,34573,,0.0,0,,RPROMLNJKHKGFID38EA,133.89,0.0,7.84,無,
新營區,房地(土地+建物),臺南市新營區民榮里裕民路１６巷９號,77.55,住,,,1140506,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681124,146.25,4,2,2,有,無,2440000,16684,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJNHKGFDD48DA,146.25,0.0,0.0,無,
下營區,土地,茅港尾段3716地號,2000.0,,特定農業區,農牧用地,1140504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,1200,,0.0,0,,RPQNMLMKNHKGFFD08DA,0.0,0.0,0.0,無,
永康區,房地(土地+建物),臺南市永康區正南五街２８９巷１１２號四樓,4.68,住,,,1140501,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830413,23.25,1,0,1,有,有,1080000,46452,,0.0,0,,RPSNMLMJNHKGFKD68DA,14.31,0.0,2.82,有,0005
鹽水區,土地,仁愛段702地號,258.07,住,,,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7020000,27202,,0.0,0,,RPSNMLTJNHKGFDD78EA,0.0,0.0,0.0,無,
柳營區,土地,篤農段918地號,66.94,,鄉村區,乙種建築用地,1140506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2834909,42350,,0.0,0,,RPPNMLNKNHKGFDD97EA,0.0,0.0,0.0,無,
