編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLJNHKGFDD77EA,1,223.39,Ｈ２住宅,鋼筋混凝土造,113年8月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPROMLNJKHKGFID38EA,31,141.73,住商用,鋼筋混凝土造,83年9月29日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLSJNHKGFAD08EA,31,3.49,共有部分,鋼筋混凝土造,83年5月28日,九層,,持分移轉
RPPNMLSJNHKGFAD08EA,31,4.33,共有部分,鋼筋混凝土造,83年5月28日,九層,,持分移轉
RPPNMLSJNHKGFAD08EA,31,23.40,住家用,鋼筋混凝土造,83年5月28日,九層,五層 陽台,全筆移轉
RPPNMLOKNHKGFDD08EA,,108.00,住商用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPUNMLTJNHKGFAD58DA,35,16.14,住家用,鋼筋混凝土造,79年4月10日,五層,五層 陽台,全筆移轉
RPUNMLTJNHKGFAD58DA,35,8.70,共有部分,鋼筋混凝土造,79年4月10日,五層,,持分移轉
RPPNMLPKNHKGFHD48DA,1,75.10,集合住宅,鋼筋混凝土造,113年8月20日,七層,三層 陽台,全筆移轉
RPPNMLPKNHKGFHD48DA,1,37.82,本共有部分之項目有停車空間、門廊、樓梯間、梯間、水箱及機械室等６項,鋼筋混凝土造,113年8月20日,七層,,持分移轉
RPPNMLQKNHKGFDD28EA,25,223.28,住家用,鋼筋混凝土造,89年7月27日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPSOMLOKNHKGFKD09DA,33,87.92,住家用,鋼筋混凝土造,81年6月4日,七層,五層 陽台,全筆移轉
RPSOMLOKNHKGFKD09DA,33,31.42,共有部分,鋼筋混凝土造,81年6月4日,七層,,持分移轉
RPVNMLSJNHKGFBD68DA,38,111.31,住家用,鋼筋混凝土造,76年10月19日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPXNMLQKNHKGFAD68DA,44,96.22,住家用,加強磚造,70年1月23日,二層,一層 二層,全筆移轉
RPSNMLMJNHKGFKD68DA,31,17.13,住家用,鋼筋混凝土造,83年4月13日,七層,四層 陽台,全筆移轉
RPSNMLMJNHKGFKD68DA,31,6.12,共有部分,鋼筋混凝土造,83年4月13日,七層,,持分移轉
RPTNMLMKNHKGFAD87DA,34,23.08,住家用,鋼筋混凝土造,79年11月26日,五層,五層 陽台 花台,全筆移轉
RPTNMLMKNHKGFAD87DA,34,9.57,共有部分,鋼筋混凝土造,79年11月26日,五層,,持分移轉
RPUNMLTKNHKGFED09DA,45,91.63,住家用,加強磚造,69年6月7日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQOMLPJNHKGFID68DA,,396.95,住家用,鋼筋混凝土造,113年12月25日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPPPMLPJNHKGFAD87DA,30,.04,管理員室,鋼筋混凝土造,84年7月29日,十七層,地下二層,持分移轉
RPPPMLPJNHKGFAD87DA,30,34.35,共有部分,鋼筋混凝土造,84年7月29日,十七層,,持分移轉
RPPOMLNKNHKGFKD68DA,32,25.22,住家用,鋼筋混凝土造,82年8月27日,十五層,八層 陽台,全筆移轉
RPPOMLNKNHKGFKD68DA,32,3.23,停車場。,鋼筋混凝土造,82年8月27日,十六層,地下二層,持分移轉
RPPOMLNKNHKGFKD68DA,32,6.80,共有部分,鋼筋混凝土造,82年8月27日,十五層,,持分移轉
RPPOMLNKNHKGFKD68DA,32,3.83,避難室兼停車空間、梯間、清水池、配電室、門廊、消防泵浦間、交誼廳、乒乓球室。,鋼筋混凝土造,82年8月27日,十六層,,持分移轉
RPQNMLMKNHKGFHD38EA,33,269.84,住商用,鋼筋混凝土造,81年6月22日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPSOMLTKNHKGFAD58DA,,29.92,住家用,木造,51年0月0日,一層,一層,全筆移轉
RPSNMLOKNHKGFCD18DA,29,24.69,住家用,鋼筋混凝土造,85年2月3日,十六層,六層 陽台,全筆移轉
RPSNMLOKNHKGFCD18DA,29,3.71,共有部分,鋼筋混凝土造,85年2月3日,十六層,,持分移轉
RPSNMLOKNHKGFCD18DA,29,3.59,共有部分,鋼筋混凝土造,85年2月3日,十六層,,持分移轉
RPWNMLKMMHKGFAD08DA,49,6.79,住家用,鋼筋混凝土造,65年2月3日,三層,一層 二層 三層,持分移轉
RPTNMLQKNHKGFKD66DA,26,67.54,住家用,鋼筋混凝土造,88年8月24日,十四層,十一層 陽台,全筆移轉
RPTNMLQKNHKGFKD66DA,26,1.81,共有部分,鋼筋混凝土造,88年8月24日,十四層,,持分移轉
RPTNMLQKNHKGFKD66DA,26,16.42,共有部分,鋼筋混凝土造,88年8月24日,十四層,,持分移轉
RPTNMLQKNHKGFKD66DA,26,14.46,共有部分,鋼筋混凝土造,88年8月24日,十四層,,持分移轉
RPUNMLPKNHKGFCD48DA,34,16.05,住家用,鋼筋混凝土造,80年1月17日,七層,六層 陽台,全筆移轉
RPUNMLPKNHKGFCD48DA,34,5.32,共有部分,鋼筋混凝土造,80年1月17日,七層,,持分移轉
RPQNMLMKNHKGFCD77DA,34,314.28,住家用,鋼筋混凝土造,79年11月26日,四層,一層 二層 三層 四層 陽台 地下層,全筆移轉
RPPNMLSJNHKGFDD28DA,29,586.12,住商用,鋼筋混凝土造,85年5月7日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓,全筆移轉
RPQNMLTJNHKGFDD48DA,45,146.25,住商用,鋼筋混凝土造,68年11月24日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLSJNHKGFDD48DA,26,136.09,住家用,鋼筋混凝土造,88年5月13日,七層,七層 陽台,全筆移轉
RPRNMLSJNHKGFDD48DA,26,49.78,共有部分,鋼筋混凝土造,88年5月13日,七層,,持分移轉
RPUNMLPKNHKGFKD66DA,30,68.16,住家用,鋼筋混凝土造,84年9月8日,十九層,十九層 陽台,全筆移轉
RPUNMLPKNHKGFKD66DA,30,24.07,共有部分,鋼筋混凝土造,84年9月8日,十九層,,持分移轉
RPUNMLOKNHKGFAD18DA,49,113.02,住家用,鋼筋混凝土造,65年9月16日,三層,一層 二層 三層,全筆移轉
RPUNMLQKNHKGFID56DA,18,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,四層 雨遮,全筆移轉
RPUNMLQKNHKGFID56DA,18,5.12,共有部分,鋼筋混凝土造,96年9月20日,四層,,持分移轉
RPUNMLRJNHKGFCD58DA,50,102.28,住家用,加強磚造,64年5月10日,二層,一層 二層 屋頂突出物,全筆移轉
RPSNMLKLNHKGFED08DA,43,105.96,住家用,加強磚造,71年9月30日,二層,一層 二層 陽台,全筆移轉
RPSOMLPKNHKGFAD18DA,9,157.37,集合住宅,鋼筋混凝土構造,105年6月4日,二十七層,二十四層 陽台,全筆移轉
RPSOMLPKNHKGFAD18DA,9,65.98,共有部分包括：樓梯間、門廳、公共服務空間、管理委員會使用空間、機械室、水箱、防空避難設備兼停車空間、停車空間。,鋼筋混凝土構造,105年6月4日,二十七層,,持分移轉
RPSOMLPKNHKGFAD18DA,9,40.93,共有部分包括：樓梯間、梯廳,鋼筋混凝土構造,105年6月4日,二十七層,,持分移轉
RPTOMLQJNHKGFCD48DA,42,13.01,共有部分,鋼筋混凝土造,71年11月22日,五層,,持分移轉
RPTOMLQJNHKGFCD48DA,42,63.02,住家用,鋼筋混凝土造,71年11月22日,五層,二層 陽台,全筆移轉
RPOOMLQJNHKGFCD97DA,26,98.32,集合住宅,鋼筋混凝土造,88年10月21日,十三層,八層 陽台,全筆移轉
RPOOMLQJNHKGFCD97DA,26,17.42,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
RPOOMLQJNHKGFCD97DA,26,34.36,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
RPVOMLKLNHKGFGD68DA,,64.44,集合住宅,鋼筋混凝土造,113年12月31日,五層,三層 陽台,全筆移轉
RPVOMLKLNHKGFGD68DA,,41.37,本共有部分之項目有停車空間、電信室、樓梯間、管理委員會使用空間等４項,鋼筋混凝土造,113年12月31日,五層,,持分移轉
RPPNMLSKNHKGFFD58DA,33,107.53,住家用,鋼筋混凝土造,81年6月1日,二層,一層 二層 陽台,全筆移轉
RPVNMLTKNHKGFFD66DA,30,173.50,住家用,鋼筋混凝土造,84年6月8日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPUNMLQKNHKGFFD88DA,36,172.65,住家用,鋼筋混凝土造,78年2月23日,二層,一層 二層 陽台 騎樓,全筆移轉
RPVNMLOKNHKGFKD66DA,,39.07,住家用,加強磚造,63年10月0日,二層,一層 二層 騎樓,持分移轉
RPPNMLLLNHKGFJD48EA,35,267.62,辦公室,ＲＣ造,79年9月19日,二層,一層 二層,全筆移轉
RPPNMLTKNHKGFBD38EA,41,20.84,零售市場，冷凍庫，機房，冰箱，避難室，停車場,鋼筋混凝土造,73年7月17日,一層,一層 屋頂突出物 地下一層,持分移轉
RPQNMLNKNHKGFAD67DA,32,201.50,住商用,鋼筋混凝土造,82年10月2日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLOKNHKGFCD97DA,29,28.33,住家用,鋼筋混凝土造,85年2月3日,十六層,三層 陽台,全筆移轉
RPQNMLOKNHKGFCD97DA,29,4.64,共有部分,鋼筋混凝土造,85年2月3日,十六層,,持分移轉
RPQNMLOKNHKGFCD97DA,29,4.24,共有部分,鋼筋混凝土造,85年2月3日,十六層,,持分移轉
RPVNMLKMMHKGFID78DA,35,201.73,住家用,鋼筋混凝土造,78年11月10日,二層,一層 二層 陽台 電梯樓梯間 夾層,持分移轉
RPRNMLLLNHKGFAD67DA,33,111.33,住家用,鋼筋混凝土造,81年9月29日,六層,地下層,全筆移轉
