編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTKKHKGFBD18CB,佃西段,15.07,都市：住,10000,23,持分移轉,12670000
RPPNMLRKKHKGFDD97CB,金華段,27.92,都市：住,10000,57,持分移轉,09090000
RPPNMLSKKHKGFID68DB,歸仁北段,37.45,都市：住,10000,439,持分移轉,16660000
RPPNMLRKKHKGFAD67CB,星鑽段,9.29,都市：其他:第二種觀光休閒特定專區,100000,388,持分移轉,24200000
RPPNMLMKKHKGFDD47CB,南新段,81.00,都市：住,1,1,全筆移轉,02580007
RPPNMLMKKHKGFDD47CB,南新段,16.28,都市：住,10000,1013,持分移轉,02580010
RPPNMLMKKHKGFDD47CB,南新段,6.56,都市：住,100000,3471,持分移轉,02580011
RPRNMLSKKHKGFHD68CB,新太段,36.92,都市：住,100000,6241,持分移轉,01100000
RPQNMLRKKHKGFHD48CB,光文段,.19,都市：住,100000,2472,持分移轉,06460000
RPQNMLRKKHKGFHD48CB,光文段,19.18,都市：住,100000,2472,持分移轉,06470000
RPQNMLRKKHKGFHD48CB,光文段,5.35,都市：住,100000,2472,持分移轉,06480000
RPQNMLTKKHKGFBD08CB,佃西段,15.07,都市：住,10000,23,持分移轉,12670000
RPPNMLQKKHKGFED97CB,竹新段,89.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08900015
RPPNMLQKKHKGFED97CB,竹新段,19.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,17,1,持分移轉,08900000
RPPNMLTKKHKGFBD97CB,淵南段,38.31,都市：住,100000,3747,持分移轉,05200000
RPQNMLQKKHKGFHD38CB,新太段,36.93,都市：住,100000,6243,持分移轉,01100000
RPTNMLTKKHKGFBD38CB,佃西段,20.32,都市：住,10000,31,持分移轉,12670000
RPPNMLLLKHKGFHD87CB,北小新段,46.38,都市：住,1,1,全筆移轉,04180014
RPPNMLLLKHKGFHD87CB,北小新段,23.60,都市：住,100000,20450,持分移轉,04180016
RPPNMLLLKHKGFHD87CB,北小新段,2.74,都市：住,100000,20297,持分移轉,04180017
RPPNMLTKKHKGFHD58CB,成功段,7.41,都市：住,100000,2031,持分移轉,06560000
RPPNMLTKKHKGFHD58CB,成功段,22.38,都市：住,100000,2031,持分移轉,06560002
RPQNMLTKKHKGFHD68CB,慶安段,17.64,都市：住,100000,275,持分移轉,02890000
RPPNMLKLKHKGFFD57CB,大屯寮段,122.00,都市：住,1,1,全筆移轉,10750036
RPRNMLTKKHKGFCD28CB,竹篙厝段,5.88,都市：住,100000,334,持分移轉,42700000
RPRNMLTKKHKGFCD28CB,竹篙厝段,3.21,都市：住,100000,334,持分移轉,42750000
RPRNMLTKKHKGFCD28CB,竹篙厝段,1.70,都市：住,100000,334,持分移轉,42750001
RPRNMLTKKHKGFCD28CB,竹篙厝段,.80,都市：住,100000,334,持分移轉,42770000
RPRNMLTKKHKGFCD28CB,竹篙厝段,5.54,都市：住,100000,334,持分移轉,42810000
RPPNMLOLKHKGFAD47CB,星鑽段,7.07,都市：其他:第二種觀光休閒特定專區,100000,295,持分移轉,24200000
RPRNMLTKKHKGFCD28CB,竹篙厝段,.39,都市：住,100000,334,持分移轉,42820000
RPQNMLMLKHKGFID18CB,深坑子段,23.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,227,持分移轉,03300000
RPPNMLMLKHKGFID08CB,深坑子段,23.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,227,持分移轉,03300000
RPRNMLKLKHKGFID08CB,清水段,17.89,都市：住,100000,4571,持分移轉,00520000
RPRNMLKLKHKGFID08CB,清水段,19.18,都市：住,100000,4571,持分移轉,00540000
RPRNMLOLKHKGFHD38CB,什美段,35.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3021,持分移轉,07150000
RPQNMLOLKHKGFGD28DB,佛天段,34.77,都市：住,10000,241,持分移轉,03480000
RPQNMLOLKHKGFKD58CB,平道段,23.83,都市：住,100000,285,持分移轉,00870000
RPPNMLKLKHKGFKD08CB,國聖段,19.75,都市：住,10000,95,持分移轉,02700000
RPQNMLNLKHKGFKD48CB,鹽行段,36.25,都市：住,100000,3669,持分移轉,14820000
RPPNMLNLKHKGFKD38CB,鹽行段,36.25,都市：住,100000,3669,持分移轉,14820000
RPPNMLOLKHKGFHD18CB,港口段,25.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1063,持分移轉,14910002
RPQNMLPLKHKGFGD28CB,草坔段,78.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03430059
RPQNMLPLKHKGFGD28CB,草坔段,16.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,34,1,持分移轉,03430060
RPQNMLPLKHKGFGD28CB,草坔段,.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,68,1,持分移轉,03460000
RPQNMLPLKHKGFGD28CB,草坔段,.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,81600,167,持分移轉,03560000
RPRNMLNLKHKGFKD58CB,國聖段,28.48,都市：住,10000,137,持分移轉,02700000
RPRNMLPLKHKGFGD38CB,鎮安段,64.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02450004
RPRNMLPLKHKGFGD38CB,鎮安段,15.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,02450006
RPTNMLPLKHKGFGD58CB,新樂段,72.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00010004
RPTNMLPLKHKGFGD58CB,新樂段,20.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,13,1,持分移轉,00010011
RPQNMLQLKHKGFHD48CB,胡厝寮段,9.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2125,持分移轉,07190003
RPQNMLQLKHKGFHD48CB,胡厝寮段,16.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2125,持分移轉,07200004
RPPNMLQLKHKGFID48CB,武東段,30.29,都市：住,100000,942,持分移轉,04850000
RPQNMLQLKHKGFID58CB,武東段,22.67,都市：住,100000,705,持分移轉,04850000
RPPNMLQLKHKGFHD38CB,新北段,17.12,都市：住,100000,362,持分移轉,01620000
RPSNMLQLKHKGFID78CB,武東段,23.50,都市：商,100000,173,持分移轉,02210000
RPRNMLQLKHKGFID68CB,武東段,22.67,都市：住,100000,705,持分移轉,04850000
RPPNMLQLKHKGFDD08DB,新電段,29.80,都市：住,100000,2794,持分移轉,05940000
RPPNMLOLKHKGFKD48CB,平道段,23.83,都市：住,100000,285,持分移轉,00870000
RPQNMLPLKHKGFCD87CB,裕東段,60.67,都市：住,1,1,全筆移轉,08040008
RPQNMLPLKHKGFCD87CB,裕東段,.25,都市：住,10,1,持分移轉,08040001
RPQNMLPLKHKGFCD87CB,裕東段,.06,都市：住,10,1,持分移轉,08040002
RPQNMLPLKHKGFCD87CB,裕東段,.02,都市：住,10,1,持分移轉,08040003
RPQNMLPLKHKGFCD87CB,裕東段,.02,都市：住,10,1,持分移轉,08040004
RPQNMLPLKHKGFCD87CB,裕東段,18.73,都市：住,10,1,持分移轉,08040009
RPQNMLPLKHKGFCD87CB,裕東段,.06,都市：住,10,1,持分移轉,08040010
RPQNMLPLKHKGFCD87CB,裕東段,.25,都市：住,10,1,持分移轉,08040011
RPQNMLPLKHKGFCD87CB,裕東段,.02,都市：住,10,1,持分移轉,08040013
RPQNMLPLKHKGFCD87CB,裕東段,.02,都市：住,10,1,持分移轉,08040014
