編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLNKKHKGFID48CC,坡道平面,500,26.19,地下二樓
RPQNMLOKKHKGFCD77CC,坡道平面,0,27.27,地下三樓
RPQNMLOKKHKGFCD77CC,坡道平面,0,27.27,地下三樓
RPPNMLOKKHKGFBD57CC,坡道平面,0,23.33,地下二樓
RPROMLRKKHKGFCD28CC,坡道平面,3300,,地下一樓
RPUNMLRKKHKGFHD98CC,一樓平面,1000,15.09,一樓
RPSNMLSKKHKGFAD18CC,坡道平面,0,,地下一樓
RPPNMLSKKHKGFGD48CC,一樓平面,0,13.81,一樓
RPROMLTKKHKGFAD28CC,坡道平面,0,27.86,地下一樓
RPROMLTKKHKGFAD28CC,坡道平面,0,27.86,地下一樓
RPROMLTKKHKGFAD28CC,坡道平面,0,27.86,地下三樓
RPXNMLTKKHKGFKD17CC,坡道平面,0,,地下一樓
RPPNMLKLKHKGFBD27CC,坡道平面,0,25.60,地下一樓
RPSNMLKLKHKGFKD48CC,坡道平面,800,,地下三樓
RPVNMLLLKHKGFAD87CC,坡道機械,0,24.50,地下四樓
RPQOMLLLKHKGFCD67CC,坡道平面,0,,地下一樓
RPUNMLLLKHKGFHD48CC,坡道平面,0,38.18,地下二樓
RPSNMLLLKHKGFBD67CC,坡道平面,0,24.39,地下一樓
RPVNMLLLKHKGFHD58CC,一樓平面,0,15.09,一樓
RPSNMLLLKHKGFID38CC,坡道平面,0,32.00,地下一樓
RPQOMLLLKHKGFKD48CC,坡道平面,0,,地下三樓
RPPNMLMLKHKGFHD08CC,坡道平面,0,27.71,地下二樓
RPQNMLOLKHKGFDD97CC,坡道平面,0,,地下一樓
RPWNMLOLKHKGFHD98CC,坡道平面,0,,地下一樓
RPRNMLOLKHKGFHD48CC,一樓平面,0,12.94,一樓
RPQOMLOLKHKGFKD78CC,坡道平面,3000,,地下三樓
RPUNMLOLKHKGFHD78CC,其他,0,5.53,一樓
RPXOMLOLKHKGFKD86CC,坡道平面,0,,地下三樓
RPUNMLPLKHKGFAD18CC,坡道平面,0,,地下一樓
RPRNMLPLKHKGFBD97CC,坡道平面,2000,17.23,一樓
RPVNMLPLKHKGFBD38CC,坡道平面,0,23.33,地下二樓
RPPOMLPLKHKGFBD87CC,坡道平面,0,24.62,地下二樓
RPTNMLPLKHKGFBD18CC,坡道平面,0,23.33,地下一樓
RPROMLPLKHKGFBD08CC,坡道平面,0,26.48,地下二樓
RPVNMLPLKHKGFAD28CC,升降機械,0,23.36,地下五樓含以下
RPQOMLPLKHKGFCD08CC,坡道平面,0,,地下一樓
RPSOMLPLKHKGFCD28CC,坡道平面,0,,地下三樓
RPUOMLPLKHKGFKD66CC,坡道平面,2500,58.97,地下四樓
RPTNMLQLKHKGFAD18CC,坡道平面,0,,地下一樓
RPWOMLPLKHKGFKD86CC,坡道機械,0,,地下二樓
RPXNMLQLKHKGFAD58CC,坡道平面,0,,地下一樓
RPXOMLQLKHKGFAD68CC,升降機械,0,14.45,一樓
RPSNMLQLKHKGFBD18CC,一樓平面,0,18.31,一樓
RPRNMLQLKHKGFBD08CC,坡道平面,0,29.71,地下一樓
RPOOMLQLKHKGFCD97CC,坡道平面,0,,地下一樓
RPPNMLQLKHKGFID58CC,坡道平面,0,20.61,地下二樓
RPSNMLQLKHKGFHD78CC,坡道平面,0,38.18,地下一樓
RPQNMLQLKHKGFID68CC,坡道平面,0,25.02,地下二樓
RPRNMLQLKHKGFKD98CC,坡道平面,0,,地下一樓
RPRNMLRLKHKGFAD08CC,坡道平面,0,28.20,地下三樓
RPSOMLQLKHKGFKD56CC,坡道平面,3000,,地下三樓
RPTNMLRLKHKGFAD28CC,坡道平面,0,28.76,地下二樓
RPROMLRLKHKGFAD18CC,坡道平面,0,38.26,地下四樓
RPTOMLRLKHKGFAD38CC,坡道機械,0,11.17,地下三樓
RPRNMLRLKHKGFBD18CC,坡道平面,500,29.98,地下一樓
RPSOMLRLKHKGFAD28CC,坡道平面,0,24.91,地下三樓
RPTNMLRLKHKGFBD38CC,坡道平面,0,,地下一樓
RPRNMLRLKHKGFCD28CC,坡道平面,0,33.74,地下二樓
RPRNMLRLKHKGFFD58CC,一樓平面,0,19.32,一樓
RPOOMLNJLHKGFAD37CC,坡道平面,0,,地下一樓
RPPNMLLJLHKGFAD17CC,坡道機械,0,23.36,地下四樓
RPPNMLLJLHKGFDD47CC,坡道平面,0,,地下一樓
RPVNMLNJLHKGFAD97CC,升降機械,0,12.10,地下五樓含以下
RPRNMLNJLHKGFBD67CC,坡道平面,0,29.79,地下三樓
RPPNMLNJLHKGFBD47CC,坡道平面,0,25.60,地下三樓
RPPNMLNJLHKGFKD38CC,坡道平面,0,,地下一樓
RPRNMLNJLHKGFHD38DC,一樓平面,0,16.91,一樓
RPVNMLPJLHKGFAD18CC,坡道平面,0,19.79,地下一樓
RPPOMLPJLHKGFAD67CC,坡道平面,2000,21.55,地下二樓
RPSNMLPJLHKGFAD87CC,坡道機械,0,23.19,地下四樓
RPOOMLQJLHKGFAD67CC,坡道機械,0,18.54,地下三樓
RPQOMLQJLHKGFAD87CC,坡道平面,1000,34.26,地下二樓
RPSOMLQJLHKGFAD08CC,坡道平面,0,34.39,地下二樓
RPRNMLQJLHKGFBD97CC,坡道平面,1000,34.87,地下二樓
RPQNMLQJLHKGFHD48CC,一樓平面,1500,,一樓
RPPNMLQJLHKGFKD68CC,一樓平面,1500,,一樓
RPTOMLQJLHKGFKD56CC,坡道平面,0,,地下一樓
RPROMLQJLHKGFKD98CC,一樓平面,1500,,一樓
RPQOMLQJLHKGFKD88CC,坡道平面,0,27.31,地下一樓
RPTOMLRJLHKGFAD28CC,坡道機械,0,11.17,地下三樓
RPTNMLRJLHKGFBD28CC,坡道平面,0,29.98,地下一樓
RPROMLRJLHKGFCD28CC,坡道平面,0,,地下一樓
RPTNMLRJLHKGFHD88CC,坡道平面,0,27.88,地下一樓
RPOOMLRJLHKGFID58CC,坡道機械,0,,地下一樓
RPQNMLKKLHKGFAD27CC,坡道平面,0,,地下二樓
RPQNMLSJLHKGFCD18CC,坡道平面,0,,地下一樓
RPPNMLSJLHKGFAD87CC,坡道平面,0,,地下一樓
RPUOMLKKLHKGFAD77CC,坡道平面,0,26.54,地下三樓
RPXOMLKKLHKGFAD08CC,坡道機械,0,10.36,地下一樓
RPWOMLKKLHKGFAD97CC,升降機械,2705,28.37,地下五樓含以下
RPVNMLKKLHKGFID58CC,坡道平面,0,17.45,地下三樓
RPQNMLKKLHKGFKD28CC,坡道平面,0,,地下一樓
RPOOMLKKLHKGFID97CC,坡道平面,600,25.02,地下一樓
RPSNMLLKLHKGFAD57CC,坡道平面,0,,地下一樓
RPVNMLKKLHKGFKD78CC,一樓平面,0,,一樓
RPSNMLLKLHKGFCD77CC,坡道平面,0,,地下二樓
RPXNMLLKLHKGFHD78CC,坡道平面,0,18.70,地下一樓
RPTNMLLKLHKGFID48CC,坡道平面,0,17.45,地下四樓
RPQNMLLKLHKGFID18CC,坡道平面,0,,地下一樓
RPPOMLLKLHKGFKD38CC,坡道平面,0,,地下三樓
RPTNMLMKLHKGFBD87CC,坡道平面,0,30.88,地下一樓
RPROMLLKLHKGFKD58CC,坡道平面,0,30.26,地下二樓
RPUOMLLKLHKGFKD88CC,坡道平面,1500,25.04,地下二樓
RPWNMLLKLHKGFID78CC,坡道平面,0,25.02,地下二樓
RPQNMLMKLHKGFFD97CC,坡道平面,0,,地下一樓
RPQNMLMKLHKGFHD18CC,其他,0,5.11,一樓
RPRNMLMKLHKGFHD28CC,坡道平面,0,25.31,地下二樓
RPPNMLMKLHKGFID18CC,坡道平面,0,32.27,地下三樓
RPPNMLNKLHKGFAD47CC,坡道平面,1000,27.75,地下二樓
RPVNMLNKLHKGFAD08CC,坡道平面,1000,27.75,地下一樓
RPQNMLNKLHKGFBD67CC,坡道平面,0,22.60,地下二樓
RPPNMLNKLHKGFBD57CC,坡道平面,0,21.76,地下二樓
RPRNMLNKLHKGFID48CC,一樓平面,0,13.82,一樓
RPWNMLNKLHKGFKD56CC,坡道平面,0,,地下三樓
RPTNMLOKLHKGFAD97CC,坡道機械,0,23.19,地下三樓
RPTNMLNKLHKGFKD88CC,一樓平面,0,14.86,一樓
RPRNMLNKLHKGFKD68CC,坡道機械,0,,地下一樓
RPWNMLOKLHKGFAD28CC,坡道平面,1800,28.20,地下三樓
RPROMLOKLHKGFAD87CC,坡道平面,0,,地下一樓
RPSNMLOKLHKGFBD97CC,坡道平面,0,,地下一樓
RPPNMLOKLHKGFHD28CC,一樓平面,0,13.75,一樓
RPPNMLOKLHKGFID38CC,坡道平面,0,22.27,地下二樓
RPQNMLOKLHKGFID48CC,坡道平面,2000,17.45,地下四樓
RPRNMLQKLHKGFAD97CC,坡道平面,2500,23.36,地下五樓含以下
RPOOMLOKLHKGFKD58CC,坡道平面,0,37.35,地下五樓含以下
RPRNMLRKLHKGFAD08CC,坡道平面,0,44.77,地下二樓
RPRNMLRKLHKGFAD08CC,坡道平面,0,44.77,地下二樓
RPSNMLQKLHKGFAD08CC,坡道平面,1000,27.75,地下一樓
RPPOMLRKLHKGFAD97CC,坡道平面,0,,地下一樓
RPQNMLRKLHKGFBD08CC,坡道平面,0,25.60,地下三樓
RPUNMLRKLHKGFCD58CC,坡道機械,0,14.19,地下二樓
RPPOMLRKLHKGFCD18CC,坡道平面,0,26.15,地下二樓
RPPNMLSKLHKGFBD08CC,坡道平面,0,22.62,地下二樓
RPPNMLTKLHKGFAD08CC,坡道平面,3000,,地下一樓
RPSNMLTKLHKGFAD38CC,坡道平面,0,24.91,地下三樓
RPTNMLTKLHKGFAD48CC,坡道機械,0,29.39,地下四樓
RPPPMLSKLHKGFKD56CC,坡道平面,0,28.66,地下三樓
RPVNMLSKLHKGFKD96CC,坡道平面,0,,地下一樓
RPTNMLTKLHKGFCD68CC,升降機械,0,14.66,地下三樓
RPSOMLTKLHKGFAD48CC,坡道機械,0,23.19,地下二樓
RPVNMLKLLHKGFAD87CC,坡道平面,0,27.75,地下一樓
RPQNMLKLLHKGFBD47CC,坡道平面,0,22.60,地下四樓
RPVNMLKLLHKGFBD97CC,坡道平面,0,29.98,地下三樓
RPPNMLKLLHKGFCD47CC,坡道平面,0,42.99,地下三樓
RPQOMLKLLHKGFCD67CC,坡道機械,0,,地下一樓
RPWNMLKLLHKGFAD97CC,坡道機械,0,11.17,地下三樓
RPOOMLTKLHKGFKD09CC,坡道機械,0,13.14,地下二樓
RPPNMLKLLHKGFHD97CC,坡道平面,0,18.84,地下二樓
RPUNMLKLLHKGFID58CC,坡道平面,0,20.52,地下二樓
RPUNMLKLLHKGFKD78CC,坡道平面,0,,地下一樓
RPVNMLLLLHKGFAD97CC,升降機械,2500,28.37,地下二樓
RPOOMLLLLHKGFAD37CC,坡道平面,0,27.08,地下一樓
RPTOMLLLLHKGFAD87CC,坡道平面,0,,地下二樓
RPQNMLLLLHKGFBD57CC,坡道平面,0,25.73,地下三樓
RPPNMLLLLHKGFBD47CC,坡道平面,0,25.73,地下三樓
RPPNMLLLLHKGFCD57CC,坡道機械,0,4.94,地下一樓
RPRNMLLLLHKGFBD67CC,坡道平面,2000,29.98,地下一樓
RPTNMLLLLHKGFCD97CC,坡道平面,3300,,地下一樓
RPPNMLLLLHKGFHD08CC,一樓平面,0,16.62,一樓
RPPNMLLLLHKGFFD87CC,一樓平面,0,,一樓
RPQNMLLLLHKGFHD18CC,其他,0,7.62,一樓
RPTNMLLLLHKGFHD48CC,坡道平面,0,18.70,地下一樓
RPQNMLLLLHKGFKD48CC,坡道平面,0,38.13,地下二樓
RPPNMLLLLHKGFAD47DC,坡道平面,0,26.53,地下四樓
RPQNMLMLLHKGFID38CC,坡道平面,1000,16.89,地下三樓
RPPNMLMLLHKGFKD48CC,坡道機械,0,,地下一樓
RPXNMLOLLHKGFAD48CC,坡道機械,0,10.36,地下一樓
