鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
林園區,土地,中門段294-1地號,8.33,都市：其他:道路用地,,,1140602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,77408,9293,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPWNMLMJOHKGFLE76DA,0.0,0.0,0.0,無,
楠梓區,房地(土地+建物),高雄市楠梓區大學十七街３７６號三樓,7.71,商,,,1140602,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050325,68.64,2,1,1,有,有,6800000,99068,,0.0,0,,RPOOMLPJOHKGFEE28DA,40.07,1.87,4.05,有,
橋頭區,土地,芋林段1178地號,16.93,,鄉村區,乙種建築用地,1140602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,213318,12600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJOHKGFFE88EA,0.0,0.0,0.0,無,
林園區,土地,溪州段二小段3513-38地號,6.0,住,,,1140602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,148800,24800,,0.0,0,未登記建物；政府機關標讓售；,RPPNMLQJOHKGFLE56EA,0.0,0.0,0.0,無,
林園區,土地,溪州段二小段3513-40地號,5.0,住,,,1140602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,124000,24800,,0.0,0,未登記建物；政府機關標讓售；,RPQNMLQJOHKGFLE66EA,0.0,0.0,0.0,無,
林園區,土地,溪州段二小段3513-42地號,94.0,住,,,1140602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2622600,27900,,0.0,0,未登記建物；政府機關標讓售；,RPRNMLQJOHKGFLE76EA,0.0,0.0,0.0,無,
左營區,土地,新庄段四小段505地號,2.09,都市：其他:道路用地,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,87780,42000,,0.0,0,,RPROMLMJNHKGFEE18DA,0.0,0.0,0.0,無,
左營區,土地,新庄段四小段482地號,0.29,住,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13220,0,,0.0,0,,SPROMLMJNHKGFEE28DA,0.0,0.0,0.0,無,
鳳山區,土地,五甲段1616-39地號,105.0,都市：其他:道路用地,,,1140507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7171967,68304,,0.0,0,包含公共設施保留地用地；,RPXOMLRJNHKGFGE86DA,0.0,0.0,0.0,無,
楠梓區,土地,土庫段二小段319-3地號,39.0,住,,,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1640000,42051,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLPJNHKGFEE58DA,0.0,0.0,0.0,無,
旗山區,房地(土地+建物),高雄市旗山區延平一路１３之１６號,71.22,住,,,1140505,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670830,103.04,3,2,2,有,無,3000000,29115,,0.0,0,頂樓加蓋；夾層；,RPQNMLPJNHKGFHE58DA,103.04,0.0,0.0,無,
茂林區,土地,萬山段26地號,20565.0,,森林區,林業用地,1140501,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,39,,0.0,0,,RPQNMLLJNHKGFKE48DA,0.0,0.0,0.0,無,
美濃區,土地,美濃段3681地號,376.0,,特定農業區,農牧用地,1140506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,5851,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJNHKGFKE66DA,0.0,0.0,0.0,無,
大寮區,房地(土地+建物),高雄市大寮區仁德路１０之１號十三樓之４,10.98,住,,,1140502,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840217,109.66,3,2,2,有,有,3000000,27357,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJNHKGFLE66EA,75.53,1.41,13.23,有,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南福街１８號七樓,30.69,住,,,1140502,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131017,158.61,3,2,2,有,有,16050000,111129,坡道平面,35.78,2400000,,RPUNMLQJNHKGFGE98DA,72.3,0.0,5.59,有,
大樹區,土地,東隆段112地號,35.67,住,,,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,19624,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSJNHKGFGE09DA,0.0,0.0,0.0,無,0001
新興區,房地(土地+建物),高雄市新興區復興二路１５７號１０樓之４,3.1,商,,,1140503,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790522,33.75,1,1,1,有,有,1750000,51852,,0.0,0,含傢俱設備費；,RPWNMLPJNHKGFBE58DA,24.89,0.0,0.0,有,
新興區,房地(土地+建物),高雄市新興區五福二路１４６號３樓之６,2.7,都市：其他:道路用地,,,1140501,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680915,17.06,1,1,1,有,有,1470000,86166,,0.0,0,,RPQNMLRJNHKGFBE18DA,17.06,0.0,0.0,有,
林園區,土地,王公廟段1830-5地號,11.0,都市：其他:道路用地,,,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,242000,22000,,0.0,0,包含公共設施保留地用地；,RPUNMLQJNHKGFLE86DA,0.0,0.0,0.0,無,0002
