編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLPJNHKGFHE58DA,47,103.04,住家用,鋼筋混凝土加強磚造,67年8月30日,二層,一層 二層 夾層,全筆移轉
RPQNMLRJNHKGFBE18DA,46,17.06,公寓,鋼筋混凝土造,68年9月15日,十二層,三層,全筆移轉
RPWNMLOKNHKGFFE98DA,43,46.93,住商用,鋼筋混凝土造,71年11月1日,三層,一層 二層 三層 騎樓,持分移轉
RPWNMLPJNHKGFBE58DA,35,24.89,集合住宅,鋼筋混凝土造,79年5月22日,十二層,十層,全筆移轉
RPWNMLPJNHKGFBE58DA,35,8.86,,鋼筋混凝土造,79年5月22日,十二層,,持分移轉
RPPNMLSJNHKGFLE66EA,30,90.17,住家用,鋼筋混凝土造,84年2月17日,十九層,十三層 陽台 花台,全筆移轉
RPPNMLSJNHKGFLE66EA,30,19.49,共有部份,鋼筋混凝土造,84年2月17日,十九層,,持分移轉
RPPNMLNKNHKGFFE18DA,,57.49,住家用,加強磚造,62年12月0日,二層,一層 二層,全筆移轉
RPPNMLNKNHKGFCE97EA,50,129.98,店舖、住宅,加強磚造,64年5月20日,三層,一層 二層 三層 騎樓,持分移轉
RPUNMLQJNHKGFGE98DA,1,77.89,集合住宅,鋼筋混凝土造,113年10月17日,九層,七層 陽台,全筆移轉
RPUNMLQJNHKGFGE98DA,1,80.72,本共有部分之項目有防空避難室兼停車空間、梯廳、管理委員會使用空間、停車空間、樓梯間、車道、廁所、導風板、機械室、蓄水池等１０項。,鋼筋混凝土造,113年10月17日,九層,,持分移轉
RPUNMLOKNHKGFBE38DA,45,113.80,公寓,鋼筋混凝土結構造,69年3月17日,五層,五層 陽台,全筆移轉
RPUOMLNKNHKGFEE68DA,43,35.40,店舖、住宅,鋼筋混凝土造,71年1月9日,三層,一層 二層 三層 騎樓 地下層,持分移轉
RPRNMLOKNHKGFBE08DA,26,32.46,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,三十二層,全筆移轉
RPRNMLOKNHKGFBE08DA,26,12.20,機房，電樓梯間，走道，排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,持分移轉
RPRNMLOKNHKGFBE08DA,26,1.84,水箱、電樓梯間、控制室、機房、排煙室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,持分移轉
RPRNMLOKNHKGFBE08DA,26,3.82,門廳，電樓梯間，機房，走道，陽台，鍋爐室,鋼骨鋼筋混凝土造,88年4月1日,八十五層,,持分移轉
RPPNMLPKNHKGFIE78EA,30,12.06,住家用,鋼筋混凝土造,84年10月7日,十層,,持分移轉
RPUNMLNKNHKGFBE28DA,3,52.68,集合住宅,鋼筋混凝土,111年9月5日,十八層,八層 陽台,全筆移轉
RPUNMLNKNHKGFBE28DA,3,25.96,共有部份,鋼筋混凝土,111年9月5日,十八層,,持分移轉
RPQNMLSJNHKGFFE68DA,32,12.03,共有部份,鋼筋混凝土造,82年1月1日,七層,,持分移轉
RPQNMLSJNHKGFFE68DA,32,25.41,商業用,鋼筋混凝土造,82年1月1日,七層,三層 陽台,全筆移轉
RPQNMLTJNHKGFIE09DA,30,27.32,共有部份,鋼筋混凝土造,84年6月15日,七層,,持分移轉
RPQNMLTJNHKGFIE09DA,30,104.81,住家用,鋼筋混凝土造,84年6月15日,七層,三層,全筆移轉
RPRNMLQKNHKGFAE18DA,30,25.63,見使用執照,鋼筋混凝土造,84年1月25日,二十三層,,持分移轉
RPRNMLNKNHKGFLE98DA,,47.90,集合住宅,鋼筋混凝土造,113年12月13日,五層,三層 陽台,全筆移轉
RPRNMLNKNHKGFLE98DA,,17.54,本共有部分之項目有停車空間、管委會使用空間、電信室、梯廳、外廊、樓梯間及水箱等項。,鋼筋混凝土造,113年12月13日,五層,,持分移轉
RPQNMLNKNHKGFBE87DA,53,70.25,住宅,加強磚造,61年10月11日,三層,一層 二層 三層,持分移轉
RPUNMLTKNHKGFAE78DA,21,96.58,住家用,鋼筋混凝土造,93年10月18日,十一層,五層 陽台 雨遮,全筆移轉
RPUNMLTKNHKGFAE78DA,21,41.54,共有部份,鋼筋混凝土造,93年10月18日,十一層,,持分移轉
RPPNMLQJNHKGFAE87DA,42,29.63,集合住宅,鋼筋混凝土造,72年2月23日,十二層,八層,全筆移轉
RPPNMLQJNHKGFAE87DA,42,7.13,電梯、樓梯、走道、機械房、受電室,鋼筋混凝土造,72年2月23日,十二層,,持分移轉
RPSPMLSJNHKGFEE98DA,40,90.72,店舖、住宅、停車空間　,鋼筋混凝土造,73年12月28日,五層,一層 騎樓 夾層,全筆移轉
RPVNMLMKNHKGFCE38DA,42,34.54,見使用執照,鋼筋混凝土造,71年12月28日,十二層,,持分移轉
RPVNMLMKNHKGFCE38DA,42,130.50,公寓,鋼筋混凝土造,71年12月28日,十二層,一層 陽台 露台,全筆移轉
RPWOMLSJNHKGFLE37DA,,118.92,集合住宅,鋼筋混凝土造,114年3月5日,五層,五層 陽台 見其他登記事項,全筆移轉
RPWOMLSJNHKGFLE37DA,,61.60,共有部分包括：ＡＢ棟　停車空間、ＡＢ棟　電信室、ＡＢ棟　樓梯間、Ａ棟　夾層樓梯、ＡＢ棟　水箱／樓梯間、ＡＢ棟　機械房／水箱、Ｂ棟　機械房等項,鋼筋混凝土造,114年3月5日,五層,,持分移轉
RPVNMLOKNHKGFCE58DA,32,85.26,住家用,鋼筋混凝土造,82年7月29日,六層,五層 陽台,全筆移轉
RPVNMLOKNHKGFCE58DA,32,46.24,住家用,鋼筋混凝土造,82年7月29日,六層,,持分移轉
RPUNMLQKNHKGFIE66DA,29,54.46,住家用,鋼筋混凝土造,85年10月8日,十三層,七層 陽台 花台,全筆移轉
RPUNMLQKNHKGFIE66DA,29,43.23,停車空間,鋼筋混凝土造,85年10月8日,,,持分移轉
RPSNMLQKNHKGFAE28DA,2,30.43,本共有部分之項目有防空避難室兼停車空間、門廳、走廊、公共服務空間、梯間、管委會使用空間、中繼水箱機械室、陽台、門廊、外廊、防災中心、管道間、機械室、水箱等１４項。,鋼筋混凝土造,112年5月15日,二十七層,,持分移轉
RPPNMLTKNHKGFAE28DA,42,8.33,樓梯間、水塔、變電室、機械室、發電室、騎樓,鋼筋混凝土造,72年6月1日,十二層,,持分移轉
RPPNMLTKNHKGFAE28DA,42,22.84,集合住宅,鋼筋混凝土造,72年6月1日,十二層,九層 陽台,全筆移轉
RPPNMLPKNHKGFBE97DA,32,264.51,商業用,鋼筋混凝土造,82年9月24日,十七層,十層,全筆移轉
RPPNMLPKNHKGFBE97DA,32,130.08,見使用執照,鋼筋混凝土造,82年9月24日,十七層,,持分移轉
RPSNMLPKNHKGFBE28DA,44,30.46,集合住宅,鋼筋混凝土造,70年5月9日,十二層,九層 陽台,全筆移轉
RPSNMLPKNHKGFBE28DA,44,8.68,,鋼筋混凝土造,70年5月9日,十二層,,持分移轉
RPWNMLMKNHKGFCE48DA,47,57.64,公寓,鋼筋混凝土造,67年10月24日,五層,二層,全筆移轉
RPTNMLMKNHKGFGE58DA,43,49.42,住家用,鋼筋混凝土造,71年6月28日,五層,四層,全筆移轉
RPROMLRJNHKGFBE38DA,45,82.82,公寓,鋼筋混凝土造,69年4月23日,五層,五層,全筆移轉
RPSOMLQKNHKGFGE98DA,46,58.10,住家用,鋼筋混凝土造,68年5月23日,五層,四層,全筆移轉
RPUNMLOKNHKGFDE58DA,4,45.66,集合住宅,鋼筋混凝土造,109年11月16日,十三層,五層 陽台,全筆移轉
RPUNMLOKNHKGFDE58DA,4,25.55,本共有部分之項目有防空避難室兼停車空間、車道、自行車停車空間、管理委員會服務空間、頂蓋型廣場式開放空間、垃圾暫存室、樓梯間、機械室等項。,鋼筋混凝土造,109年11月16日,十三層,,持分移轉
RPUNMLQJNHKGFEE78DA,19,60.12,住家用,鋼筋混凝土造,94年11月30日,十五層,六層 陽台 雨遮,全筆移轉
RPUNMLQJNHKGFEE78DA,19,27.23,電樓梯間、頂蓋型開放空間、車道、防空避難室、停車空間、屋頂突出物,鋼筋混凝土造,94年11月30日,十五層,,持分移轉
RPUNMLKLNHKGFFE48DA,43,196.07,住商用,鋼筋混凝土造,71年10月21日,四層,一層 二層 三層 四層 騎樓 地下層,全筆移轉
RPRNMLOKNHKGFDE28DA,45,78.24,集合住宅,鋼筋混凝土造,69年4月15日,五層,四層,全筆移轉
RPQNMLLKNHKGFEE97DA,54,35.56,住家用,加強磚造,59年12月1日,一層,一層,全筆移轉
RPRQMLPKNHKGFFE88DA,,54.77,集合住宅,鋼筋混凝土造,114年3月20日,六層,五層 陽台,全筆移轉
RPRQMLPKNHKGFFE88DA,,18.25,本共有部分之項目有停車空間、發電機房兼消防機房、台電配電室、電信室、管理委員會空間、樓梯間等６項。,鋼筋混凝土造,114年3月20日,六層,,持分移轉
RPQNMLQKNHKGFHE78DA,30,174.16,住商用,鋼筋混凝土造,84年2月22日,四層,一層 二層 三層 四層 陽台 平台 露台,全筆移轉
RPUPMLPKNHKGFFE09DA,,51.22,集合住宅,鋼筋混凝土造,114年3月20日,六層,三層 陽台,全筆移轉
