鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明倫路vs昌盛路,6.4,商,,,1140211,土地1建物1車位1,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.9,3,1,2,有,無,18960000,186186,坡道機械,10.78,1250000,,RPPNMLNKKHKGFAE37CB,郡都巨蛋,A3棟8號,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明倫路vs昌盛路,7.09,商,,,1140211,土地1建物1車位1,八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.86,3,1,2,有,無,21330000,180161,坡道平面,22.51,2350000,,RPQNMLNKKHKGFAE47CB,郡都巨蛋,A5棟8號,
岡山區,房地(土地+建物)+車位,高雄市岡山區介壽路,17.22,住,,,1140211,土地1建物1車位1,五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.12,2,2,2,有,無,15560000,118407,坡道平面,21.6,2000000,,RPPNMLNKKHKGFFE87CB,鑫龍騰鑫首席,A6棟5號,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.0,商,,,1140216,土地34建物1車位0,三層,37,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,71.7,2,1,1,有,無,9770000,136262,,0.0,0,,RPQNMLQKKHKGFAE77CB,港灣1號院,B棟8號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區後勁北路111巷,20.38,住,,,1140211,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.13,3,2,2,有,無,15600000,110917,坡道平面,14.91,1600000,,RPPNMLQKKHKGFEE08CB,皇家美墅17期-捷.境,A2棟7樓號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山東路,9.5,住,,,1140216,土地9建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.57,0,2,1,有,無,10380000,119102,坡道平面,15.63,2050000,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKKHKGFGE48CB,鳳山都更好,D棟D07-13F號,
鳳山區,房地(土地+建物),高雄市鳳山區中山東路,9.19,住,,,1140215,土地9建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,67.81,0,2,1,有,無,7880000,116207,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRKKHKGFGE58CB,鳳山都更好,C棟C07-14F號,
大社區,房地(土地+建物)+車位,高雄市大社區中華路77巷,23.43,住,,,1140212,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.18,3,2,2,有,無,12900000,94727,一樓平面,13.89,1600000,,RPRNMLRKKHKGFIE78CB,一方撰,A12-10F號,
仁武區,房地(土地+建物),高雄市仁武區永新一街,17.24,住,,,1140212,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.22,2,2,1,有,無,8300000,114927,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKKHKGFIE88CB,琢悅2,A2棟8F號,
路竹區,房地(土地+建物),高雄市路竹區民治路16巷6號二樓之5,20.28,,鄉村區,乙種建築用地,1140216,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.33,2,2,1,有,無,6430000,99953,,0.0,0,,RPPNMLRKKHKGFJE68CB,日日．澍陽,A5棟2號,
大寮區,房地(土地+建物)+車位,高雄市大寮區大寮區和祥街152號正對面,31.7,住,,,1140217,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.73,3,2,2,有,無,7500000,67356,一樓平面,9.94,1250000,,RPPNMLRKKHKGFLE88CB,安庭豐盛,B1棟5F號,
