編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKKHKGFAE37CC,13,112.55,住商用,鋼筋混凝土造,101年7月10日,十四層,,
RPTNMLMKKHKGFAE77CC,35,44.53,商業用,鋼筋混凝土造,79年2月16日,十二層,,
RPPNMLMKKHKGFAE37CC,13,51.49,本共有部分之項目有防空避難室、停車空間、樓梯間、機械室、水箱、門廳、門廊、車道等８項。,鋼筋混凝土造,101年7月10日,十四層,,
RPQNMLRKJHKGFLE98CC,39,99.22,住商用,加強磚造,75年6月20日,二層,,
RPRNMLLKKHKGFDE77CC,35,29.75,,鋼筋混凝土造,79年4月9日,七層,,
RPOOMLLKKHKGFJE18CC,12,43.55,辦公室,鋼筋混凝土造,102年1月5日,六層,,
RPSNMLMKKHKGFAE67CC,35,34.48,商業用,鋼筋混凝土造,79年2月16日,十二層,,
RPRNMLMKKHKGFAE57CC,35,13.22,見使用執照,鋼筋混凝土造,79年2月16日,十二層,,
RPUNMLLKKHKGFEE18CC,18,78.76,住家用,鋼筋混凝土造,95年11月24日,十五層,,
RPUNMLLKKHKGFEE18CC,18,51.42,防空避難室、停車空間、屋頂突出物、頂蓋型開放空間、電樓梯間、車道,鋼筋混凝土造,95年11月24日,十五層,,
RPVNMLMKKHKGFAE97CC,19,80.99,住家用,鋼筋混凝土造,94年12月13日,十五層,,
RPVNMLMKKHKGFAE97CC,19,40.39,共有部分,鋼筋混凝土造,94年12月13日,十五層,,
RPROMLMKKHKGFAE67CC,26,122.80,住家用,鋼筋混凝土造,87年12月10日,十四層,,
RPROMLMKKHKGFAE67CC,26,53.51,共有部份,鋼筋混凝土造,87年12月10日,十四層,,
RPOOMLMKKHKGFBE47CC,27,59.45,住家用,鋼筋混凝土造,87年8月3日,十四層,,
RPOOMLMKKHKGFBE47CC,27,31.80,停車空間、機械室、電樓梯間、避難室、水箱、受電室,鋼筋混凝土造,87年8月3日,十四層,,
RPQNMLNKKHKGFGE18CC,10,144.76,集合住宅、店舖,鋼筋混凝土,104年1月3日,十五層,,
RPWNMLNKKHKGFAE18CC,18,78.39,住家用,鋼筋混凝土造,95年8月25日,十五層,,
RPWNMLNKKHKGFAE18CC,18,37.90,共有部分,鋼筋混凝土造,95年8月25日,十五層,,
RPUNMLMKKHKGFEE28CC,39,87.52,住家用,鋼筋混凝土造,74年11月29日,十二層,,
RPUNMLMKKHKGFEE28CC,39,14.25,住家用,鋼筋混凝土造,74年11月29日,十二層,,
RPQPMLNKKHKGFDE08CC,15,79.97,住家用,鋼筋混凝土造,99年4月1日,十五層,,
RPOOMLNKKHKGFFE97CC,2,84.48,集合住宅,鋼筋混凝土造,112年4月18日,十五層,,
RPQPMLNKKHKGFDE08CC,15,64.26,本共有部分之項目有車道、門廊、管委會使用空間、停車空間、防空避難室兼停車空間、樓梯間、機械室及水箱、騎樓等項。,鋼筋混凝土造,99年4月1日,十五層,,
RPSNMLMKKHKGFIE48CC,38,211.50,住家用,鋼筋混凝土造,76年3月2日,四層,,
RPOOMLNKKHKGFFE97CC,2,71.62,本共有部分之項目有停車空間、門廳兼梯廳、管委會使用空間、門廊、中央監控室、樓梯間、車道、管道間、機械室、水箱等共１０項。,鋼筋混凝土造,112年4月18日,十五層,,
RPRNMLOKKHKGFAE77CC,16,52.07,住家用,鋼筋混凝土造,98年2月17日,十五層,,
RPRNMLOKKHKGFAE77CC,16,27.83,共有部分,鋼筋混凝土造,98年2月17日,十五層,,
RPQNMLOKKHKGFAE67CC,18,66.28,住家用,鋼筋混凝土造,95年11月1日,十五層,,
RPQNMLMKKHKGFAE47CC,35,59.17,商業用,鋼筋混凝土造,79年2月16日,十二層,,
RPQNMLOKKHKGFAE67CC,18,27.08,避難室兼停車空間、管委會使用空間、基地內通路、車道、梯間、室內游泳池、辦公室、機械室、水箱,鋼筋混凝土造,95年11月1日,十五層,,
RPVNMLOKKHKGFAE18CC,33,160.80,商業用,鋼筋混凝土造,81年1月31日,二十層,,
RPVNMLOKKHKGFAE18CC,33,84.51,見使用執照,鋼筋混凝土造,81年1月31日,二十層,,
RPPNMLNKKHKGFFE97CC,28,23.09,住家用,鋼筋混凝土造,86年1月15日,十三層,,
RPPNMLNKKHKGFFE97CC,28,13.50,共有部份,鋼筋混凝土造,86年1月15日,十三層,,
RPRNMLNKKHKGFCE87CC,23,102.66,住家用,鋼筋混凝土造,91年6月19日,十四層,,
RPRNMLNKKHKGFCE87CC,23,39.51,共有部分,鋼筋混凝土造,91年6月19日,十四層,,
RPUOMLNKKHKGFEE48CC,29,22.57,住家用,鋼筋混凝土造,84年10月19日,二十一層,,
RPUOMLNKKHKGFEE48CC,29,10.76,見使用執照,鋼筋混凝土造,84年10月19日,二十一層,,
RPQNMLNKKHKGFCE77CC,32,106.91,住商用,鋼筋混凝土造,82年7月30日,二十四層,,
RPQNMLNKKHKGFCE77CC,32,63.48,見使用執照,鋼筋混凝土造,82年7月30日,二十四層,,
RPROMLOKKHKGFAE87CC,9,57.17,集合住宅,鋼筋混凝土,105年7月7日,十四層,,
RPROMLOKKHKGFAE87CC,9,31.03,本共有部分之項目有防空避難室兼停車空間、梯間、機械室、水箱、梯廳、管理委員會使用空間、門廊、車道、樓梯間等９項。,鋼筋混凝土,105年7月7日,十四層,,
RPUOMLOKKHKGFBE28CC,44,25.61,集合住宅,鋼筋混凝土造,70年5月9日,十二層,,
RPUOMLOKKHKGFBE28CC,44,7.26,,鋼筋混凝土造,70年5月9日,十二層,,
RPOOMLOKKHKGFAE57CC,44,24.27,公寓,鋼筋混凝土造,70年8月5日,十層,,
RPOOMLOKKHKGFAE57CC,44,6.81,電樓梯間,鋼筋混凝土造,70年8月5日,十層,,
RPSNMLNKKHKGFEE18CC,10,69.20,集合住宅,鋼筋混凝土,104年2月16日,十五層,,
RPSNMLNKKHKGFEE18CC,10,60.56,本共有部分之項目有防空避難室兼停車空間、公共服務空間、頂蓋型沿街步道式開放空間、車道、梯間、樓梯間、機械房、水箱共８項。,鋼筋混凝土,104年2月16日,十五層,,
RPSNMLOKKHKGFCE08CC,2,19.74,集合住宅,鋼筋混凝土,111年10月27日,八層,,
RPSNMLOKKHKGFCE08CC,2,13.40,共有部分之項目有：停車空間兼防空避難室、騎樓、大廳、車道、管委會使用空間(管委使用空間)、一般昇降機道、走廊、梯廳、安全梯、管道間、陽台、樓梯間、電梯機械室、門廊等１４項。,鋼筋混凝土,111年10月27日,八層,,
RPXOMLOKKHKGFBE58CC,45,85.31,公寓,鋼筋混凝土結構造,69年1月29日,五層,,
RPROMLOKKHKGFBE97CC,28,102.33,住家用,鋼筋混凝土造,86年4月21日,三十五層,,
RPROMLOKKHKGFBE97CC,28,45.94,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,,
RPPNMLOKKHKGFDE87CC,19,8.76,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPPNMLOKKHKGFDE87CC,,7.12,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPSNMLOKKHKGFDE18CC,32,106.10,住家用,鋼筋混凝土造,81年11月18日,十七層,,
RPSNMLOKKHKGFDE18CC,32,44.20,見使用執照,鋼筋混凝土造,81年11月18日,十七層,,
RPRPMLNKKHKGFDE18CC,30,51.41,住家用,鋼筋混凝土造,83年9月3日,二十三層,,
RPQNMLOKKHKGFCE87CC,30,33.68,住家用,鋼筋混凝土造,83年10月1日,二十層,,
RPQNMLOKKHKGFCE87CC,30,27.86,見使用執照,鋼筋混凝土造,83年10月1日,二十層,,
RPRPMLNKKHKGFDE18CC,30,15.26,見使用執照,鋼筋混凝土造,83年9月3日,二十三層,,
RPRPMLOKKHKGFCE18CC,30,26.37,住家用,鋼筋混凝土造,84年2月27日,十二層,,
RPRPMLOKKHKGFCE18CC,30,7.89,見使用執照,鋼筋混凝土造,84年2月27日,十二層,,
RPTNMLOKKHKGFCE18CC,29,105.07,住家用,鋼筋混凝土造,85年7月8日,十五層,,
RPTNMLOKKHKGFCE18CC,29,34.61,見使用執照,鋼筋混凝土造,85年7月8日,十五層,,
RPXNMLOKKHKGFCE58CC,2,19.74,集合住宅,鋼筋混凝土,111年10月27日,八層,,
RPXNMLOKKHKGFCE58CC,2,13.40,共有部分之項目有：停車空間兼防空避難室、騎樓、大廳、車道、管委會使用空間(管委使用空間)、一般昇降機道、走廊、梯廳、安全梯、管道間、陽台、樓梯間、電梯機械室、門廊等１４項。,鋼筋混凝土,111年10月27日,八層,,
RPQOMLOKKHKGFDE08CC,11,57.64,住家用,鋼筋混凝土造,102年10月23日,十五層,,
RPQOMLOKKHKGFDE08CC,11,34.97,共有部份,鋼筋混凝土造,102年10月23日,十五層,,
RPSPMLOKKHKGFCE28CC,27,132.92,住家用,鋼筋混凝土造,87年3月4日,八層,,
