編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKKHKGFAG47DB,一樓平面,0,,一樓
RPPNMLNKKHKGFAG57CB,坡道平面,780000,31.43,地下一樓
RPPNMLNKKHKGFAG57CB,坡道平面,780000,31.43,地下一樓
RPRNMLMKKHKGFAG67CB,坡道平面,900000,26.78,地下一樓
RPQNMLLKKHKGFAG57DB,一樓平面,0,,一樓
RPQNMLQKKHKGFBG08CB,坡道平面,1800000,24.98,地下一樓
RPQNMLOKKHKGFAG77CB,坡道平面,1000000,27.98,地下二樓
RPPNMLSKKHKGFAG08CB,坡道平面,1200000,21.98,地下一樓
RPQNMLSKKHKGFBG28CB,坡道平面,1800000,24.98,地下一樓
RPPNMLTKKHKGFBG28CB,一樓平面,0,18.34,一樓
RPPNMLSKKHKGFBG18CB,坡道平面,1600000,23.72,地下一樓
RPPNMLMLKHKGFAG57CB,坡道平面,1000000,27.98,地下二樓
RPQNMLTKKHKGFBG38CB,一樓平面,0,18.34,一樓
RPRNMLSKKHKGFBG38CB,坡道平面,1800000,24.98,地下一樓
RPPNMLPLKHKGFAG87CB,坡道平面,1100000,27.98,地下一樓
RPRNMLQLKHKGFAG28DB,一樓平面,0,,一樓
RPQNMLMJLHKGFAG57CB,坡道平面,1000000,27.98,地下二樓
RPUNMLTKKHKGFBG78CB,一樓平面,0,18.34,一樓
RPRNMLTKKHKGFBG48CB,一樓平面,0,18.34,一樓
RPQNMLKLKHKGFAG47CB,一樓平面,800000,13.75,一樓
RPTNMLNJLHKGFBG08CB,一樓平面,1040000,18.04,一樓
RPQNMLNJLHKGFBG87DB,一樓平面,1700000,,一樓
RPSNMLNJLHKGFBG97CB,一樓平面,1200000,18.04,一樓
RPQNMLOLKHKGFBG97CB,坡道平面,1500000,23.00,地下一樓
RPRNMLNJLHKGFBG87CB,一樓平面,1070000,18.04,一樓
RPPNMLOJLHKGFAG67CB,一樓平面,0,,一樓
RPPNMLPJLHKGFBG87CB,一樓平面,1200000,18.04,一樓
RPQNMLQJLHKGFBG08CB,一樓平面,0,19.43,一樓
RPRNMLQJLHKGFBG18CB,一樓平面,0,18.34,一樓
RPUNMLQJLHKGFBG48CB,一樓平面,0,17.39,一樓
RPSNMLQJLHKGFBG28CB,一樓平面,0,18.34,一樓
RPWNMLQJLHKGFBG68CB,一樓平面,0,13.73,一樓
RPPNMLRJLHKGFAG08DB,一樓平面,0,,一樓
RPUNMLPJLHKGFAG28CB,坡道平面,850000,21.19,地下一樓
RPTNMLPJLHKGFAG18CB,坡道平面,850000,21.19,地下一樓
RPSNMLPJLHKGFAG08CB,坡道平面,850000,21.19,地下一樓
RPPNMLSJLHKGFAG08CB,一樓平面,1600000,25.04,一樓
RPRNMLSJLHKGFBG38CB,坡道平面,1800000,24.98,地下一樓
RPSNMLOJLHKGFAG97CB,一樓平面,0,,一樓
RPSNMLSJLHKGFBG48CB,坡道平面,1800000,24.98,地下一樓
RPPNMLTJLHKGFAG18CB,坡道平面,1400000,25.04,地下一樓
RPRNMLMKLHKGFBG87CB,一樓平面,0,,一樓
