鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
羅東鎮,租賃房屋,宜蘭縣羅東鎮公正路２９０之３號,0.0,,,,1140211,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,,160.3,3,2,2,有,無,無,22000,137,,0.0,0,,RPVNMLMKKHKGFAG18CC,分層出租,無,1140501~1190430,無,冷氣,
宜蘭市,租賃房屋,宜蘭縣宜蘭市民族路４１１號,0.0,,,,1140212,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790621,157.26,1,1,2,有,無,無,19000,121,,0.0,0,,RPQNMLNKKHKGFBG87CC,,無,1140212~1170229,有,,
五結鄉,租賃房屋,宜蘭縣五結鄉五結中路三段６６６號十一樓之１,0.0,,,,1140211,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土（ＲＣ）,1080711,74.25999999999999,1,1,1,有,有,有,14460,195,,0.0,0,管理費1540元由出租人負擔。,RPPNMLOKKHKGFAG77CC,獨立套房,有,1140301~1150228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
冬山鄉,租賃房屋,宜蘭縣冬山鄉香南路１３８號二樓之８,0.0,,,,1140211,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1030711,63.16,2,1,1,有,有,無,9000,142,,0.0,0,,RPRNMLOKKHKGFAG97CC,整棟(戶)出租,無,1140221~1150220,有,冷氣、熱水器,社會住宅代管
宜蘭市,租賃房屋,宜蘭縣宜蘭市嵐峰路三段３２巷２號三樓之九,0.0,,,,1140212,土地0建物1車位0,三層,4,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1001223,35.230000000000004,1,0,1,有,有,有,5000,142,,0.0,0,管理費500元由出租人負擔。,RPPNMLOKKHKGFBG87CC,獨立套房,無,1140321~1150320,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
員山鄉,租賃房屋,宜蘭縣員山鄉員山路一段１４３巷５號五樓,0.0,,,,1140211,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860115,121.31,3,1,1,有,無,有,12000,99,,0.0,0,多人共同承租2；,RPRNMLOKKHKGFBG08CC,整棟(戶)出租,無,1140213~1150212,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
五結鄉,租賃房屋,宜蘭縣五結鄉五結路二段３０７號,0.0,,,,1140214,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0941221,238.12,0,0,0,無,無,無,26000,109,,0.0,0,,RPPNMLRKKHKGFAG08CC,,無,1140401~1190331,無,,
羅東鎮,租賃房屋,宜蘭縣羅東鎮康莊路７５-５號６樓,0.0,,,,1140217,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821211,100.83,3,1,1,有,有,無,15000,149,,0.0,0,,RPPNMLTKKHKGFAG28CC,整棟(戶)出租,無,1140217~1160304,有,冷氣、熱水器,
羅東鎮,租賃房屋,宜蘭縣羅東鎮振泰街２６之３號四樓,0.0,,,,1140218,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701231,104.19,3,2,3,有,無,無,14000,134,,0.0,0,,RPQNMLTKKHKGFAG38CC,整棟(戶)出租,無,1140218~1160309,無,冷氣,
