編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKLKHKGFAG57CC,維揚段,89.00,都市：住,,,,03210006
RPPNMLQJLHKGFAG08DC,思村段,95.50,都市：住,,,,07810000
RPUNMLMKLHKGFAG18CC,興東段,80.00,都市：住,,,,10520000
RPPNMLRKLHKGFAG18CC,南昌段,117.00,都市：住,,,,17280000
RPPNMLRKLHKGFAG18CC,南昌段,184.00,都市：住,,,,17290000
RPPNMLSKLHKGFAG28CC,北成段,9.72,都市：住,,,,07150000
RPPNMLRLLHKGFAG38DC,中華段,10.80,都市：住,,,,12280000
RPRNMLMJMHKGFAG87CC,新協和段,791.77,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05670000
RPPNMLSJMHKGFAG28CC,新群一段,145.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03930000
RPPNMLMLMHKGFAG87CC,孝威二段,76.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07540000
RPPNMLNLMHKGFAG97CC,信義段,344.00,都市：其他:店鋪,,,,02300000
RPQNMLOLMHKGFAG18CC,孝威二段,76.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07540000
RPQNMLNLMHKGFAG08CC,孝威二段,76.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07540000
RPRNMLOLMHKGFAG28CC,大吉二段,134.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03930000
RPRNMLTLMHKGFAG78CC,鹿皮段,4996.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,,,,11650000
RPRNMLTLMHKGFAG78CC,鹿皮段,315.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,,,,11660000
RPWNMLRJNHKGFAG98CC,興東段,89.00,都市：商,,,,05130000
RPRNMLOKNHKGFAG28CC,新群一段,12.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02220000
