編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPKKHKGFGH58CB,坡道平面,1800000,34.05,地下一樓
RPSNMLNKKHKGFBH08CB,坡道平面,1700000,23.75,地下二樓
RPPNMLQKKHKGFBH08CB,坡道平面,1370000,28.19,地下三樓
RPUNMLMKKHKGFDH38CB,一樓平面,1500000,,一樓
RPPNMLPKKHKGFDH18CB,坡道平面,1580000,25.98,地下一樓
RPPNMLPKKHKGFGH48CB,坡道平面,1700000,33.05,地下一樓
RPQNMLOKKHKGFDH18CB,坡道平面,1580000,25.98,地下一樓
RPPNMLPKKHKGFBH08DB,坡道平面,1100000,32.05,地下三樓
RPPNMLRKKHKGFAH08CB,坡道平面,1900000,41.50,地下三樓
RPWQNLRKKHKGFEH96CB,一樓平面,1400000,30.84,一樓
RPURNLRKKHKGFEH86CB,坡道平面,850000,33.39,地下二樓
RPQNMLRKKHKGFAH18CB,坡道平面,1900000,41.50,地下三樓
RPQNMLSKKHKGFAH38DB,坡道機械,1300000,13.72,地下四樓
RPPNMLOKKHKGFDH08CB,坡道平面,1480000,25.98,地下一樓
RPOSNLRKKHKGFEH98CB,坡道平面,2200000,34.11,地下一樓
RPRNMLSKKHKGFAH48DB,坡道平面,2300000,34.36,地下三樓
RPPNMLSKKHKGFAH18CB,坡道平面,2350000,37.36,地下一樓
RPRNMLSKKHKGFAH38CB,坡道平面,2200000,20.12,地下二樓
RPRNMLSKKHKGFAH38CB,坡道平面,2200000,20.12,地下二樓
RPOOMLSKKHKGFAH28DB,坡道機械,1350000,13.72,地下四樓
RPRNMLSKKHKGFHH09CB,坡道平面,2100000,38.28,地下四樓
RPUNMLSKKHKGFAH78DB,坡道機械,1350000,13.72,地下四樓
RPRSNLRKKHKGFEH66CB,坡道平面,1900000,31.34,地下三樓
RPSNMLTKKHKGFAH58CB,坡道平面,2100000,32.10,地下二樓
RPRNMLRKKHKGFBH38CB,坡道平面,1600000,27.39,地下一樓
RPPNMLTKKHKGFDH58CB,坡道平面,1580000,25.98,地下一樓
RPVNMLSKKHKGFHH86CB,坡道平面,2200000,41.95,地下五樓含以下
RPQNMLTKKHKGFEH78CB,坡道平面,2050000,36.40,地下三樓
RPTNMLTKKHKGFEH09CB,坡道平面,2400000,36.40,地下一樓
RPSNMLTKKHKGFEH98CB,坡道平面,2200000,36.40,地下二樓
RPPOMLTKKHKGFEH78CB,坡道平面,2400000,24.89,地下二樓
RPRNMLTKKHKGFEH88CB,坡道平面,2200000,36.40,地下一樓
RPUNMLKLKHKGFAH97CB,坡道平面,2250000,34.72,地下三樓
RPUNMLKLKHKGFAH97CB,坡道平面,2200000,34.72,地下三樓
RPSNMLKLKHKGFHH48CB,坡道平面,1900000,38.28,地下五樓含以下
RPTNMLKLKHKGFHH58CB,坡道平面,1900000,38.28,地下五樓含以下
RPVNMLKLKHKGFHH78CB,坡道機械,1400000,19.14,地下五樓含以下
RPTNMLKLKHKGFAH87CB,坡道平面,2480000,34.04,地下二樓
RPTNMLKLKHKGFAH87CB,坡道平面,2480000,34.04,地下二樓
RPWNMLKLKHKGFAH18CB,坡道平面,2400000,34.72,地下二樓
RPPOMLKLKHKGFHH28CB,坡道機械,1400000,19.14,地下五樓含以下
RPVNMLKLKHKGFAH08CB,坡道平面,2700000,34.72,地下二樓
RPOOMLKLKHKGFHH18CB,坡道平面,2000000,38.28,地下五樓含以下
RPWNMLKLKHKGFHH88CB,坡道平面,2000000,38.28,地下五樓含以下
RPXNMLKLKHKGFAH28CB,坡道平面,2450000,44.76,地下三樓
RPPNMLLLKHKGFEH97CB,坡道平面,1600000,23.00,地下二樓
RPUNMLLLKHKGFEH48CB,坡道平面,1800000,22.39,地下二樓
RPQOMLKLKHKGFHH38CB,坡道機械,1400000,19.14,地下五樓含以下
RPVNMLLLKHKGFEH58CB,坡道平面,1600000,22.39,地下四樓
RPPNMLLLKHKGFDH87CB,一樓平面,1150000,13.74,一樓
RPRNMLLLKHKGFEH18CB,坡道平面,1600000,22.39,地下三樓
RPQNMLLLKHKGFFH18CB,坡道平面,1880000,25.01,地下一樓
RPRNMLLLKHKGFFH28CB,坡道平面,1780000,25.01,地下二樓
RPWNMLLLKHKGFEH68CB,坡道平面,1770000,30.25,地下二樓
RPSNMLLLKHKGFFH38CB,坡道平面,1880000,25.01,地下一樓
RPXNMLLLKHKGFEH78CB,坡道平面,1770000,30.25,地下二樓
RPVNMLLLKHKGFFH68CB,坡道平面,1750000,26.26,地下二樓
RPPNMLLLKHKGFFH18DB,坡道平面,1665000,32.60,地下二樓
RPPNMLLLKHKGFFH18DB,坡道平面,1665000,32.60,地下二樓
RPTNMLLLKHKGFFH48CB,坡道平面,1630000,23.91,地下二樓
RPQNMLMLKHKGFDH08CB,坡道平面,1580000,25.98,地下一樓
RPPNMLLLKHKGFAH67DB,坡道機械,1300000,13.72,地下四樓
RPUNMLLLKHKGFFH58CB,坡道平面,1780000,25.01,地下二樓
RPPNMLMLKHKGFDH97CB,坡道平面,1480000,25.98,地下一樓
RPSNMLLLKHKGFAH97DB,坡道平面,2450000,34.36,地下二樓
RPRNMLMLKHKGFDH18CB,坡道平面,1610000,25.98,地下一樓
RPQNMLLLKHKGFAH77DB,坡道機械,1300000,13.72,地下四樓
RPRNMLTKKHKGFBH68DB,坡道平面,2100000,33.23,地下一樓
RPQNMLMLKHKGFBH97DB,坡道平面,1400000,32.05,地下一樓
RPPNMLMLKHKGFBH87DB,坡道平面,1150000,29.44,地下二樓
RPQNMLNLKHKGFAH87CB,坡道平面,2000000,29.06,地下二樓
RPQNMLNLKHKGFAH87CB,坡道平面,2000000,29.06,地下二樓
RPSNMLMLKHKGFDH28CB,坡道平面,1610000,25.98,地下一樓
RPRNMLNLKHKGFAH97CB,坡道平面,1950000,29.06,地下二樓
RPRNMLNLKHKGFAH97CB,坡道平面,1950000,29.06,地下二樓
RPQNMLMLKHKGFHH48CB,坡道平面,1650000,27.17,地下五樓含以下
RPPNMLNLKHKGFDH08CB,坡道平面,0,20.08,地下一樓
RPTNMLNLKHKGFFH68CB,坡道平面,2100000,30.86,地下二樓
RPRNMLNLKHKGFFH48CB,坡道平面,2200000,33.60,地下一樓
RPPNMLMLKHKGFHH38CB,坡道平面,1900000,30.56,地下四樓
RPSNMLNLKHKGFFH58CB,坡道平面,2100000,30.86,地下二樓
RPQNMLOLKHKGFEH38CB,坡道平面,950000,37.21,地下二樓
RPRNMLOLKHKGFEH48CB,坡道平面,1150000,37.21,地下一樓
RPPNMLOLKHKGFBH97CB,坡道平面,2200000,33.17,地下三樓
RPSNMLOLKHKGFEH58CB,坡道平面,1050000,35.67,地下一樓
RPQNMLOLKHKGFFH48CB,坡道平面,1950000,24.82,地下二樓
RPWNMLOLKHKGFEH98CB,坡道平面,1290000,25.87,地下一樓
RPVNMLOLKHKGFEH88CB,坡道平面,1150000,35.35,地下一樓
RPUNMLOLKHKGFEH78CB,坡道平面,1150000,35.35,地下一樓
RPTOMLPLKHKGFBH58CB,坡道平面,1550000,29.36,地下一樓
RPTOMLPLKHKGFBH58CB,坡道平面,1500000,29.36,地下二樓
RPQNMLQLKHKGFAH18CB,坡道平面,2100000,32.10,地下二樓
RPPNMLPLKHKGFGH58CB,坡道平面,1550000,27.93,地下一樓
RPTNMLOLKHKGFEH68CB,坡道平面,950000,37.21,地下二樓
RPPNMLQLKHKGFDH38CB,坡道平面,1750000,33.46,地下一樓
RPVNMLQLKHKGFAH68CB,坡道平面,2100000,39.30,地下三樓
RPVNMLQLKHKGFAH68CB,坡道平面,2100000,39.30,地下三樓
RPUNMLQLKHKGFAH58CB,坡道平面,2100000,39.30,地下三樓
RPPNMLQLKHKGFEH48CB,坡道平面,1500000,27.05,地下四樓
RPRNMLQLKHKGFHH98CB,坡道機械,1400000,19.14,地下五樓含以下
RPXNMLQLKHKGFHH96CB,坡道機械,1400000,19.14,地下五樓含以下
RPWNMLQLKHKGFHH86CB,坡道機械,1400000,19.14,地下五樓含以下
RPVNMLQLKHKGFHH76CB,坡道平面,1900000,38.28,地下五樓含以下
RPOOMLQLKHKGFHH78CB,坡道平面,1800000,38.28,地下五樓含以下
RPPNMLRLKHKGFAH18CB,坡道平面,1900000,41.48,地下三樓
RPUNMLQLKHKGFHH66CB,坡道機械,1400000,19.14,地下五樓含以下
RPSNMLRLKHKGFAH48CB,坡道平面,2100000,34.00,地下三樓
RPQNMLRLKHKGFBH38CB,坡道平面,1420000,28.19,地下二樓
RPTNMLRLKHKGFBH68CB,坡道平面,1900000,24.87,地下三樓
RPTNMLRLKHKGFBH68CB,坡道平面,1900000,24.87,地下三樓
RPSNMLRLKHKGFBH58CB,坡道平面,2050000,24.87,地下二樓
RPPNMLRLKHKGFDH48CB,坡道平面,1700000,29.02,地下三樓
RPPNMLRLKHKGFDH48CB,坡道平面,1700000,29.02,地下三樓
RPRNMLRLKHKGFBH48CB,坡道平面,1950000,23.75,地下二樓
RPRNMLRLKHKGFDH68CB,坡道平面,1700000,29.02,地下三樓
RPRNMLRLKHKGFHH09CB,坡道機械,1400000,19.14,地下五樓含以下
RPPNMLRLKHKGFHH88CB,坡道機械,1400000,19.14,地下五樓含以下
RPQNMLRLKHKGFDH58CB,坡道平面,1800000,29.02,地下二樓
RPQNMLRLKHKGFDH58CB,坡道平面,1800000,29.02,地下二樓
RPPNMLRLKHKGFFH78DB,坡道平面,1700000,32.60,地下三樓
RPQNMLRLKHKGFHH98CB,坡道平面,2100000,38.28,地下四樓
RPPNMLSLKHKGFDH58CB,坡道平面,1680000,34.30,地下二樓
RPPNMLSLKHKGFBH38CB,坡道平面,1496000,37.00,地下二樓
RPRNMLSLKHKGFDH78CB,坡道平面,1346000,30.60,地下三樓
RPOOMLSLKHKGFDH58CB,坡道平面,1540000,25.98,地下一樓
RPXNMLSLKHKGFDH76CB,坡道平面,1610000,25.98,地下一樓
RPPOMLSLKHKGFDH68CB,坡道平面,1580000,25.98,地下一樓
RPRNMLSLKHKGFFH98CB,坡道平面,1530000,34.23,地下二樓
RPPNMLLJLHKGFAH47CB,坡道平面,2250000,23.55,地下三樓
RPQNMLSLKHKGFFH88CB,坡道平面,1530000,33.18,地下二樓
RPPNMLLJLHKGFDH77CB,坡道平面,0,20.08,地下一樓
RPQNMLLJLHKGFAH57CB,坡道平面,2100000,23.55,地下三樓
RPPNMLMJLHKGFAH57CB,坡道平面,1950000,29.06,地下二樓
RPPNMLMJLHKGFAH57CB,坡道平面,1950000,29.06,地下二樓
RPQNMLMJLHKGFAH67CB,坡道平面,2100000,29.06,地下一樓
RPRNMLMJLHKGFFH28CB,坡道平面,1450000,28.80,地下二樓
RPQNMLMJLHKGFFH18CB,坡道平面,1500000,29.90,地下二樓
RPPNMLMJLHKGFBH77DB,坡道平面,2300000,43.10,地下三樓
RPQNMLNJLHKGFAH77CB,坡道平面,1850000,35.00,地下一樓
RPRNMLNJLHKGFAH87CB,坡道平面,1850000,36.08,地下二樓
RPSNMLNJLHKGFAH97CB,坡道平面,1850000,35.00,地下一樓
RPTNMLNJLHKGFAH08CB,坡道平面,2450000,37.36,地下一樓
RPTNMLNJLHKGFAH08CB,坡道平面,2450000,37.36,地下一樓
RPQNMLNJLHKGFBH87CB,坡道平面,1400000,31.04,地下二樓
RPRNMLNJLHKGFBH97CB,坡道平面,2200000,39.97,地下二樓
RPROMLNJLHKGFBH08CB,坡道平面,2000000,33.60,地下二樓
RPQNMLNJLHKGFDH08CB,坡道平面,1550000,31.20,地下三樓
RPRNMLNJLHKGFDH18CB,坡道平面,1900000,31.20,地下一樓
RPRNMLNJLHKGFDH18CB,坡道平面,1900000,31.20,地下一樓
RPSNMLNJLHKGFDH28CB,坡道平面,1470000,25.98,地下二樓
RPSNMLNJLHKGFBH08CB,坡道平面,2300000,39.97,地下二樓
RPPNMLNJLHKGFEH08CB,坡道平面,1800000,31.52,地下二樓
RPPNMLNJLHKGFHH38CB,坡道平面,2450000,32.40,地下一樓
RPPNMLOJLHKGFBH87CB,坡道平面,1450000,27.22,地下一樓
RPPNMLOJLHKGFBH87CB,坡道平面,1450000,27.22,地下一樓
RPQNMLOJLHKGFBH97CB,一樓平面,1450000,23.95,一樓
RPRNMLOJLHKGFBH08CB,一樓平面,1500000,23.95,一樓
RPSNMLNJLHKGFEH48DB,坡道平面,1900000,29.22,地下一樓
RPPNMLOJLHKGFDH08CB,坡道平面,1080000,35.07,地下三樓
RPPNMLOJLHKGFEH18CB,坡道平面,2150000,36.40,地下二樓
RPQNMLOJLHKGFEH28CB,坡道平面,1350000,45.20,地下三樓
RPUNMLOJLHKGFEH68CB,坡道平面,1600000,19.91,地下二樓
RPTNMLOJLHKGFEH58CB,坡道平面,1600000,19.91,地下二樓
RPQNMLOJLHKGFHH58CB,坡道機械,1500000,19.14,地下五樓含以下
RPSNMLOJLHKGFHH78CB,坡道平面,2300000,33.25,地下二樓
RPRNMLOJLHKGFHH68CB,坡道平面,2000000,38.28,地下五樓含以下
RPWNMLOJLHKGFEH88CB,坡道平面,1550000,32.08,地下二樓
RPXNMLOJLHKGFEH98CB,坡道平面,2200000,36.40,地下二樓
RPTNMLOJLHKGFHH88CB,坡道平面,2000000,38.28,地下五樓含以下
RPVNMLOJLHKGFHH09CB,坡道機械,1400000,19.14,地下五樓含以下
RPUNMLOJLHKGFHH98CB,坡道平面,2100000,38.28,地下四樓
RPXNMLOJLHKGFHH66CB,坡道平面,2100000,38.28,地下四樓
RPQNMLPJLHKGFAH97CB,坡道平面,2200000,35.28,地下二樓
RPPNMLPJLHKGFAH87CB,坡道平面,2100000,35.28,地下二樓
RPUNMLPJLHKGFAH38CB,坡道平面,1900000,25.45,地下四樓
RPTNMLPJLHKGFAH28CB,坡道平面,1510000,20.12,地下二樓
RPTNMLPJLHKGFAH28CB,坡道平面,1510000,20.12,地下二樓
RPPNMLPJLHKGFDH18CB,坡道平面,1500000,25.15,地下一樓
RPPNMLPJLHKGFEH28CB,坡道平面,2180000,30.53,地下二樓
RPQNMLPJLHKGFEH38CB,坡道平面,2180000,30.53,地下二樓
RPTNMLPJLHKGFEH68CB,坡道平面,1980000,30.53,地下三樓
RPRNMLPJLHKGFEH48CB,坡道平面,2080000,30.53,地下三樓
RPPNMLPJLHKGFCH08CB,坡道平面,1300000,27.46,地下一樓
RPPNMLPJLHKGFFH38CB,坡道平面,1690000,24.67,地下四樓
RPVNMLPJLHKGFEH88CB,坡道平面,1800000,22.39,地下二樓
RPQNMLPJLHKGFFH48CB,坡道平面,1860000,24.67,地下三樓
RPRNMLPJLHKGFFH58CB,坡道平面,1860000,24.67,地下三樓
RPSNMLPJLHKGFFH68CB,坡道平面,1860000,24.67,地下三樓
RPTNMLPJLHKGFFH78CB,坡道平面,1860000,24.67,地下三樓
RPPNMLPJLHKGFHH58CB,坡道平面,2000000,38.28,地下五樓含以下
RPRNMLPJLHKGFHH78CB,坡道平面,2200000,38.28,地下三樓
RPQNMLPJLHKGFHH68CB,坡道平面,2000000,38.28,地下五樓含以下
RPSNMLPJLHKGFHH88CB,坡道機械,1400000,19.14,地下五樓含以下
RPUNMLPJLHKGFHH09CB,坡道平面,2000000,38.28,地下五樓含以下
RPTNMLPJLHKGFHH98CB,坡道平面,2000000,38.28,地下五樓含以下
RPVNMLPJLHKGFHH56CB,坡道機械,1400000,19.14,地下五樓含以下
RPWNMLPJLHKGFHH66CB,坡道平面,2200000,38.28,地下五樓含以下
RPXNMLPJLHKGFHH76CB,坡道平面,1900000,38.28,地下五樓含以下
RPSNMLQJLHKGFAH28CB,坡道平面,2350000,52.90,地下二樓
RPOOMLQJLHKGFBH08CB,坡道平面,1500000,31.04,地下二樓
RPPNMLQJLHKGFAH97CB,坡道平面,1800000,41.50,地下四樓
RPPNMLQJLHKGFDH28CB,坡道平面,1400000,36.57,地下一樓
RPPNMLQJLHKGFEH38CB,坡道平面,1870000,31.53,地下二樓
RPQNMLQJLHKGFDH38CB,坡道平面,1350000,36.57,地下二樓
RPQNMLQJLHKGFEH48CB,坡道平面,1770000,30.25,地下二樓
RPRNMLQJLHKGFDH48CB,一樓平面,0,,一樓
RPPNMLQJLHKGFFH48CB,坡道平面,1850000,43.72,地下三樓
RPPNMLQJLHKGFBH18DB,坡道平面,2200000,39.97,地下二樓
RPQNMLRJLHKGFDH48CB,坡道平面,2000000,28.37,地下三樓
RPRNMLRJLHKGFDH58CB,坡道平面,1580000,25.98,地下一樓
RPSNMLRJLHKGFDH68CB,坡道平面,1610000,25.98,地下一樓
RPUNMLRJLHKGFDH88CB,坡道平面,1580000,25.98,地下一樓
RPPNMLRJLHKGFEH48CB,坡道平面,1550000,27.28,地下二樓
RPQNMLRJLHKGFEH58CB,坡道平面,1350000,27.28,地下二樓
RPQNMLRJLHKGFEH58CB,坡道平面,1350000,27.28,地下二樓
RPSNMLRJLHKGFEH78CB,坡道平面,1750000,34.42,地下一樓
RPPNMLSKKHKGFAH28DB,坡道平面,2450000,34.36,地下二樓
RPPNMLRJLHKGFBH18CB,一樓平面,1350000,37.29,一樓
RPUOMLQJLHKGFBH68CB,坡道平面,1500000,28.42,地下一樓
RPQNMLRJLHKGFFH68CB,坡道平面,1500000,27.91,地下二樓
RPSOMLPLKHKGFBH48CB,坡道平面,1550000,27.39,地下二樓
RPROMLPLKHKGFBH38CB,坡道平面,1550000,27.39,地下二樓
RPVNMLPLKHKGFBH68CB,坡道平面,1550000,27.39,地下二樓
RPUNMLPLKHKGFBH58CB,坡道平面,1500000,28.42,地下一樓
RPPOMLPLKHKGFBH18CB,坡道平面,1450000,28.42,地下一樓
RPXNMLPLKHKGFBH88CB,坡道平面,1450000,28.42,地下一樓
RPRNMLSJLHKGFBH48CB,一樓平面,1450000,13.75,一樓
RPRNMLRJLHKGFEH68CB,坡道平面,1350000,27.28,地下二樓
RPTNMLPLKHKGFBH48CB,坡道平面,1450000,28.42,地下一樓
RPRNMLRJLHKGFEH68CB,坡道平面,1350000,27.28,地下二樓
RPVOMLQJLHKGFBH78CB,坡道平面,1500000,28.42,地下一樓
RPPNMLSJLHKGFBH28CB,坡道平面,1900000,24.04,地下三樓
RPSNMLSJLHKGFBH58CB,一樓平面,1500000,13.75,一樓
RPPNMLSJLHKGFDH48CB,一樓平面,1100000,13.74,一樓
RPPNMLSJLHKGFAH28DB,坡道機械,1350000,13.72,地下四樓
RPQNMLSJLHKGFDH58CB,坡道平面,1370000,25.98,地下二樓
RPPNMLTJLHKGFEH68CB,坡道平面,1550000,27.28,地下二樓
RPTNMLSJLHKGFAH68DB,坡道機械,1350000,13.72,地下四樓
RPSNMLSJLHKGFDH78CB,坡道平面,1580000,25.98,地下一樓
RPRNMLSJLHKGFDH68CB,坡道平面,1500000,25.98,地下二樓
RPPNMLTJLHKGFCH48CB,坡道平面,1600000,24.48,地下一樓
RPPNMLKKLHKGFAH47CB,坡道平面,1900000,39.30,地下二樓
RPUNMLSJLHKGFBH78CB,坡道平面,1640000,29.62,地下一樓
RPUNMLSJLHKGFBH78CB,坡道平面,1640000,29.62,地下一樓
RPTNMLSJLHKGFBH68CB,坡道平面,1640000,29.62,地下二樓
RPTNMLSJLHKGFBH68CB,坡道平面,1640000,29.62,地下二樓
RPVNMLSJLHKGFBH88CB,坡道平面,1870000,29.62,地下一樓
RPQNMLKKLHKGFAH57CB,坡道平面,1900000,39.30,地下四樓
RPWNMLKKLHKGFAH18CB,坡道平面,2200000,31.91,地下一樓
RPSNMLKKLHKGFAH77CB,坡道平面,2200000,39.30,地下二樓
RPPNMLKKLHKGFBH57CB,坡道平面,2000000,37.60,地下一樓
RPRNMLKKLHKGFAH67CB,坡道平面,2200000,39.30,地下二樓
RPUNMLKKLHKGFAH97CB,坡道平面,2100000,39.30,地下三樓
RPVNMLKKLHKGFAH08CB,坡道平面,2050000,31.91,地下三樓
RPQNMLKKLHKGFEH97CB,坡道平面,1420000,25.87,地下二樓
RPPNMLKKLHKGFFH97CB,坡道平面,1950000,34.14,地下一樓
RPQNMLKKLHKGFFH08CB,坡道平面,1950000,34.14,地下一樓
RPRNMLKKLHKGFEH08CB,其他,1650000,32.39,地下二樓
RPPNMLKKLHKGFGH08CB,坡道平面,1800000,33.29,地下一樓
RPQNMLKKLHKGFHH28CB,坡道平面,1900000,23.81,地下一樓
RPPNMLKKLHKGFHH18CB,坡道平面,1750000,23.81,地下三樓
RPRNMLKKLHKGFHH38CB,坡道平面,1600000,23.81,地下三樓
RPSNMLKKLHKGFHH48CB,坡道平面,2050000,23.81,地下一樓
RPTNMLKKLHKGFHH58CB,坡道平面,2050000,23.81,地下一樓
RPRNMLLKLHKGFBH87CB,坡道平面,1500000,31.44,地下一樓
RPTNMLKKLHKGFAH87CB,坡道平面,2100000,39.30,地下三樓
RPTNMLKKLHKGFAH87CB,坡道平面,2100000,39.30,地下三樓
RPQNMLLKLHKGFBH77CB,坡道平面,1400000,31.44,地下一樓
RPSNMLLKLHKGFBH97CB,坡道平面,1700000,19.83,地下四樓
RPSNMLLKLHKGFBH97CB,坡道平面,1700000,19.83,地下四樓
RPPNMLLKLHKGFAH57CB,坡道平面,1700000,32.42,地下二樓
RPVNMLLKLHKGFBH28CB,坡道平面,1700000,19.83,地下四樓
RPVNMLLKLHKGFBH28CB,坡道平面,1700000,19.83,地下四樓
RPUNMLLKLHKGFBH18CB,坡道平面,1700000,19.83,地下四樓
RPUNMLLKLHKGFBH18CB,坡道平面,1700000,19.83,地下四樓
RPUNMLLKLHKGFBH18CB,坡道平面,1700000,19.83,地下四樓
RPXNMLLKLHKGFBH48CB,坡道平面,1700000,19.83,地下四樓
RPXNMLLKLHKGFBH48CB,坡道平面,1700000,19.83,地下四樓
RPXNMLLKLHKGFBH48CB,坡道平面,1700000,19.83,地下四樓
RPPNMLLKLHKGFCH77CB,坡道平面,1300000,39.30,地下二樓
RPVNMLKKLHKGFHH78CB,坡道平面,1900000,23.81,地下二樓
RPPNMLLKLHKGFDH87CB,坡道平面,1500000,25.15,地下一樓
RPRNMLLKLHKGFDH08CB,坡道平面,1500000,25.15,地下一樓
RPQNMLLKLHKGFDH97CB,坡道平面,1500000,25.15,地下一樓
RPTNMLLKLHKGFDH28CB,坡道平面,1440000,25.98,地下二樓
RPWNMLKKLHKGFHH88CB,坡道平面,1900000,23.81,地下二樓
RPTNMLKKLHKGFDH28DB,坡道平面,1650000,33.84,地下二樓
RPSNMLKKLHKGFDH18DB,坡道平面,1650000,33.84,地下二樓
RPPNMLKKLHKGFDH87DB,坡道平面,1400000,32.73,地下三樓
RPQNMLLKLHKGFEH08CB,坡道平面,2280000,30.53,地下一樓
RPTNMLLKLHKGFEH38CB,坡道平面,1550000,28.82,地下一樓
RPROMLLKLHKGFEH28CB,坡道平面,2280000,30.53,地下一樓
RPTOMLLKLHKGFEH48CB,坡道平面,2080000,30.53,地下三樓
RPXOMLLKLHKGFEH88CB,坡道平面,2280000,30.53,地下一樓
RPPOMLLKLHKGFEH08CB,坡道平面,2080000,28.05,地下二樓
RPWOMLLKLHKGFEH78CB,坡道平面,2080000,30.53,地下三樓
RPTPMLLKLHKGFEH58CB,坡道平面,1620000,30.53,地下二樓
RPQPMLLKLHKGFEH28CB,坡道平面,1620000,30.53,地下二樓
RPWNMLLKLHKGFEH68CB,坡道平面,1600000,27.05,地下一樓
RPRPMLLKLHKGFEH38CB,坡道平面,1620000,30.53,地下二樓
