編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPPMLLKKHKGFAH77CC,中路段,1196.00,都市：工,,,,18650007
RPSOMLMKKHKGFEH48CC,南華段,21.72,都市：住,,,,04430000
RPQNMLNKKHKGFAH87CC,桃園段武陵小段,38.07,都市：商,,,,00920000
RPSOMLNKKHKGFAH18CC,中路段,1653.00,都市：工,,,,17980000
RPSOMLNKKHKGFAH18CC,中路段,1411.00,都市：工,,,,17980004
RPSOMLNKKHKGFAH18CC,中路段,3190.00,都市：工,,,,17980051
RPSNMLNKKHKGFGH68CC,山子頂段,3549.00,都市：工,,,,03370001
RPSNMLSKKHKGFAH58CC,鹽埕段,60.50,都市：住,,,,10360000
RPRNMLSKKHKGFAH48CC,和平段,20.45,都市：住,,,,00580000
RPQNMLTKKHKGFFH98CC,大安段,729.20,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,03310000
RPVNMLKLKHKGFEH58CC,艋舺段,2795.08,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03700000
RPVNMLKLKHKGFEH58CC,艋舺段,658.05,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03710000
RPVNMLKLKHKGFHH88CC,善捷段,14.24,都市：商,,,,02160000
RPTNMLOLKHKGFEH78CC,大新段,633.50,都市：住,,,,05800000
RPTNMLOLKHKGFEH78CC,大新段,290.29,都市：住,,,,05810000
RPTNMLOLKHKGFEH78CC,大新段,87.50,都市：住,,,,05820000
RPUPMLPLKHKGFAH78CC,龍壽段,225.89,都市：住,,,,05440000
RPUPMLPLKHKGFAH78CC,龍壽段,16.57,都市：住,,,,05440001
RPWNMLQLKHKGFEH66CC,上興段,47.33,都市：住,,,,06880000
RPTNMLRLKHKGFCH88CC,九座段,20.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01760000
RPPNMLRLKHKGFFH88DC,大和段,14.98,都市：住,,,,02910000
RPPOMLNJLHKGFAH87CC,東國段,3547.00,都市：商,,,,05580000
RPRNMLSLKHKGFEH98CC,南新段,6.08,都市：住,,,,04480000
RPQNMLSLKHKGFEH88CC,南新段,6.08,都市：住,,,,04480000
RPPNMLNJLHKGFBH97DC,西寮段,117.02,都市：住,,,,02630000
RPRNMLNJLHKGFEH48DC,新鼻段,21.02,都市：住,,,,00470000
RPQNMLNJLHKGFEH38DC,竹圍段拔子林小段,67.26,都市：住,,,,03400000
RPPNMLNJLHKGFEH28DC,竹圍段拔子林小段,67.26,都市：住,,,,03400000
RPUNMLOJLHKGFAH38CC,慈文段,16.95,都市：住,,,,00370000
RPQNMLOJLHKGFCH18CC,石門段,24.52,都市：其他:空白,,,,00200000
RPVNMLPJLHKGFAH58CC,水汴頭段,835.20,都市：住,,,,00290000
RPVNMLPJLHKGFAH58CC,水汴頭段,608.11,都市：住,,,,00310000
RPVOMLPJLHKGFBH78CC,中工段,9308.00,都市：工,,,,13380006
RPPRMLPJLHKGFBH48CC,青昇段,529.01,都市：住,,,,04040005
RPPRMLPJLHKGFBH48CC,青昇段,529.01,都市：住,,,,04040006
RPQNMLPJLHKGFBH28DC,石頭段,37.00,都市：住,,,,00370318
RPQPMLQJLHKGFBH48CC,老街溪段,71.86,都市：商,,,,16170000
RPQPMLQJLHKGFBH48CC,老街溪段,41.15,都市：商,,,,16180000
RPUOMLQJLHKGFEH09CC,南山段,89.79,都市：工,,,,04920000
RPOOMLQJLHKGFHH78CC,樂善段,760.00,都市：其他:第四種住宅區,,,,02590000
RPVPMLRJLHKGFAH98CC,桃園段武陵小段,.00,都市：住,,,,01550001
RPQNMLRJLHKGFEH68CC,中園段,72.84,都市：住,,,,01800000
RPPOMLRJLHKGFEH68CC,坑口段,396.69,非都市：一般農業區 ; 非都市編定：農牧用地,,,,01980000
RPPNMLRJLHKGFAH28DC,和平段,18.23,都市：住,,,,02500000
RPPNMLSJLHKGFHH98CC,善捷段,4107.76,都市：商,,,,02240000
RPWOMLKKLHKGFAH38CC,和平段,2025.54,都市：住,,,,00550000
RPTPMLLKLHKGFAH28CC,大樹林段,12.34,都市：住,,,,03790000
RPQQMLLKLHKGFAH08CC,龍祥段,32.56,都市：住,,,,07220000
RPQQMLLKLHKGFAH08CC,龍祥段,2.21,都市：住,,,,07230000
RPPQMLLKLHKGFAH97CC,三民段,17.22,都市：住,,,,02270000
RPUQMLLKLHKGFAH48CC,忠義段,4.52,都市：住,,,,07000000
RPQOMLLKLHKGFDH18CC,石牌嶺段,2364.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06970000
RPSOMLLKLHKGFDH38CC,草湳坡段埔心小段,26.01,都市：住,,,,00100038
RPPNMLLKLHKGFBH87DC,新街段,6.38,都市：住,,,,08750000
RPQNMLLKLHKGFBH97DC,新街段,6.44,都市：住,,,,08750000
RPVOMLMKLHKGFAH48CC,江南段,11.18,都市：住,,,,13180000
RPXOMLMKLHKGFAH68CC,龍鳳段,59.87,都市：工,,,,09520000
RPXOMLMKLHKGFAH68CC,龍鳳段,56.76,都市：工,,,,09720000
RPQOMLLKLHKGFEH28CC,河底段,495.86,都市：農,,,,09270000
RPRPMLMKLHKGFAH18CC,同德段,31.16,都市：商,,,,00560000
RPPNMLMKLHKGFEH28DC,竹圍段崁下小段,120.40,都市：住,,,,04400008
RPQNMLNKLHKGFDH38DC,高獅段,19.50,非都市：一般農業區 ; 非都市編定：特定目的事業用地,,,,04110000
RPQNMLNKLHKGFEH48DC,錦興段,5.50,都市：住,,,,00550000
RPPNMLPKLHKGFAH08CC,和平段,9270.60,都市：其他:住宅區，河川區,,,,00300000
RPPNMLPKLHKGFAH08CC,和平段,185.40,都市：其他:河川區,,,,00300009
RPUNMLPKLHKGFAH58CC,大樹林段,7.83,都市：住,,,,03790000
RPQNMLPKLHKGFAH18CC,新埔段,33.40,都市：住,,,,06610000
RPVOMLOKLHKGFHH76CC,興華段,638.00,都市：住,,,,07790000
RPUOMLOKLHKGFHH66CC,文化段,777.00,都市：住,,,,06580000
RPOOMLRKLHKGFEH68CC,山鼻段,221.06,都市：住,,,,05480000
RPUNMLRKLHKGFEH56CC,山腳段,440.14,非都市：一般農業區 ; 非都市編定：交通用地,,,,09030000
RPUNMLRKLHKGFEH56CC,山腳段,51176.43,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,00890001
RPVNMLRKLHKGFFH76CC,明智段,22.16,都市：其他:空白,,,,00040000
