編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLMKKHKGFAH38CC,坡道平面,1000,,地下一樓
RPTNMLMKKHKGFDH38CC,坡道平面,2000,33.66,地下一樓
RPUNMLMKKHKGFHH88CC,坡道平面,2800,29.88,地下二樓
RPTNMLMKKHKGFHH78CC,坡道平面,0,46.90,地下二樓
RPUNMLLKKHKGFBH18CC,坡道平面,500,38.62,地下二樓
RPQNMLNKKHKGFAH87CC,坡道平面,0,32.05,地下二樓
RPQNMLNKKHKGFAH87CC,坡道平面,0,28.43,地下二樓
RPSOMLNKKHKGFBH28CC,坡道平面,2500,,地下一樓
RPXOMLNKKHKGFBH78CC,坡道平面,3000,27.35,地下一樓
RPQOMLNKKHKGFCH18CC,坡道平面,1500,,地下二樓
RPRNMLNKKHKGFHH68CC,坡道平面,3000,,地下一樓
RPPNMLNKKHKGFFH28CC,坡道平面,2000,33.83,地下二樓
RPPNMLOKKHKGFAH87CC,坡道平面,500,33.31,地下一樓
RPVNMLOKKHKGFBH58CC,坡道平面,0,32.21,地下一樓
RPOOMLOKKHKGFBH97CC,坡道平面,3500,35.22,地下二樓
RPQQMLOKKHKGFBH38CC,坡道平面,2000,35.36,地下三樓
RPTNMLOKKHKGFDH58CC,坡道平面,1000,30.19,地下一樓
RPQNMLOKKHKGFEH38CC,坡道平面,3000,,地下二樓
RPPNMLPKKHKGFBH08CC,坡道機械,1500,,地下一樓
RPVNMLOKKHKGFEH88CC,坡道平面,0,27.33,地下一樓
RPVNMLOKKHKGFEH88CC,坡道平面,0,31.78,地下一樓
RPQNMLPKKHKGFBH18CC,坡道平面,2500,34.54,地下二樓
RPQNMLPKKHKGFBH18CC,坡道平面,2500,34.54,地下二樓
RPRNMLPKKHKGFBH28CC,坡道平面,2500,30.99,地下二樓
RPVOMLRKKHKGFBH98CC,坡道平面,3000,24.86,地下二樓
RPSQMLRKKHKGFBH88CC,坡道平面,2500,,地下一樓
RPXPMLRKKHKGFBH66CC,一樓平面,2500,11.56,一樓
RPPNMLRKKHKGFDH48CC,坡道平面,2500,,地下一樓
RPSNMLRKKHKGFDH78CC,坡道平面,2000,35.74,地下一樓
RPUNMLRKKHKGFDH98CC,坡道平面,2000,31.74,地下一樓
RPQNMLRKKHKGFEH68CC,坡道平面,2000,38.00,地下三樓
RPXNMLRKKHKGFFH86CC,坡道平面,0,,地下二樓
RPQNMLRKKHKGFFH78CC,坡道平面,2000,31.60,地下二樓
RPOOMLRKKHKGFFH68CC,坡道平面,2500,39.80,地下一樓
RPTNMLRKKHKGFFH09CC,坡道平面,1000,37.11,地下二樓
RPXNMLRKKHKGFGH96CC,坡道平面,2500,,地下一樓
RPQNMLSKKHKGFAH38CC,坡道平面,1800,,地下二樓
RPPNMLRKKHKGFHH88CC,坡道平面,3000,29.88,地下三樓
RPOOMLSKKHKGFAH28CC,坡道平面,1300,,地下二樓
RPOPMLSKKHKGFAH38CC,坡道平面,2500,,地下二樓
RPPNMLSKKHKGFBH38CC,坡道平面,1500,33.72,地下三樓
RPPQMLSKKHKGFBH68CC,一樓平面,2000,,一樓
RPVNMLSKKHKGFCH09CC,坡道平面,100,28.86,地下二樓
RPPNMLSKKHKGFDH58CC,坡道平面,1000,24.74,地下一樓
RPRNMLSKKHKGFDH78CC,坡道平面,500,,地下二樓
RPTNMLSKKHKGFEH09CC,坡道平面,3000,36.04,地下二樓
RPXNMLSKKHKGFEH86CC,坡道平面,2500,,地下一樓
RPUNMLSKKHKGFEH56CC,坡道平面,2500,23.50,地下二樓
RPWNMLSKKHKGFEH76CC,坡道平面,2500,23.50,地下二樓
RPPNMLSKKHKGFGH88CC,坡道平面,500,,地下一樓
RPPNMLSKKHKGFFH78CC,坡道平面,2000,35.04,地下三樓
RPOOMLSKKHKGFEH68CC,坡道平面,2500,24.51,地下二樓
RPPNMLSKKHKGFHH98CC,坡道平面,0,26.47,地下二樓
RPQOMLTKKHKGFAH58CC,坡道平面,2500,33.97,地下二樓
RPXOMLTKKHKGFAH66CC,坡道平面,2000,,地下一樓
RPRPMLTKKHKGFAH78CC,坡道平面,300,,地下一樓
RPVPMLTKKHKGFAH56CC,坡道平面,3000,31.10,地下三樓
RPSPMLTKKHKGFAH88CC,坡道平面,3000,,地下二樓
RPQNMLTKKHKGFBH58CC,一樓平面,300,,一樓
RPRPMLSKKHKGFAH68CC,坡道平面,2500,,地下一樓
RPOOMLTKKHKGFAH38CC,坡道平面,3000,,地下二樓
RPSNMLTKKHKGFAH68CC,坡道平面,3000,23.03,地下一樓
RPVOMLTKKHKGFBH56CC,坡道平面,3000,34.42,地下一樓
RPXOMLTKKHKGFBH76CC,坡道平面,2000,32.45,地下二樓
RPPPMLTKKHKGFBH68CC,坡道平面,1000,,地下一樓
RPRPMLTKKHKGFBH88CC,坡道平面,3000,,地下三樓
RPUPMLTKKHKGFBH56CC,坡道平面,2000,33.35,地下二樓
RPQRMLTKKHKGFBH98CC,坡道平面,0,44.10,地下二樓
RPWQMLTKKHKGFBH86CC,坡道平面,2500,29.36,地下三樓
RPRRMLTKKHKGFBH09CC,一樓平面,2000,,一樓
RPSPMLTKKHKGFEH66CC,坡道平面,1500,22.11,地下三樓
RPUNMLTKKHKGFFH76CC,坡道平面,3000,33.16,地下二樓
RPRNMLTKKHKGFFH09CC,坡道平面,1000,25.78,地下三樓
RPQNMLTKKHKGFGH09CC,坡道平面,2000,38.94,地下二樓
RPPNMLTKKHKGFHH09CC,坡道平面,2500,23.76,地下三樓
RPRNMLTKKHKGFHH66CC,坡道平面,0,21.54,地下二樓
RPRNMLTKKHKGFHH66CC,坡道平面,0,21.54,地下二樓
RPQOMLTKKHKGFHH66CC,坡道平面,0,26.34,地下四樓
RPWNMLTKKHKGFHH17CC,坡道平面,3000,23.78,地下三樓
RPTOMLKLKHKGFAH08CC,坡道平面,0,,地下一樓
RPSOMLKLKHKGFAH97CC,坡道平面,2000,29.96,地下二樓
RPRPMLKLKHKGFAH97CC,坡道機械,500,,地下二樓
RPUNMLKLKHKGFBH18CC,坡道平面,0,38.76,地下二樓
RPQOMLKLKHKGFBH87CC,坡道平面,2000,30.11,地下一樓
RPTOMLKLKHKGFBH18CC,坡道平面,1500,33.51,地下一樓
RPSOMLKLKHKGFBH08CC,坡道平面,3000,30.11,地下一樓
RPWOMLKLKHKGFBH48CC,坡道平面,0,,地下二樓
RPWPMLKLKHKGFBH58CC,坡道平面,3000,,地下一樓
RPPQMLKLKHKGFBH97CC,坡道平面,2500,31.07,地下二樓
RPQNMLKLKHKGFCH87CC,坡道平面,2500,,地下二樓
RPPNMLKLKHKGFCH77CC,坡道平面,2000,28.09,地下一樓
RPQNMLKLKHKGFEH08CC,坡道平面,2000,27.99,地下一樓
RPSNMLKLKHKGFEH28CC,坡道平面,500,24.96,地下一樓
RPPOMLKLKHKGFEH08CC,坡道平面,2500,24.51,地下二樓
RPROMLKLKHKGFEH28CC,坡道平面,0,24.76,地下四樓
RPPNMLKLKHKGFFH08CC,坡道平面,2500,33.06,地下三樓
RPRNMLKLKHKGFFH28CC,坡道平面,3000,22.05,地下二樓
RPSNMLKLKHKGFFH38CC,坡道平面,3000,20.96,地下三樓
RPWNMLKLKHKGFFH78CC,坡道平面,3000,24.74,地下一樓
RPXNMLKLKHKGFFH88CC,坡道平面,1000,39.80,地下三樓
RPOOMLKLKHKGFFH08CC,坡道平面,3000,22.51,地下二樓
RPQNMLKLKHKGFGH28CC,坡道平面,2000,23.39,地下一樓
RPRNMLKLKHKGFGH38CC,坡道平面,1250,30.15,地下三樓
RPRNMLKLKHKGFGH38CC,坡道平面,1250,30.15,地下三樓
RPWNMLKLKHKGFHH98CC,坡道平面,0,33.21,地下五樓含以下
RPOOMLKLKHKGFHH28CC,坡道平面,2900,,地下一樓
RPROMLKLKHKGFHH58CC,坡道平面,3000,,地下一樓
RPSOMLKLKHKGFHH68CC,坡道平面,2000,29.40,地下二樓
RPTNMLLLKHKGFAH08CC,坡道平面,2028,26.56,地下二樓
RPVNMLLLKHKGFAH28CC,坡道平面,2500,24.03,地下三樓
RPSOMLLLKHKGFAH08CC,坡道平面,3000,,地下二樓
RPTOMLLLKHKGFAH18CC,坡道平面,2300,,地下一樓
RPWOMLLLKHKGFAH48CC,坡道平面,3000,27.25,地下四樓
RPXOMLLLKHKGFAH58CC,坡道平面,1000,46.72,地下二樓
RPOPMLLLKHKGFAH77CC,坡道平面,3500,,地下三樓
RPQPMLLLKHKGFAH97CC,坡道平面,3500,24.85,地下二樓
RPSQMLLLKHKGFAH28CC,坡道平面,3000,31.36,地下四樓
RPWQMLLLKHKGFAH68CC,坡道平面,3000,24.93,地下三樓
RPPRMLLLKHKGFAH08CC,坡道平面,3000,24.93,地下二樓
RPTRMLLLKHKGFAH48CC,坡道平面,1200,,地下一樓
