編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLSJNHKGFAI78DA,50,119.47,住商用,鋼筋混凝土造,64年6月19日,二層,一層 二層 騎樓 電梯樓梯間 夾層,全筆移轉
RPUNMLPKNHKGFAI78DA,1,67.70,店舖、停車空間,鋼筋混凝土造,113年4月23日,五層,一層 見其他登記事項,全筆移轉
RPRNMLRLNHKGFAI78DA,32,29.09,住家用,鋼筋混凝土造,82年8月24日,九層,六層 陽台,全筆移轉
RPUNMLPKNHKGFAI78DA,1,5.09,本共有部分之項目有梯廳、管委會空間、停車空間、車道、機械室、水箱等６項,鋼筋混凝土造,113年4月23日,五層,,持分移轉
RPRNMLRLNHKGFAI78DA,32,8.11,共有部份,鋼筋混凝土造,82年8月24日,九層,,持分移轉
RPUNMLQLNHKGFAI98DA,36,34.77,住家用,鋼筋混凝土造,78年1月17日,七層,四層 陽台,全筆移轉
RPUNMLQLNHKGFAI98DA,36,5.57,共有部份,鋼筋混凝土造,78年1月17日,七層,,持分移轉
RPTNMLQLNHKGFAI88DA,36,20.86,共有部份,鋼筋混凝土造,78年6月6日,五層,,持分移轉
RPTNMLQLNHKGFAI88DA,36,125.29,住家用,鋼筋混凝土造,78年6月6日,五層,五層 陽台,全筆移轉
RPOOMLKLNHKGFAI87DA,,101.54,住家用,見使用執照,25年10月0日,二層,一層 二層 騎樓,全筆移轉
RPVNMLKLNHKGFAI48DA,30,23.37,住家用,鋼筋混凝土造,84年10月4日,十一層,六層,全筆移轉
RPVNMLKLNHKGFAI48DA,30,4.55,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPVNMLKLNHKGFAI48DA,30,3.34,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPTNMLPJOHKGFAI68DA,16,163.59,住宅、梯間,鋼筋混凝土構造,97年12月18日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLPJOHKGFAI48DA,46,113.22,住商用,鋼筋混凝土造,68年8月18日,二層,一層 二層 騎樓,全筆移轉
RPRNMLQJOHKGFAI58DA,17,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,三層,全筆移轉
RPRNMLQJOHKGFAI58DA,17,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,持分移轉
RPVNMLPJOHKGFAI88DA,39,.05,共有部份,鋼筋混凝土造,75年10月19日,九層,,持分移轉
RPVNMLPJOHKGFAI88DA,39,95.01,住家用,鋼筋混凝土造,75年10月19日,五層,五層 陽台,全筆移轉
RPVNMLPJOHKGFAI88DA,39,8.21,共有部份,鋼筋混凝土造,75年10月19日,五層,,持分移轉
RPVNMLPJOHKGFAI88DA,39,.06,共有部份,鋼筋混凝土造,75年10月19日,五層,,持分移轉
RPVNMLPJOHKGFAI88DA,39,5.29,共有部份,鋼筋混凝土造,75年10月19日,十層,,持分移轉
RPPNMLMJOHKGFAI08EA,17,224.58,住家用,鋼筋混凝土造,97年7月4日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLSJMHKGFAI58DA,34,35.41,避難室、地下停車場,鋼筋混凝土造,79年10月15日,七層,地下二層,持分移轉
RPRNMLSJMHKGFAI58DA,34,1.11,共有部份,鋼筋混凝土造,79年10月15日,七層,,持分移轉
RPQNMLTJMHKGFAI58DA,33,114.55,住家用,鋼筋混凝土造,81年8月28日,十層,五層 陽台 花台,全筆移轉
RPQNMLTJMHKGFAI58DA,33,62.23,共有部份,鋼筋混凝土造,81年8月28日,十層,,持分移轉
RPPNMLSLNHKGFAI68DA,29,16.77,商業用,鋼筋混凝土造,85年3月1日,十一層,八層 陽台,全筆移轉
RPPNMLSLNHKGFAI68DA,29,8.22,共有部份,鋼筋混凝土造,85年3月1日,十一層,,持分移轉
RPPNMLSLNHKGFAI68DA,29,4.65,共有部份,鋼筋混凝土造,85年3月1日,十一層,,持分移轉
RPTNMLNLNHKGFAI58DA,32,8.13,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPTNMLNLNHKGFAI58DA,32,10.58,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPTNMLNLNHKGFAI58DA,32,49.34,住家用,鋼筋混凝土造,82年6月9日,十六層,六層 陽台,全筆移轉
RPUNMLMLNHKGFAI58DA,36,115.00,住商用,鋼筋混凝土造,77年12月5日,七層,一層 二層 陽台,全筆移轉
RPUNMLMLNHKGFAI58DA,36,61.93,避難室,鋼筋混凝土造,77年12月5日,七層,地下層,持分移轉
RPUNMLMLNHKGFAI58DA,36,15.64,共有部份,鋼筋混凝土造,77年12月5日,七層,,持分移轉
RPSNMLLLNHKGFAI28DA,32,9.75,共有部份,鋼筋混凝土造,82年10月12日,七層,,持分移轉
RPSNMLLLNHKGFAI28DA,32,16.68,住家用,鋼筋混凝土造,82年10月12日,七層,七層 陽台,全筆移轉
RPROMLNJOHKGFAI38DA,2,266.68,集合住宅、梯間,鋼筋混凝土造,112年6月1日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPOOMLNJOHKGFAI08DA,32,.43,共有部份,鋼筋混凝土造,81年11月18日,十六層,,持分移轉
RPOOMLNJOHKGFAI08DA,32,3.25,共有部份,鋼筋混凝土造,81年11月18日,十六層,,持分移轉
RPOOMLNJOHKGFAI08DA,32,26.01,共有部份,鋼筋混凝土造,81年11月18日,十六層,,持分移轉
RPOOMLNJOHKGFAI08DA,32,21.04,避難室、停車場,鋼筋混凝土造,81年11月18日,十六層,地下層,持分移轉
RPOOMLNJOHKGFAI08DA,32,156.84,住家用,鋼筋混凝土造,81年11月18日,十六層,十層 陽台,全筆移轉
RPRNMLOJOHKGFAI38DA,10,215.84,住宅、停車空間、店舖、門廊,鋼筋混凝土構造,104年5月12日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLOJOHKGFAI38DA,10,.08,本共有部分計有管理維護空間等一項。,鋼筋混凝土構造,104年5月12日,一層,,持分移轉
RPPNMLOLMHKGFAI28EA,,29.53,,木造,,一層,一層,全筆移轉
RPRNMLPLMHKGFAI48DA,2,206.07,住家用,鋼筋混凝土構造,111年11月18日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLNKNHKGFAI88DA,47,99.60,住商用,鋼筋混凝土加強磚造,66年12月16日,二層,一層 二層 騎樓,全筆移轉
RPUNMLNKNHKGFAI58DA,1,161.65,住宅,鋼筋混凝土造,112年11月24日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLNKNHKGFAI48DA,40,127.48,辦公廳,鋼筋混凝土造,74年1月15日,八層,四層,全筆移轉
RPTNMLNKNHKGFAI48DA,40,25.74,共有部份,鋼筋混凝土造,74年1月15日,八層,,持分移轉
RPQNMLOLMHKGFAI28DA,47,113.64,住商用,鋼筋混凝土加強磚造,66年11月11日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPPNMLPLMHKGFAI28DA,29,28.93,住家用,鋼筋混凝土造,85年6月18日,九層,九層 陽台,全筆移轉
RPPNMLPLMHKGFAI28DA,29,11.92,共有部份,鋼筋混凝土造,85年6月18日,九層,,持分移轉
RPXNMLKMMHKGFAI68DA,17,8.62,辦公室,鋼筋混凝土造,97年3月3日,四層,三層,全筆移轉
RPXNMLKMMHKGFAI68DA,17,5.80,共有部份,鋼筋混凝土造,97年3月3日,四層,,持分移轉
RPQNMLPJNHKGFAI38EA,42,7.52,共有部份,鋼筋混凝土造,71年12月30日,五層,,持分移轉
RPQNMLPJNHKGFAI38EA,42,8.40,共有部份,鋼筋混凝土造,71年12月30日,五層,,持分移轉
RPQNMLPJNHKGFAI38EA,42,99.24,住家用,鋼筋混凝土造,71年12月30日,五層,五層,全筆移轉
RPXNMLMJNHKGFAI68DA,34,15.02,共有部份,鋼筋混凝土造,79年11月19日,七層,,持分移轉
RPXNMLMJNHKGFAI68DA,34,54.37,住家用,鋼筋混凝土造,79年11月19日,七層,二層 陽台,全筆移轉
RPVNMLPJNHKGFAI78DA,30,26.62,住家用,鋼筋混凝土造,84年1月24日,七層,六層 陽台 花台,全筆移轉
RPVNMLPJNHKGFAI78DA,30,8.17,共有部份,鋼筋混凝土造,84年1月24日,七層,,持分移轉
RPUNMLQJNHKGFAI78DA,22,128.67,住家用,鋼筋混凝土造,92年3月17日,十三層,三層 陽台,全筆移轉
RPUNMLQJNHKGFAI78DA,22,71.51,共有部份,鋼筋混凝土造,92年3月17日,十四層,,持分移轉
RPOOMLQJNHKGFAI28DA,20,115.54,住家用,鋼筋混凝土造,93年11月3日,十四層,十四層 陽台,全筆移轉
RPOOMLQJNHKGFAI28DA,20,72.35,共有部份,鋼筋混凝土造,93年11月3日,十四層,,持分移轉
RPWNMLPJNHKGFAI88DA,1,183.19,住宅、樓梯間,鋼筋混凝土造,113年9月9日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPROMLPJNHKGFAI48DA,31,101.51,住家用,鋼筋混凝土造,83年6月25日,四層,一層 二層 三層 四層 陽台 電梯樓梯間,持分移轉
RPTNMLQJNHKGFAI68DA,30,21.33,共有部份,鋼筋混凝土造,83年11月28日,十二層,,持分移轉
RPTNMLQJNHKGFAI68DA,30,57.93,住商用,鋼筋混凝土造,83年11月28日,十二層,一層 二層 陽台,持分移轉
RPWNMLQJNHKGFAI98DA,62,68.42,住家用,木造,52年7月1日,二層,一層 二層,全筆移轉
RPRNMLPJNHKGFAI38DA,53,79.26,住家用,鋼筋混凝土加強磚造,61年9月21日,二層,一層 二層,全筆移轉
RPTNMLOLMHKGFAI58DA,3,190.55,住宅、樓梯間,鋼筋混凝土構造,111年5月5日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXNMLLLMHKGFAI68DA,17,8.62,辦公室,鋼筋混凝土造,97年3月3日,四層,三層 陽台,全筆移轉
RPXNMLLLMHKGFAI68DA,17,5.80,共有部份,鋼筋混凝土造,97年3月3日,四層,,持分移轉
RPQNMLLLMHKGFAI97DA,30,31.70,住家用,鋼筋混凝土造,84年5月19日,十五層,四層,全筆移轉
RPQNMLLLMHKGFAI97DA,30,3.14,住家用,鋼筋混凝土造,84年5月19日,十五層,五層 陽台 露台 雨遮,持分移轉
RPQNMLLLMHKGFAI97DA,30,.65,住家用,鋼筋混凝土造,84年5月19日,十五層,六層 陽台,持分移轉
RPQNMLLLMHKGFAI97DA,30,11.43,共有部份,鋼筋混凝土造,84年5月19日,十五層,,持分移轉
RPQNMLLLMHKGFAI97DA,30,.20,共有部份,鋼筋混凝土造,84年5月19日,十五層,,持分移轉
RPQNMLLLMHKGFAI97DA,30,.14,共有部份,鋼筋混凝土造,84年5月19日,十五層,,持分移轉
RPSNMLPJNHKGFAI48DA,32,86.18,住家用,鋼筋混凝土造,82年6月23日,十二層,八層 陽台,全筆移轉
RPSNMLPJNHKGFAI48DA,32,12.19,共有部份,鋼筋混凝土造,82年6月23日,十二層,,持分移轉
RPSNMLPJNHKGFAI48DA,32,14.91,共有部份,鋼筋混凝土造,82年6月23日,十三層,,持分移轉
RPRNMLSJNHKGFAI68DA,,185.85,住宅、樓梯間,鋼筋混凝土造,113年10月17日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLRJNHKGFAI68DA,31,30.11,住家用,鋼筋混凝土造,83年5月6日,七層,四層 陽台,全筆移轉
RPSNMLRJNHKGFAI68DA,31,6.12,共有部份,鋼筋混凝土造,83年5月6日,七層,,持分移轉
RPSNMLRJNHKGFAI68DA,31,5.78,共有部份,鋼筋混凝土造,83年5月6日,七層,,持分移轉
RPRNMLTJNHKGFAI88EA,53,79.92,住家用,木造,61年8月10日,二層,一層 二層,全筆移轉
RPTNMLRJNHKGFAI78DA,42,28.44,商業用,鋼筋混凝土加強磚造,72年5月9日,二層,一層,全筆移轉
RPTNMLRJNHKGFAI78DA,42,28.44,攤位,鋼筋混凝土磚造,72年5月9日,二層,二層,全筆移轉
RPTNMLRJNHKGFAI78DA,42,98.76,商業用,鋼筋混凝土加強磚造,72年5月9日,二層,一層 二層 騎樓,全筆移轉
RPRNMLMKNHKGFAI28EA,36,120.99,住家用,鋼筋混凝土造,78年6月6日,五層,三層 陽台,全筆移轉
RPRNMLMKNHKGFAI28EA,36,21.96,共有部份,鋼筋混凝土造,78年6月6日,五層,,持分移轉
RPOOMLMJNHKGFAI87DA,5,197.75,住宅、樓梯間,鋼筋混凝土構造,108年12月13日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLNKNHKGFAI18EA,42,93.48,住家用,鋼筋混凝土造,72年9月20日,五層,三層,全筆移轉
RPPNMLNKNHKGFAI18EA,42,9.89,共有部份,鋼筋混凝土造,72年9月20日,五層,,持分移轉
RPPNMLNKNHKGFAI18EA,42,21.74,共有部份,鋼筋混凝土造,72年9月20日,五層,,持分移轉
RPSNMLTJNHKGFAI88DA,31,108.76,住家用,鋼筋混凝土造,83年9月14日,十二層,六層 陽台 花台,全筆移轉
RPSNMLTJNHKGFAI88DA,31,35.77,共有部份,鋼筋混凝土造,83年9月14日,十二層,,持分移轉
RPQNMLNKNHKGFAI18DA,11,240.34,住宅、樓梯間,鋼筋混凝土構造,103年8月1日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLNKNHKGFAI08DA,,246.51,住宅,鋼筋混凝土造,113年11月26日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLMKNHKGFAI97DA,34,85.73,住家用,鋼筋混凝土造,80年10月4日,十層,二層 陽台,全筆移轉
RPPNMLMKNHKGFAI97DA,34,10.86,共有部份,鋼筋混凝土造,80年10月4日,十層,,持分移轉
