編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQJLHKGFAI08CB,坡道平面,1700000,33.15,地下三樓
RPPNMLPKKHKGFAI97CB,坡道平面,1600000,31.90,地下三樓
RPPNMLSLKHKGFAI38CB,坡道機械,750000,28.37,地下三樓
RPPNMLLLKHKGFAI67CB,坡道平面,1700000,35.88,地下四樓
RPPNMLTJLHKGFAI38CB,坡道平面,1800000,31.90,地下一樓
RPPNMLTKLHKGFAI48CB,升降機械,600000,9.62,一樓
RPPNMLRJLHKGFAI18CB,坡道平面,1450000,35.08,地下二樓
RPQNMLOLLHKGFAI18CB,坡道平面,1850000,31.90,地下一樓
RPVNMLOLLHKGFAI68CB,一樓平面,0,,一樓
RPWNMLRJMHKGFAI98CB,坡道平面,2050000,38.39,地下一樓
RPQNMLLJMHKGFAI77CB,升降機械,700000,13.80,一樓
RPPNMLSJMHKGFAI38CB,坡道平面,2050000,38.39,地下一樓
RPTNMLLJMHKGFAI08CB,坡道平面,1850000,38.40,地下三樓
RPQNMLPLLHKGFAI28CB,坡道平面,1850000,39.00,地下三樓
RPOOMLRJMHKGFAI28CB,坡道平面,1850000,38.40,地下三樓
RPUNMLOLLHKGFAI58CB,一樓平面,1500000,24.75,一樓
RPRNMLQLLHKGFAI48CB,坡道平面,2200000,14.02,地下一樓
RPWNMLOLLHKGFAI78CB,一樓平面,0,,一樓
RPPNMLOLLHKGFAI08CB,升降機械,600000,9.62,一樓
RPSNMLQLLHKGFAI58CB,坡道平面,1950000,18.95,地下一樓
RPPNMLMJMHKGFAI77CB,坡道機械,850000,28.37,地下二樓
RPUNMLLJMHKGFAI18CB,坡道平面,1850000,38.40,地下三樓
RPSNMLLJMHKGFAI97CB,坡道平面,1850000,38.40,地下三樓
RPWNMLQKMHKGFAI98CB,坡道機械,700000,12.70,地下一樓
RPSNMLQKMHKGFAI58CB,坡道機械,700000,12.70,地下一樓
RPQNMLPKNHKGFAI38CB,一樓平面,0,,一樓
RPRNMLSJMHKGFAI58CB,坡道平面,1950000,38.40,地下二樓
RPPNMLRKMHKGFAI38CB,一樓平面,0,,一樓
RPPNMLMLMHKGFAI97CB,坡道平面,1750000,31.90,地下二樓
RPPNMLSLMHKGFAI58CB,坡道平面,1850000,38.40,地下三樓
RPRNMLLKMHKGFAI97CB,一樓平面,0,,一樓
RPRNMLLKMHKGFAI97CB,一樓平面,0,,一樓
RPQNMLMJNHKGFAI97CB,一樓平面,0,,一樓
RPVNMLQKMHKGFAI88CB,坡道機械,700000,12.70,地下一樓
RPQNMLLKMHKGFAI87CB,一樓平面,0,,一樓
RPPNMLOKMHKGFAI08CB,坡道平面,1300000,26.70,地下一樓
RPPNMLOKMHKGFAI08CB,坡道平面,1300000,26.70,地下一樓
RPPNMLOKMHKGFAI08CB,坡道平面,1300000,26.70,地下一樓
RPRNMLPKNHKGFAI48CB,一樓平面,0,,一樓
RPRNMLMJNHKGFAI08CB,一樓平面,0,,一樓
RPTNMLTKNHKGFAI09CB,坡道平面,1750000,25.75,地下二樓
RPRNMLTKNHKGFAI88CB,坡道平面,1850000,25.75,地下一樓
RPUNMLMJOHKGFAI48CB,坡道平面,1900000,24.57,地下一樓
RPTNMLMJOHKGFAI38CB,坡道平面,2000000,24.57,地下一樓
RPQNMLMJOHKGFAI08CB,一樓平面,2100000,24.57,一樓
RPPNMLMJOHKGFAI97CB,一樓平面,2000000,24.57,一樓
RPRNMLSLNHKGFAI88CB,一樓平面,0,,一樓
RPRNMLSLNHKGFAI88CB,一樓平面,0,,一樓
RPRNMLSLNHKGFAI88CB,一樓平面,0,,一樓
RPPNMLLKMHKGFAI87DB,坡道平面,1950000,38.40,地下二樓
RPPNMLRLNHKGFAI58CB,升降機械,700000,13.80,一樓
