鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市力行街１７號８樓３,0.0,,,,1140211,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,47.14,1,0,1,有,有,有,8000,170,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPROMLMKKHKGFAI08CC,獨立套房,有,1140220~1150219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋+車位,嘉義市嘉義市北興街１８０號３樓４,0.0,,,,1140213,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821216,103.99000000000001,2,2,1,有,無,無,12000,115,坡道平面,0.0,0,,RPWNMLNKKHKGFAI58CC,整棟(戶)出租,無,1140301~1150228,有,冷氣、熱水器,
嘉義市,租賃房屋,嘉義市嘉義市興安街２１７巷６號,0.0,,,,1140211,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0630110,81.86,5,2,3,有,無,有,19000,232,,0.0,0,,RPXNMLNKKHKGFAI68CC,整棟(戶)出租,無,1140301~1170228,無,冷氣、洗衣機、冰箱、瓦斯或天然氣,
嘉義市,租賃房屋,嘉義市嘉義市彌陀路４２號三樓之１６,0.0,,,,1140211,土地0建物1車位0,三層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970303,14.419999999999998,1,0,1,有,有,有,4000,277,,0.0,0,含增建或未登記建物；,RPRNMLOKKHKGFAI18CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
嘉義市,土地,湖內段1183地號,109.1,住,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,11000,101,,0.0,0,含增建或未登記建物；,RPTNMLOKKHKGFAI38CC,,,1140301~1170301,,,
嘉義市,租賃房屋,嘉義市嘉義市忠孝路５３７之３８號３樓,0.0,,,,1140211,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土加強磚造,0690917,87.83999999999999,3,1,1,有,無,無,9000,102,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPPNMLRKKHKGFAI28CC,整棟(戶)出租,無,1140225~1150224,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市健康十七街６０號,0.0,,,,1140217,土地0建物1車位0,一層,5,店面(店鋪),店舖、停車空間,鋼筋混凝土構造,1111019,62.300000000000004,1,1,1,有,有,無,17000,273,,0.0,0,,RPRNMLRKKHKGFAI48CC,,有,1140301~1170229,無,冷氣,
嘉義市,租賃房屋,嘉義市嘉義市小雅路２０１號１２樓１４,0.0,,,,1140214,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,59.16,1,0,1,有,有,有,8500,144,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPRNMLSKKHKGFAI58CC,獨立套房,有,1140221~1150220,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市杭州四街８６號２樓３,0.0,,,,1140213,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,37.300000000000004,1,0,1,有,有,有,7000,188,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPSNMLSKKHKGFAI68CC,獨立套房,有,1140301~1150228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市重慶路３８４號４樓之１７,0.0,,,,1140214,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821012,32.67,1,0,1,有,無,有,5500,168,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPUNMLSKKHKGFAI88CC,獨立套房,無,1140225~1150224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市博愛路二段１６８號９樓之３,0.0,,,,1140212,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,79.07000000000001,2,1,1,有,有,有,12000,152,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPVNMLSKKHKGFAI98CC,整棟(戶)出租,有,1140225~1150224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
