編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTKKHKGFAI58CC,7,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPRNMLOKKHKGFAI18CC,17,8.62,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLTKKHKGFAI58CC,7,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPRNMLOKKHKGFAI18CC,17,5.80,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPXNMLSKKHKGFAI56CC,57,77.77,住家用,木造,57年2月17日,二層,,
RPUNMLSKKHKGFAI88CC,31,20.45,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPUNMLSKKHKGFAI88CC,31,12.22,共有部份,鋼筋混凝土造,82年10月12日,七層,,
RPWNMLNKKHKGFAI58CC,31,73.45,住家用,鋼筋混凝土造,82年12月16日,七層,,
RPWNMLNKKHKGFAI58CC,31,30.54,共有部份,鋼筋混凝土造,82年12月16日,七層,,
RPRNMLRKKHKGFAI48CC,2,57.70,店舖、停車空間,鋼筋混凝土構造,111年10月19日,五層,,
RPRNMLRKKHKGFAI48CC,2,4.60,本共有部分之項目有樓梯間、一般昇降機、梯廳、管委會、停車空間、機械室、機械房、電梯間及水箱等九項,鋼筋混凝土構造,111年10月19日,五層,,
RPRNMLSKKHKGFAI58CC,32,41.14,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPRNMLSKKHKGFAI58CC,32,6.70,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPRNMLSKKHKGFAI58CC,32,11.32,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPWNMLSKKHKGFAI09CC,41,20.25,住家用,鋼筋混凝土造,73年7月27日,十層,,
RPWNMLSKKHKGFAI09CC,41,3.00,共有部份,鋼筋混凝土造,73年7月27日,十層,,
RPWNMLSKKHKGFAI09CC,41,1.99,共有部份,鋼筋混凝土造,73年7月27日,十層,,
RPSNMLSKKHKGFAI68CC,36,32.24,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPSNMLSKKHKGFAI68CC,36,5.06,共有部份,鋼筋混凝土造,78年1月17日,七層,,
RPXNMLNKKHKGFAI68CC,51,81.86,住家用,鋼筋混凝土加強磚造,63年1月10日,二層,,
RPUNMLTKKHKGFAI98CC,30,22.11,住家用,鋼筋混凝土造,84年1月25日,七層,,
RPUNMLTKKHKGFAI98CC,30,6.70,共有部份,鋼筋混凝土造,84年1月25日,七層,,
RPTNMLTKKHKGFAI88CC,31,90.69,住家用,鋼筋混凝土造,83年7月18日,十二層,,
RPTNMLTKKHKGFAI88CC,31,31.44,共有部份,鋼筋混凝土造,83年7月18日,十二層,,
RPWNMLTKKHKGFAI56CC,31,87.52,住家用,鋼筋混凝土造,83年5月30日,十二層,,
RPWNMLTKKHKGFAI56CC,31,21.44,共有部份,鋼筋混凝土造,83年5月30日,十二層,,
RPPNMLKLKHKGFAI67CC,88,58.13,住商用,木造,26年1月3日,二層,,
RPOOMLTKKHKGFAI48CC,31,85.63,住商用,鋼筋混凝土造,83年7月18日,十二層,,
RPOOMLTKKHKGFAI48CC,31,11.40,共有部份,鋼筋混凝土造,83年7月18日,十二層,,
RPOOMLTKKHKGFAI48CC,31,7.97,共有部份,鋼筋混凝土造,83年7月18日,十二層,,
RPVNMLSKKHKGFAI98CC,26,55.06,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPVNMLSKKHKGFAI98CC,26,24.01,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPVNMLTKKHKGFAI09CC,33,98.82,住家用,鋼筋混凝土造,81年6月23日,七層,,
RPVNMLTKKHKGFAI09CC,33,30.27,共有部份,鋼筋混凝土造,81年6月23日,000,,
RPQNMLLLKHKGFAI87CC,17,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPQNMLLLKHKGFAI87CC,17,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPTNMLLLKHKGFAI18CC,20,115.04,住家用,鋼筋混凝土造,93年10月28日,十二層,,
RPTNMLLLKHKGFAI18CC,20,72.89,共有部份,鋼筋混凝土造,93年10月28日,十二層,,
RPSNMLLLKHKGFAI08CC,17,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPSNMLLLKHKGFAI08CC,17,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPROMLMKKHKGFAI08CC,30,34.53,住家用,鋼筋混凝土造,83年11月28日,十二層,,
RPROMLMKKHKGFAI08CC,30,12.61,共有部份,鋼筋混凝土造,83年11月28日,十二層,,
RPRNMLLLKHKGFAI97CC,17,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPRNMLLLKHKGFAI97CC,17,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPUNMLLLKHKGFAI28CC,32,29.39,住家用,鋼筋混凝土造,82年4月26日,六層,,
RPUNMLLLKHKGFAI28CC,32,5.47,共有部份,鋼筋混凝土造,82年4月26日,六層,,
RPVNMLLLKHKGFAI38CC,33,66.07,住家用,鋼筋混凝土造,81年5月13日,七層,,
RPVNMLLLKHKGFAI38CC,33,19.65,共有部份,鋼筋混凝土造,81年5月13日,七層,,
RPOOMLSKKHKGFAI38CC,31,107.16,住家用,鋼筋混凝土造,83年4月8日,十二層,,
RPOOMLSKKHKGFAI38CC,31,9.18,共有部份,鋼筋混凝土造,83年4月8日,十二層,,
RPOOMLSKKHKGFAI38CC,31,8.70,共有部份,鋼筋混凝土造,83年4月8日,十二層,,
RPPNMLTKKHKGFAI48CC,7,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLTKKHKGFAI48CC,7,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLRKKHKGFAI28CC,44,84.27,集合住宅,鋼筋混凝土加強磚造,69年9月17日,四層,,
RPWNMLLLKHKGFAI48CC,31,53.46,住家用,鋼筋混凝土造,82年10月18日,十四層,,
RPWNMLLLKHKGFAI48CC,31,17.25,共有部份,鋼筋混凝土造,82年10月18日,十四層,,
RPPNMLRKKHKGFAI28CC,44,3.57,共有部份,鋼筋混凝土加強磚造,69年9月17日,四層,,
RPXNMLLLKHKGFAI58CC,33,65.10,住家用,鋼筋混凝土造,81年6月30日,七層,,
RPXNMLLLKHKGFAI58CC,33,21.97,共有部份,鋼筋混凝土造,81年6月30日,七層,,
RPPOMLSKKHKGFAI48CC,9,97.34,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,,
RPPOMLSKKHKGFAI48CC,9,16.27,本共有部分之項目有停車空間、消防機房、排風機房、排煙室、機房、電錶室、樓梯間、防空避難室兼停車空間、水箱、台電受電室、緊急發電機房、電信室、外廊管委會使用空間、門廳等１４項,鋼筋混凝土構造,105年5月10日,十四層,,
RPPOMLSKKHKGFAI48CC,9,27.71,本共有部份之項目計有：梯廳兼排煙室、樓梯間、水箱、水錶室、電梯機房等五項。,鋼筋混凝土構造,105年5月10日,十四層,,
RPQOMLSKKHKGFAI58CC,46,105.83,住商用,鋼筋混凝土加強磚造,67年9月7日,二層,,
RPRNMLTKKHKGFAI68CC,29,103.75,住家用,鋼筋混凝土造,85年2月2日,七層,,
RPRNMLTKKHKGFAI68CC,29,40.22,共有部份,鋼筋混凝土造,85年2月2日,七層,,
RPSOMLLLKHKGFAI18CC,31,145.50,住商用,鋼筋混凝土造,82年10月12日,三層,,
RPROMLLLKHKGFAI08CC,26,27.51,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPROMLLLKHKGFAI08CC,26,11.62,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPUNMLOLKHKGFAI58CC,36,21.28,住家用,鋼筋混凝土造,78年2月3日,七層,,
RPUNMLOLKHKGFAI58CC,36,10.47,共有部份,鋼筋混凝土造,78年2月3日,七層,,
RPOOMLOLKHKGFAI08CC,7,9.50,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
