鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
竹北市,房地(土地+建物),新竹縣竹北市新和路,14.21,商,,,1140212,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.76,1,2,1,有,無,10650000,140576,,0.0,0,,RPPNMLNKKHKGFBJ97CB,恦品-里山,B棟B1-2F號,
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛287之1號旁,137.94,,特定農業區,農牧用地,1140213,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.18,3,2,2,有,無,9650000,89203,,0.0,0,,RPPNMLOKKHKGFDJ28CB,鼎太鋒尊爵,B棟2號,1140222全部解約
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛287之1號旁,137.94,,特定農業區,農牧用地,1140213,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.18,3,2,2,有,無,9650000,89203,,0.0,0,,RPQNMLOKKHKGFDJ38CB,鼎太鋒尊爵,B棟3號,1140222全部解約
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛287之1號旁,137.94,,特定農業區,農牧用地,1140213,土地3建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.18,3,2,2,有,無,9700000,89665,,0.0,0,,RPRNMLOKKHKGFDJ48CB,鼎太鋒尊爵,B棟4號,1140222全部解約
新豐鄉,房地(土地+建物),新竹縣新豐鄉紅毛287之1號旁,137.94,,特定農業區,農牧用地,1140213,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.18,3,2,2,有,無,10000000,92439,,0.0,0,,RPSNMLOKKHKGFDJ58CB,鼎太鋒尊爵,B棟5號,1140222全部解約
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬段540地號,34.42,住,,,1140219,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.86,0,0,0,無,無,22340000,151261,坡道平面,32.39,2000000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLKHKGFBJ77CB,臻研悅築,S1棟0號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉新興路,26.54,,特定農業區,甲種建築用地,1140215,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.63,3,2,2,有,無,11480000,104393,其他,15.24,1000000,,RPPNMLKLKHKGFDJ97CB,美禾柿,F棟6號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長園一街83號,28.1,,特定農業區,甲種建築用地,1140213,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.08,3,2,2,有,無,16450000,137404,一樓平面,26.46,1800000,,RPPNMLLLKHKGFBJ87CB,青溪賦,A棟3號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長園一街83號,28.1,,特定農業區,甲種建築用地,1140212,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.08,3,2,2,有,無,16880000,141437,坡道平面,26.46,1800000,,RPQNMLLLKHKGFBJ97CB,青溪賦,A棟8號,
竹北市,房地(土地+建物),新竹縣竹北市長園一街83號,21.59,,特定農業區,甲種建築用地,1140218,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.97,2,2,2,有,無,12160000,148347,,0.0,0,,RPRNMLLLKHKGFBJ08CB,青溪賦,C棟9號,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉中崙村6鄰中崙,30.45,,特定農業區,甲種建築用地,1140217,土地2建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.4,3,2,2,有,無,12400000,100148,坡道平面,31.56,1600000,,RPQNMLLLKHKGFDJ18CB,遠傳丰景,B棟1-7F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路1226號,31.68,,特定農業區,甲種建築用地,1140219,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.19,3,2,2,有,無,18500000,142605,坡道平面,42.98,1500000,,RPPNMLOLKHKGFBJ18CB,知心畫,D棟2F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市馬麟厝段547地號,26.5,,特定農業區,甲種建築用地,1140213,土地1建物1車位2,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.24,3,2,2,有,無,16100000,117826,坡道平面,74.0,3700000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOLKHKGFBJ48CB,日光富御,D棟0號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中湖路,47.81,,特定農業區,甲種建築用地,1140218,土地6建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.87,3,2,2,有,無,17500000,120129,坡道平面,50.0,2980000,,RPQNMLOLKHKGFDJ48CB,春福BeTwin,A2棟09F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉嘉興路一段,22.58,,特定農業區,甲種建築用地,1140223,土地3建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.97,2,1,1,有,無,8880000,106041,坡道機械,19.83,700000,,RPQNMLPLKHKGFDJ58CB,耀時代,9G號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉嘉興路一段,32.22,,特定農業區,甲種建築用地,1140214,土地3建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.71,3,1,1,有,無,12880000,101590,坡道機械,39.66,1700000,,RPRNMLPLKHKGFDJ68CB,耀時代,6A號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉嘉興路一段,22.58,,特定農業區,甲種建築用地,1140217,土地3建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.97,2,1,1,有,無,8800000,102411,坡道機械,19.83,900000,,RPSNMLPLKHKGFDJ78CB,耀時代,3G號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市鳳岡路三段,21.62,,特定農業區,甲種建築用地,1140215,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.47,2,2,1,有,無,11000000,117685,塔式車位,0.0,822800,,RPPNMLMJLHKGFBJ97DB,琢悅2,B棟1號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市豐田段93號,27.44,,特定農業區,甲種建築用地,1140212,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.83,3,2,2,有,無,19190000,158319,坡道平面,31.62,1900000,,RPPNMLNJLHKGFBJ97CB,雙城一號,A棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市豐田段93號,27.55,,特定農業區,甲種建築用地,1140222,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.3,3,2,2,有,無,17600000,144511,坡道平面,31.62,1750000,,RPQNMLNJLHKGFBJ08CB,雙城一號,Ｂ棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市豐田段93號,27.55,,特定農業區,甲種建築用地,1140225,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.3,3,2,2,有,無,16380000,133388,坡道平面,31.62,1750000,,RPRNMLNJLHKGFBJ18CB,雙城一號,C棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路1226號,31.68,,特定農業區,甲種建築用地,1140224,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.26,3,2,2,有,無,18500000,142522,坡道平面,42.98,1500000,,RPSNMLNJLHKGFBJ28CB,知心畫,C棟2F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政16街169號,27.87,住,,,1140226,土地3建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.09,3,2,2,有,無,27580000,205844,坡道平面,41.25,2500000,,RPTNMLNJLHKGFBJ38CB,Chic Chic美,B棟6號,
橫山鄉,房地(土地+建物)+車位,新竹縣橫山鄉橫富段824-31、824,49.56,住,,,1140216,土地2建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,170.09,3,2,2,有,無,13100000,82370,坡道平面,25.62,1200000,,RPPNMLNJLHKGFCJ08CB,墅沛NO:11,B1棟4F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長園一街83號,24.75,,特定農業區,甲種建築用地,1140220,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.06,2,2,2,有,無,15300000,144231,一樓平面,26.46,1800000,,RPPNMLOJLHKGFBJ08CB,青溪賦,D棟9號,
竹北市,房地(土地+建物),新竹縣竹北市長園一街83號,21.59,,特定農業區,甲種建築用地,1140226,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.97,2,2,2,有,無,11380000,138831,,0.0,0,,RPQNMLOJLHKGFBJ18CB,青溪賦,C棟4號,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路,36.7,住,,,1140216,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.55,2,2,2,有,無,19280000,130716,坡道平面,32.06,1700000,,RPSNMLOJLHKGFBJ38CB,甜柿,D棟10F號,
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮田新路,36.7,住,,,1140216,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.55,2,2,2,有,無,19160000,129824,坡道平面,32.06,1700000,,RPTNMLOJLHKGFBJ48CB,甜柿,E棟13F號,
