編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLKHKGFBJ38CC,新庄子段,569.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03940000
RPPNMLTKKHKGFBJ68CC,縣福段,136.72,都市：住,,,,04190000
RPPNMLRKKHKGFDJ68CC,泰安段,90.83,都市：住,,,,03770000
RPPNMLSKKHKGFBJ58CC,福田段,45.00,都市：住,,,,00820000
RPQNMLPJLHKGFBJ38CC,自強段,658.66,都市：住,,,,00010000
RPPNMLPJLHKGFBJ28CC,省道段,63.65,都市：住,,,,03460000
RPRNMLRJLHKGFCJ78CC,鷄油林段,7.60,都市：住,,,,05970000
RPTNMLPJLHKGFBJ68CC,永興段,59.98,都市：住,,,,05300000
RPPNMLRJLHKGFCJ58CC,竹東段番社子小段,11.03,都市：住,,,,04050003
RPPNMLMKLHKGFDJ28CC,永安段,22.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04970000
RPPNMLNKLHKGFDJ38CC,竹九段,24.54,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,15490000
RPSNMLNKLHKGFBJ48CC,世興段,24.23,都市：商,,,,00240000
RPPNMLNKLHKGFBJ18CC,大學段,12.31,都市：商,,,,00240000
RPRNMLMKLHKGFBJ28CC,家興段,21.12,都市：住,,,,07200000
RPQNMLNKLHKGFBJ28CC,豆子埔段,28.76,都市：住,,,,05780000
RPPNMLMKLHKGFBJ08CC,莊敬段,8.68,都市：商,,,,06570000
RPTNMLOKLHKGFBJ68CC,世興段,14.14,都市：住,,,,00130000
RPPNMLLLLHKGFBJ18DC,泰和段,330.57,都市：工,,,,04480000
RPPNMLOLLHKGFDJ58CC,建興段鳳凰小段,22.15,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02510000
RPPNMLPLLHKGFBJ48CC,隘興段,10.13,都市：住,,,,07190000
RPSNMLRLLHKGFBJ98CC,溝貝段,50.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,04530003
RPUNMLRLLHKGFBJ56CC,福田段,11.20,都市：商,,,,03710000
RPQNMLLMLHKGFDJ48CC,綠園段,9.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08630023
RPXNMLLJMHKGFDJ98CC,光華段,11.86,都市：住,,,,01400000
RPWNMLLJMHKGFDJ88CC,綠園段,7.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06990000
RPTNMLLMLHKGFBJ58CC,大學段,15.54,都市：商,,,,02130000
RPUNMLLMLHKGFBJ68CC,大學段,6367.50,都市：住,,,,02210000
RPVNMLLMLHKGFBJ78CC,中山段,30.98,都市：住,,,,05100000
RPPNMLMJMHKGFCJ18CC,竹東段番社子小段,45.99,都市：商,,,,04580000
RPOOMLLJMHKGFDJ18CC,下北勢段下北勢小段,28.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06270000
RPSNMLSJMHKGFDJ56CC,中義段,55.08,都市：住,,,,05960004
RPSNMLSJMHKGFDJ56CC,中義段,35.01,都市：住,,,,05960000
RPPNMLNKMHKGFBJ28CC,東豐段,150.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,10450000
RPQNMLOKMHKGFBJ48CC,家興段,194.19,都市：住,,,,03270005
RPTNMLOKMHKGFBJ78CC,翰林段,135.20,都市：住,,,,10740000
RPPNMLQKMHKGFCJ68CC,資源段,27.84,都市：住,,,,19390001
RPPNMLOKMHKGFDJ58CC,信勢段,24.53,都市：住,,,,00860000
RPRNMLQKMHKGFDJ98CC,建興段鳳凰小段,18.90,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00220000
RPPNMLQKMHKGFDJ78CC,中興段中興小段,28.84,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01180000
RPQNMLQKMHKGFDJ88CC,吉祥段,31.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07020000
RPSNMLRKMHKGFBJ98CC,永興段,85.98,都市：住,,,,05960010
RPPNMLTKMHKGFCJ98CC,資源段,3.95,都市：商,,,,19410000
RPTNMLLLMHKGFBJ58CC,自強段,75.05,都市：商,,,,00450002
RPPNMLTKMHKGFDJ09CC,長威段,70.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,16750021
RPPNMLLLMHKGFCJ28CC,旭光段,15.68,都市：其他:科技商務服務專用區,,,,00750000
RPQNMLNLMHKGFCJ58CC,大鄉段,102.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,07190000
RPPNMLKKMHKGFBJ08DC,家興段,10.57,都市：住,,,,02940000
RPQNMLMLMHKGFDJ58CC,泰豐段,29.02,都市：住,,,,02990000
RPQNMLMLMHKGFBJ38CC,福田段,17.00,都市：商,,,,01990000
RPTNMLNLMHKGFBJ78CC,莊敬段,21.11,都市：住,,,,00540000
RPPNMLKMMHKGFBJ18CC,隘興段,110.41,都市：住,,,,01680001
RPPNMLKMMHKGFBJ18CC,隘興段,110.23,都市：住,,,,01680000
RPPNMLMLMHKGFBJ28CC,台元段,4333.27,都市：工,,,,00790000
RPPNMLMLMHKGFBJ28CC,台元段,3748.31,都市：工,,,,01350000
RPPNMLQJNHKGFDJ78CC,成功段,4850.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,10630000
RPPNMLOKNHKGFCJ58CC,旭光段,28.22,都市：其他:科技商務服務專用區,,,,00750000
RPQNMLOKNHKGFBJ58CC,永興段,85.98,都市：住,,,,05960010
RPPNMLNJOHKGFBJ38CC,隘興段,23.12,都市：住,,,,06250001
