鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南庄鄉,土地,田尾段588-127地號,368.4,,山坡地保育區,林業用地,1141102,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1280000,3474,,0.0,0,1.田尾段588-127地號含未保存建物價格120萬元2.田尾段588及588-126地號為私有持分道路價格為8萬元親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWNMLRJMHKGFFK07DA,0.0,0.0,0.0,無,0001
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村５鄰育英二街７號一樓之十六,20.11,,山坡地保育區,丙種建築用地,1140501,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0920331,28.580000000000002,1,0,1,有,有,1200000,41987,,0.0,0,,RPQNMLSJNHKGFDK09DA,18.9,2.54,0.0,無,
竹南鎮,土地,西崎頂段977地號,36.85,,一般農業區,甲種建築用地,1140506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,222600,6041,,0.0,0,,RPQNMLQJNHKGFDK88DA,0.0,0.0,0.0,無,0002
通霄鎮,房地(土地+建物),苗栗縣通霄鎮通南里７鄰南華路２３巷１６號,79.21,住,,,1140503,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0660706,71.46,0,0,0,無,無,2560000,35824,,0.0,0,,RPRNMLOKNHKGFCK78DA,71.46,0.0,0.0,無,
頭份市,土地,濫坑段548-8地號,2437.96,,山坡地保育區,農牧用地,1140508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,205,,0.0,0,,RPUNMLOKNHKGFFK76DA,0.0,0.0,0.0,無,0003
苗栗市,土地,建功段956地號,145.14,,,,1140508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,714000,4919,,0.0,0,苗栗市文峰段1237-2地號分區為綠地苗栗市建功段956地號分區為道路用地包含公共設施保留地用地；,RPVNMLOKNHKGFBK09DA,0.0,0.0,0.0,無,
銅鑼鄉,土地,東崗段581地號,89.28,,特定農業區,農牧用地,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,227320,2546,,0.0,0,,RPPNMLTKNHKGFEK76EA,0.0,0.0,0.0,無,0004
苗栗市,房地(土地+建物),苗栗縣苗栗市清華里５鄰福星街２６之５號六樓,32.86,住,,,1140506,土地2建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031124,115.2,2,1,2,有,有,7660000,66493,,0.0,0,,RPPNMLTKNHKGFBK98DA,62.06,4.86,11.0,有,
通霄鎮,車位,苗栗縣通霄鎮平安里１３鄰中正路２５５號,0.94,住,,,1140502,土地1建物1車位1,一層,十三層,其他,管理員室,鋼筋混凝土造,0850701,7.4399999999999995,0,0,0,無,有,200000,,坡道機械,0.0,200000,僅車位交易；,RPVNMLKLNHKGFCK88DA,0.0,0.0,0.0,有,0005
三義鄉,土地,重河段536-1地號,1882.1,,山坡地保育區,農牧用地,1140512,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,4782,,0.0,0,,RPQNMLTKNHKGFEK76DA,0.0,0.0,0.0,無,0006
通霄鎮,土地,下坪段830地號,3002.0,,一般農業區,農牧用地,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,999,,0.0,0,,RPSNMLPJNHKGFCK88DA,0.0,0.0,0.0,無,
苑裡鎮,土地,苑港段277地號,160.83,,特定農業區,甲種建築用地,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,4663,,0.0,0,未登記建物；,RPPNMLKKNHKGFCK18DA,0.0,0.0,0.0,無,0007
通霄鎮,車位,苗栗縣通霄鎮平安里１３鄰中正路２５５號,1.88,住,,,1140502,土地1建物1車位2,一層,十三層,其他,管理員室,鋼筋混凝土造,0850701,14.87,0,0,0,無,有,400000,,坡道機械,0.0,400000,僅車位交易；,RPUNMLKLNHKGFCK78DA,0.0,0.0,0.0,有,0005
通霄鎮,車位,苗栗縣通霄鎮平安里１３鄰中正路２５５號,2.82,住,,,1140502,土地1建物1車位3,一層,十三層,其他,管理員室,鋼筋混凝土造,0850701,22.310000000000002,0,0,0,無,有,600000,,坡道機械,0.0,600000,僅車位交易；,RPWNMLKLNHKGFCK98DA,0.0,0.0,0.0,有,0005
後龍鎮,土地,龍南段1327地號,20.5,都市：其他:道路用地,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,120000,5854,,0.0,0,包含公共設施保留地用地；,RPRNMLLJNHKGFDK48DA,0.0,0.0,0.0,無,
西湖鄉,土地,新二湖段46地號,5.28,,山坡地保育區,交通用地,1140514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,18939,,0.0,0,畸零地或有合併使用效益；,RPQNMLPKNHKGFEK98DA,0.0,0.0,0.0,無,
