編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLTJNHKGFFK66DA,升降機械,0,5.96,地下一樓
RPVNMLKLNHKGFCK88DA,坡道機械,200000,,地下一樓
RPWNMLKLNHKGFCK98DA,坡道機械,200000,,地下一樓
RPWNMLKLNHKGFCK98DA,坡道機械,200000,,地下一樓
RPWNMLKLNHKGFCK98DA,坡道機械,200000,,地下一樓
RPUNMLKLNHKGFCK78DA,坡道機械,200000,,地下一樓
RPUNMLKLNHKGFCK78DA,坡道機械,200000,,地下一樓
RPQNMLMLNHKGFCK58DA,升降機械,400000,6.86,一樓
RPRNMLMLNHKGFCK68DA,升降機械,500000,6.86,一樓
RPWNMLMKNHKGFFK76DA,坡道平面,0,37.79,地下二樓
RPQOMLNLNHKGFDK88DA,一樓平面,0,,一樓
RPVNMLMLNHKGFBK98DA,一樓平面,0,19.70,一樓
RPQNMLSLNHKGFBK09DA,一樓平面,0,,一樓
RPVNMLMJNHKGFFK56DA,一樓平面,0,,一樓
RPPNMLPLNHKGFCK78DA,升降機械,400000,6.86,一樓
RPPNMLTKMHKGFEK56DA,一樓平面,0,,一樓
RPTNMLTLMHKGFBK76DA,升降機械,0,,地下一樓
RPVNMLTLMHKGFDK17DA,坡道平面,1150000,,地下一樓
RPSNMLPLMHKGFFK66DA,坡道平面,1550000,27.65,地下二樓
RPPNMLPLMHKGFEK88DA,坡道平面,0,13.02,地下一樓
RPUNMLRJNHKGFBK56DA,坡道機械,0,17.37,地下一樓
RPPNMLOJNHKGFFK78DA,一樓平面,0,,一樓
RPQNMLOJNHKGFFK88DA,一樓平面,0,,一樓
RPRNMLOJNHKGFFK98DA,一樓平面,0,,一樓
RPTNMLKMMHKGFCK68DA,一樓平面,0,,一樓
RPWNMLNLMHKGFDK66DA,坡道平面,0,26.05,地下四樓
RPWNMLNLMHKGFDK66DA,坡道平面,0,26.05,地下四樓
RPTNMLSKMHKGFBK56DA,坡道機械,0,,地下一樓
RPRNMLNLMHKGFDK78DA,坡道平面,0,24.27,地下一樓
RPQNMLPKNHKGFDK88DA,坡道平面,0,34.17,地下三樓
RPWNMLQJNHKGFBK66DA,一樓平面,0,15.45,一樓
RPTNMLPKNHKGFFK76DA,坡道平面,0,,地下一樓
RPRNMLOLMHKGFFK09DA,坡道平面,0,31.60,地下三樓
RPVNMLTKNHKGFFK37DA,坡道機械,0,,地下一樓
RPPOMLTKNHKGFDK66DA,坡道平面,0,30.75,地下三樓
RPUNMLQKNHKGFBK56DA,一樓平面,0,18.20,一樓
RPPNMLTKNHKGFFK76DA,一樓平面,0,,一樓
RPUNMLOLMHKGFFK76DA,升降平面,0,20.57,地下二樓
RPWNMLLLNHKGFFK76DA,坡道平面,0,28.42,地下一樓
RPQNMLLKMHKGFBK18DA,坡道平面,0,,地下一樓
RPSNMLNLNHKGFDK98DA,坡道平面,0,,地下一樓
