鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔七街４２號（４樓A室）,0.0,,,,1140212,土地0建物0車位0,全,4,透天厝,住商用、停車空間,鋼筋混凝土造,1041229,20.0,10,0,10,有,無,有,6500,325,,0.0,0,租金總額含管理費；水費；網路費；,RPPNMLNKKHKGFDK38CC,分租套房,無,1140222~1150221,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔一街１３號３-２,0.0,,,,1140213,土地0建物0車位0,全,5,透天厝,住宅、店舖、停車空間,鋼筋混凝土造,1040129,15.0,12,0,12,有,有,有,5500,367,,0.0,0,承租人負擔：電費租金總額含管理費；水費；網路費；其他第四台費用；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLNKKHKGFDK48CC,分租套房,無,1140215~1150214,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,
竹南鎮,租賃房屋,苗栗縣竹南鎮營盤里１１鄰建國路１８８號,277.98,住,,,1140214,土地2建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土造,0670911,91.46,0,0,0,無,無,無,25000,273,,0.0,0,第三年起每月租金調高壹仟元整到租約期滿,RPPNMLSKKHKGFDK88CC,,無,1140301~1190228,無,,
苗栗市,租賃房屋,苗栗縣苗栗市福麗里１９鄰饒平街５１巷２７號５樓,0.0,,,,1140214,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051213,129.93,3,2,2,有,有,有,17500,135,,0.0,0,未租賃車位，建物登記含有車位面積；,RPPNMLTKKHKGFBK78CC,整棟(戶)出租,無,1140216~1150215,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
苗栗市,租賃房屋,苗栗縣苗栗市維祥里２３鄰維祥街１巷１５弄２號４樓之１０,0.0,,,,1140217,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130528,76.91,2,2,1,有,有,有,15000,195,,0.0,0,租金總額含管理費；,RPQNMLTKKHKGFBK88CC,整棟(戶)出租,有,1140220~1150219,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋+車位,苗栗縣竹南鎮科專七路２６１號（３F）,0.0,,,,1140216,土地0建物0車位1,全,3,透天厝,住商用,鋼筋混凝土造,1060825,38.47,3,0,3,有,有,有,15000,390,坡道平面,0.0,0,租金總額含管理費；水費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLTKKHKGFDK98CC,分租套房,有,1140222~1150221,無,冷氣、熱水器、洗衣機、電視機、冰箱,
頭份市,租賃房屋,苗栗縣頭份市中央路７６１號,20.0,商,,,1140212,土地2建物1車位0,一層,15,店面(店鋪),店舖,鋼筋混凝土造,1080114,183.22,0,0,0,無,有,無,102000,557,,0.0,0,租金總額含稅；含增建或未登記建物；,RPPNMLTKKHKGFFK56CC,,有,1140401~1150331,有,冷氣,
苗栗市,租賃房屋,苗栗縣苗栗市北苗里３７鄰文峰街３巷１號四樓之二,0.0,,,,1140214,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820626,1707.44,3,2,2,有,有,有,14000,8,,0.0,0,,RPPNMLLLKHKGFBK08CC,整棟(戶)出租,有,1140215~1150214,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮崎頂里１６鄰和仁街４２巷５號二樓之二,0.0,,,,1140214,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110125,81.39,2,1,1,有,有,有,18000,221,,0.0,0,,RPPNMLLLKHKGFDK28CC,整棟(戶)出租,有,1140221~1150220,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
