編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKKHKGFDK88CC,延平段,9.64,都市：住,,,,09550000
RPPNMLSKKHKGFDK88CC,延平段,268.34,都市：住,,,,09560000
RPPNMLTKKHKGFFK56CC,光華段,5.41,都市：商,,,,11580000
RPPNMLTKKHKGFFK56CC,光華段,14.59,都市：商,,,,11590000
RPPNMLMKLHKGFEK48CC,朝東段,105.76,都市：住,,,,07930000
RPPNMLRKLHKGFFK09CC,和平段,48.96,都市：商,,,,14290000
RPPNMLLLLHKGFBK18CC,縣府段,19.58,都市：商,,,,01410000
RPQNMLLLLHKGFBK28CC,縣府段,72.22,都市：住,,,,06810000
RPPNMLKLLHKGFFK48CC,德義段,286.68,都市：住,,,,01950002
RPPNMLSLLHKGFFK66CC,華夏段,200.84,都市：工,,,,02730000
RPPNMLLJMHKGFFK48CC,蟠桃段忠孝小段,3.11,都市：住,,,,02650000
RPPNMLLJMHKGFFK48CC,蟠桃段忠孝小段,5.68,都市：住,,,,02650001
RPPNMLSJMHKGFDK98CC,大埔段中大埔小段,535.54,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11550000
RPPNMLLKMHKGFDK38CC,新生段,131.75,都市：住,,,,06280000
RPQNMLLKMHKGFDK48CC,崎工段,81.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,03600011
RPTNMLPKMHKGFDK56CC,營盤邊段山寮小段,562.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03550005
RPSNMLQKNHKGFDK66CC,公義段,1487.60,都市：工,,,,01720000
RPUNMLTKNHKGFDK17CC,大同段,44.52,都市：住,,,,09990000
RPPNMLOKNHKGFFK98CC,仁愛段,27.85,都市：住,,,,00390001
RPPNMLKLNHKGFFK68CC,後湖段,139.51,都市：住,,,,15820003
