編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPKNHKGFBM88EA,43,83.25,住家用,鋼筋混凝土造,71年7月22日,二層,一層 二層 騎樓,全筆移轉
RPUNMLTKNHKGFDM37EA,40,192.72,農舍,鋼筋混凝土加強磚造,74年10月12日,二層,一層 二層,全筆移轉
RPSNMLOKNHKGFBM98DA,33,117.32,住家用,鋼筋混凝土造,80年11月15日,七層,五層 陽台 花台,全筆移轉
RPSNMLOKNHKGFBM98DA,33,30.54,避難室、梯間、水塔、門廳、警衛室、玄關、停車空間,鋼筋混凝土造,80年11月15日,七層,,持分移轉
RPPNMLLLNHKGFCM58DA,46,44.65,住商用,鋼筋混凝土造,68年9月1日,二層,一層 二層 騎樓,持分移轉
RPPNMLNLNHKGFCM78DA,30,83.59,集合住宅,鋼筋混凝土造,83年12月31日,十二層,十二層 陽台 花台,全筆移轉
RPPNMLNLNHKGFCM78DA,30,18.26,樓梯間、機械房、水箱,鋼筋混凝土造,83年12月31日,十二層,,持分移轉
RPQNMLMLNHKGFAM68EA,4,56.44,集合住宅,鋼筋混凝土造,109年12月28日,十層,十層 陽台,全筆移轉
RPQNMLMLNHKGFAM68EA,4,60.34,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,,持分移轉
RPRNMLTKNHKGFCM86DA,45,86.99,住家用,鋼筋混凝土造,69年5月24日,三層,一層 二層 三層,全筆移轉
RPPRMLNKNHKGFBM98DA,,58.38,集合住宅,鋼筋混凝土造,114年1月17日,十層,八層 陽台,全筆移轉
RPPRMLNKNHKGFBM98DA,,74.94,本共有部分之項目有停車空間兼防空避難室、台電配電室、電信室、緊急發電機室及消防機房、水箱、辦公室、停車空間、管委會空間、資源回收室、樓梯間、水錶室及機械室等１２項,鋼筋混凝土造,114年1月17日,十層,,持分移轉
RPPNMLMJOHKGFDM68DA,29,26.30,集合住宅,鋼筋混凝土造,85年3月9日,七層,四層 陽台,全筆移轉
RPPNMLMJOHKGFDM68DA,29,5.51,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPPNMLMJOHKGFDM68DA,29,5.71,梯間、走道,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPQNMLKLNHKGFDM68DA,2,219.66,住家用,鋼筋混凝土造,112年3月3日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLMJOHKGFDM78DA,5,239.50,人行道、停車空間、住宅、樓梯間,鋼筋混凝土造,109年7月15日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPQNMLTLNHKGFCM86DA,29,146.54,住家用,鋼筋混凝土造,84年12月30日,四層,一層 二層 三層 四層 陽台 平台 花台,全筆移轉
RPOPMLNKNHKGFBM68DA,2,6.96,住宅,鋼骨造,112年8月7日,一層,一層,全筆移轉
RPQNMLMJOHKGFAM48DA,35,91.97,住商用,鋼筋混凝土造,79年7月30日,三層,一層 二層 三層,持分移轉
RPTNMLTJNHKGFAM76DA,48,145.54,住家用,鋼筋混凝土加強磚造，ＲＣ造,66年7月22日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLTKNHKGFAM66DA,32,106.74,住家用,鋼筋混凝土造,82年4月17日,三層,一層 二層 三層,全筆移轉
RPQNMLTKNHKGFAM56DA,1,118.50,集合住宅,鋼筋混凝土造,113年3月26日,十五層,十層 陽台,全筆移轉
RPQNMLTKNHKGFAM56DA,1,147.76,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
RPPNMLTKNHKGFCM66DA,18,151.31,住宅、樓梯間,鋼筋混凝土造,96年10月30日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLQJOHKGFBM88DA,35,114.17,住家用,鋼筋混凝土造,79年3月9日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPRNMLOJOHKGFAM78DA,46,150.58,住家用,鋼筋混凝土造,68年7月17日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPPNMLPJOHKGFDM98DA,51,71.10,住家用,加強磚造,63年3月15日,一層,一層 騎樓,全筆移轉
RPTNMLTJOHKGFDM17DA,19,214.76,住家用,鋼筋混凝土造,95年7月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPVNMLMJOHKGFCM56DA,32,94.97,集合住宅,鋼筋混凝土造,82年7月24日,七層,四層 陽台,全筆移轉
RPVNMLMJOHKGFCM56DA,32,14.18,梯間、突出物、門廳、車道、避難室、停車場、騎樓等公共設施,鋼筋混凝土造,82年7月24日,,,持分移轉
RPQNMLNJOHKGFCM78DA,43,100.56,住家用,鋼筋混凝土造,71年1月13日,二層,一層 二層,全筆移轉
RPRNMLRJMHKGFBM98DA,51,123.04,住家用,加強磚造,63年3月15日,二層,一層 二層,全筆移轉
RPQNMLSKMHKGFBM09DA,36,70.37,住商用,鋼筋混凝土造,77年11月30日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPSNMLNLNHKGFAM88DA,1,203.77,集合住宅、樓梯間,鋼筋混凝土造,113年3月26日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPSNMLNLNHKGFAM88DA,1,3.08,停車空間、車道、污水機房、水箱、消防機房、排煙室、一般昇降機（無障礙）、緊急昇降機、丙梯、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、梯廳、甲梯（戶外安全，無障礙）、乙梯（戶外安全）、水錶室、乙梯、機械室、樓梯間等２１項。,鋼筋混凝土造,113年3月26日,十五層,,持分移轉
RPPNMLLLMHKGFDM68EA,41,118.94,住商用,鋼筋混凝土加強磚造,73年10月3日,二層,一層 二層 騎樓,全筆移轉
RPTNMLOLMHKGFBM09DA,32,297.39,住商用,鋼筋混凝土造,82年6月26日,四層,一層 二層 三層 四層 陽台 騎樓 電梯樓梯間,全筆移轉
RPQNMLOLMHKGFAM78EA,29,214.37,農舍,鋼筋混凝土造,85年3月11日,三層,一層 二層 三層,持分移轉
RPQNMLLLMHKGFBM48DA,46,115.04,住家用,加強磚造,,四層,一層 二層,全筆移轉
RPPNMLLLMHKGFEM68DA,,96.18,住家用,加強磚造,64年6月0日,二層,一層 二層,全筆移轉
RPQNMLLLMHKGFCM58DA,29,157.42,住家用,鋼筋混凝土造,84年12月30日,四層,一層 二層 三層 四層 陽台 平台 花台,全筆移轉
RPPNMLSLMHKGFAM98DA,,27.07,農舍,鋼筋混凝土加強磚造,68年1月0日,一層,一層 騎樓 倉庫 浴廁,持分移轉
RPPNMLNLMHKGFBM58DA,34,26.00,住家用,鋼筋混凝土造,80年9月20日,九層,八層 陽台,全筆移轉
RPPNMLNLMHKGFBM58DA,34,8.66,梯間、通道、機房、水箱,鋼筋混凝土造,80年9月20日,九層,,持分移轉
RPPNMLNLMHKGFBM58DA,34,4.71,避難室、梯間、變電室、水箱、機械室,鋼筋混凝土造,80年9月20日,十一層,,持分移轉
RPRNMLSKMHKGFDM76DA,2,175.81,住宅、樓梯間,鋼筋混凝土造,112年3月3日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLLLMHKGFAM58DA,31,82.90,住家用,鋼筋混凝土造,82年11月10日,十四層,十一層 陽台,全筆移轉
RPSNMLLLMHKGFAM58DA,31,10.42,梯間、水塔、機械室,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPSNMLLLMHKGFAM58DA,31,.50,管理員辦公室,鋼筋混凝土造,82年11月10日,十四層,地下層,持分移轉
RPSNMLLLMHKGFAM58DA,31,8.97,避難室、開放空間、停車空間,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPSNMLLLMHKGFAM58DA,31,7.50,避難室、開放空間、停車空間,鋼筋混凝土造,82年11月10日,十四層,,持分移轉
RPPNMLLJNHKGFAM18DA,40,37.80,住家用,鋼筋混凝土造,74年1月22日,三層,一層 二層 三層 騎樓,持分移轉
RPUNMLKMMHKGFDM09DA,45,127.16,住家用,鋼筋混凝土加強磚造,69年2月1日,二層,一層 二層 騎樓,全筆移轉
RPQPMLRKMHKGFDM76DA,,26.03,集合住宅,鋼筋混凝土造,114年1月22日,五層,三層 陽台,全筆移轉
RPQPMLRKMHKGFDM76DA,,11.10,本共有部分之項目有停車空間、樓梯間、共同梯廳、無障礙昇降機道等４項,鋼筋混凝土造,114年1月22日,五層,,持分移轉
RPPNMLMJNHKGFBM48EA,39,163.61,住商用,鋼筋混凝土造,75年2月7日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPPNMLKMMHKGFCM58EA,17,204.50,住宅、停車空間、樓梯間,鋼筋混凝土造,97年5月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPVNMLTLMHKGFAM07DA,1,186.18,停車空間、集合住宅、樓梯間,鋼筋混凝土造,113年5月24日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLKMMHKGFBM58DA,19,541.40,農舍、樓梯間,鋼筋混凝土造,94年11月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLPJNHKGFCM98DA,45,56.10,住家用,鋼筋混凝土加強磚造,69年8月20日,一層,一層,全筆移轉
RPRNMLQJNHKGFBM98DA,14,171.19,農舍,鋼筋混凝土造,100年2月23日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLQJNHKGFEM56DA,64,161.26,商業用,鋼筋混凝土加強磚造,49年11月1日,二層,一層 二層 騎樓,全筆移轉
RPQNMLLJNHKGFAM28DA,32,94.33,人行道、住宅,鋼筋混凝土造,82年4月23日,五層,一層 二層 騎樓,全筆移轉
RPQNMLLJNHKGFAM28DA,32,12.87,電梯、機械室,鋼筋混凝土造,82年4月23日,五層,,持分移轉
