編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKNHKGFEM66EA,新上安段,2099.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04030000
RPQNMLOKNHKGFAM78EA,成功段,71.61,都市：其他:住宅區,1,1,全筆移轉,13170000
RPPNMLNJNHKGFEM78DA,豐丘段,810.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00010016
RPPNMLNJNHKGFEM78DA,豐丘段,4300.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00010018
RPPNMLNKNHKGFAM58EA,後寮段,116.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05990001
RPPNMLOKNHKGFAM68EA,新草尾嶺段,254.16,非都市：山坡地保育區 ; 非都市編定：農牧用地,85116,25416,持分移轉,01480019
RPPNMLNKNHKGFAM58EA,後寮段,723.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06000001
RPPNMLNKNHKGFAM58EA,後寮段,499.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10080010
RPPNMLNKNHKGFAM58EA,後寮段,293.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10080017
RPPNMLNKNHKGFAM58EA,後寮段,55.00,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,10080025
RPPNMLPKNHKGFBM88EA,新雙冬段,99.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01560000
RPSNMLPJOHKGFBM09DA,明賢段,11.48,都市：其他:道路用地,1,1,全筆移轉,00090000
RPUNMLTKNHKGFDM37EA,坪子頂段,440.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01860001
RPSNMLOKNHKGFBM98DA,中興段,25.96,都市：其他:住宅區,10000,216,持分移轉,18460002
RPQNMLKLNHKGFEM78DA,營子段,28.78,都市：其他:道路用地,1,1,全筆移轉,04650000
RPPNMLMLNHKGFBM68EA,和平段,119.00,都市：其他:農業區,1,1,全筆移轉,00110002
RPSNMLQKNHKGFCM66DA,內埔段,810.76,非都市：特定農業區 ; 非都市編定：農牧用地,10000,1645,持分移轉,09010000
RPPNMLLLNHKGFCM58DA,埔里段北門小段,40.33,都市：其他:住宅區,3,1,持分移轉,02310000
RPQNMLKLNHKGFCM58DA,紅香段,2090.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05500000
RPTNMLQKNHKGFCM76DA,內埔段,810.76,非都市：特定農業區 ; 非都市編定：農牧用地,10000,1645,持分移轉,09010000
RPUNMLQKNHKGFCM86DA,內池段,32.01,都市：其他:變電所用地,500,130,持分移轉,02690000
RPUNMLQKNHKGFCM86DA,內池段,8.92,都市：其他:住宅區,400,104,持分移轉,03020000
RPPNMLNLNHKGFCM78DA,忠貞段,13.73,都市：其他:住宅區,10000,74,持分移轉,03180000
RPQNMLNLNHKGFEM09DA,八張段,14.66,都市：其他:住宅區,1,1,全筆移轉,09800000
RPPNMLQLNHKGFEM66DA,廣明段,13.05,都市：其他:住宅區,1,1,全筆移轉,07000018
RPPNMLNLNHKGFAM68EA,茄苳腳段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00270003
RPPNMLMLNHKGFAM58EA,分水寮段,3440.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10010000
RPWNMLTKNHKGFDM57EA,頂堀段,23.47,都市：其他:道路用地,10000,1693,持分移轉,02960002
RPWNMLTKNHKGFDM57EA,頂堀段,94.35,都市：其他:公園用地,1,1,全筆移轉,02960004
RPWNMLTKNHKGFDM57EA,頂堀段,6.27,都市：其他:公園用地,10000,957,持分移轉,02960008
RPQNMLMLNHKGFAM68EA,永新段,1.98,都市：其他:溝渠用地,100000,1718,持分移轉,02130000
RPRNMLTKNHKGFCM86DA,仁愛段,64.79,都市：其他:住宅區,1,1,全筆移轉,07540000
RPQNMLMLNHKGFAM68EA,永新段,24.22,都市：其他:住宅區,100000,1718,持分移轉,02140000
RPPNMLKLNHKGFCM48DA,水長流段,101.92,非都市：特定農業區 ; 非都市編定：農牧用地,362400,30575,持分移轉,00230013
RPPNMLRLNHKGFAM09EA,中寮段,202.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00260000
RPPNMLTKNHKGFEM86DA,田寮段,2617.93,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14340000
RPRNMLRLNHKGFAM66EA,東仁段,.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11780001
RPQNMLRLNHKGFAM56EA,嘉和段,103.33,都市：其他:住宅區,3,2,持分移轉,01320000
RPPRMLNKNHKGFBM98DA,新光段,24.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1580,持分移轉,00290000
RPRNMLTKNHKGFDM07EA,後埔子段溪洲子小段,5882.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03980001
RPPNMLRLNHKGFDM66DA,筍子林段鹿子坑小段,813.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00090016
RPPNMLRLNHKGFDM66DA,筍子林段鹿子坑小段,86.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00090017
RPQNMLTLNHKGFDM96DA,鹿彰段,271.69,都市：其他:住宅區,1,1,全筆移轉,00160000
RPQNMLTLNHKGFDM96DA,鹿彰段,120.09,都市：其他:住宅區,1,1,全筆移轉,00160001
RPQNMLRLNHKGFDM76DA,內樹皮段,154.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,18,1,持分移轉,00310000
RPQNMLLLNHKGFCM68DA,一新段,21.07,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,15840000
RPQNMLLLNHKGFCM68DA,一新段,85.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,15870000
RPQNMLLLNHKGFCM68DA,一新段,28.00,非都市：特定農業區 ; 非都市編定：農牧用地,8,1,持分移轉,27110000
RPPNMLMJOHKGFDM68DA,大統段,10.00,都市：其他:住宅區,10000,44,持分移轉,00390000
RPPNMLMJOHKGFDM68DA,大統段,.09,都市：其他:住宅區,10000,44,持分移轉,00390001
RPPNMLRLNHKGFCM66EA,萬大段,3935.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,01140001
RPPNMLRLNHKGFCM66EA,萬大段,370.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,07190000
RPPNMLRLNHKGFCM66EA,萬大段,560.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,08490000
RPPNMLRLNHKGFCM66EA,萬大段,4500.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,18230000
RPPNMLRLNHKGFCM66EA,萬大段,7690.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,20630000
RPPNMLRLNHKGFEM76DA,新城段,184.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02580000
RPUNMLRLNHKGFAM86DA,長安段,54.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,6,持分移轉,02620000
RPPNMLTLNHKGFCM86EA,福興段,347.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13550000
RPRNMLRLNHKGFAM56DA,永新段,82.03,都市：其他:住宅區,1200,13,持分移轉,13170000
RPRNMLRLNHKGFAM56DA,永新段,18.07,都市：其他:住宅區,96,1,持分移轉,13180000
RPPNMLTJNHKGFBM09DA,北投堡段,43.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01580000
RPRNMLTJNHKGFBM66DA,新將軍段,88.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03580000
RPQNMLOKNHKGFDM98DA,茅埔段,68.56,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01250002
RPRNMLMLNHKGFDM98DA,溫水段,68.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03530000
RPQNMLKLNHKGFDM68DA,大統段,69.59,都市：其他:住宅區,1,1,全筆移轉,00350000
RPQNMLKLNHKGFDM68DA,菩提段,72.00,都市：其他:住宅區,1,1,全筆移轉,07350017
RPRNMLNKNHKGFDM98DA,平正段,27.99,都市：其他:住宅區,96,6,持分移轉,06850000
RPRNMLNKNHKGFDM98DA,沙東段,3.58,都市：其他:住宅區,12,2,持分移轉,07370000
RPRNMLNKNHKGFDM98DA,沙東段,46.39,都市：其他:道路用地,12,2,持分移轉,07380000
RPRNMLNKNHKGFDM98DA,沙東段,14.34,都市：其他:道路用地,12,2,持分移轉,07400000
RPRNMLNKNHKGFDM98DA,沙東段,13.23,都市：其他:住宅區,12,2,持分移轉,07410000
RPPNMLTLNHKGFBM66DA,保安段,87.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04230000
RPQNMLMJOHKGFAM58EA,樟平段,205.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,14570000
RPQNMLMJOHKGFDM78DA,鹿彰段,90.40,都市：其他:商業區,1,1,全筆移轉,05970001
RPQNMLTLNHKGFCM86DA,東埔段,45.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01230000
RPQNMLTLNHKGFCM86DA,東埔段,18.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,342,持分移轉,01310000
RPQNMLTLNHKGFCM86DA,東埔段,6.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,81,持分移轉,01650000
RPQNMLTLNHKGFCM86DA,東埔段,7.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,81,持分移轉,01660000
RPQNMLTLNHKGFCM86DA,東埔段,5.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,81,持分移轉,01670000
RPOPMLNKNHKGFBM68DA,北勢段,180.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01880000
RPOPMLNKNHKGFBM68DA,北勢段,31.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,01880004
RPPNMLLMNHKGFAM48DA,南大庄段,259.05,都市：其他:住宅區,233148,77716,持分移轉,10650000
RPQNMLMJOHKGFAM48DA,內新段,11.42,都市：其他:住宅區,12,1,持分移轉,10110006
RPQNMLMJOHKGFAM48DA,內新段,61.45,都市：其他:住宅區,2,1,持分移轉,10110014
RPPNMLTJNHKGFAM98DA,牛運堀段,760.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04140009
RPRNMLOKNHKGFAM78DA,內興段,91.74,非都市：特定農業區 ; 非都市編定：農牧用地,115,3,持分移轉,04130000
RPRNMLOKNHKGFAM78DA,內興段,109.22,非都市：特定農業區 ; 非都市編定：農牧用地,115,3,持分移轉,04320000
RPRNMLMKNHKGFAM58DA,出林虎段,1150.61,非都市：一般農業區 ; 非都市編定：農牧用地,1937,1184,持分移轉,00260000
RPTNMLTJNHKGFAM76DA,茄苳腳段,66.00,都市：其他:住宅區,1,1,全筆移轉,02660016
RPTNMLTJNHKGFAM76DA,茄苳腳段,4.00,都市：其他:住宅區,1,1,全筆移轉,02660027
RPQNMLLLNHKGFAM48DA,南松嶺段,1192.33,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14040001
RPQNMLMLNHKGFAM58DA,中寮段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03160059
RPSNMLKLNHKGFAM58DA,施厝坪段,399.44,都市：其他:農業區,6,1,持分移轉,04400000
RPRNMLTKNHKGFAM66DA,永新段,68.02,都市：其他:住宅區,1,1,全筆移轉,05080000
RPRNMLLLNHKGFAM58DA,南松嶺段,1192.33,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14040001
RPUNMLLLNHKGFAM88DA,新草尾嶺段,1163.76,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02820000
RPRNMLMJOHKGFCM78DA,松岡段,28.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06530001
RPRNMLMJOHKGFCM78DA,松岡段,14.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06780018
