鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南投市,房地(土地+建物)+車位,南投縣南投市民族路,19.38,商,,,1140214,土地3建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.56,3,2,2,有,無,18378000,111307,坡道平面,22.62,1800000,,RPPNMLQKKHKGFAM58DB,南投帝標,A2棟6F號,
南投市,房地(土地+建物),南投縣南投市竹林路,14.6,商,,,1140213,土地5建物1車位0,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,74.07,2,2,2,有,無,7100000,95855,,0.0,0,,RPQNMLOLKHKGFAM48CB,甜甜窩,D棟8F號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路876巷,74.89,,特定農業區,甲種建築用地,1140224,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,132.07,4,3,3,有,無,12680000,96010,,0.0,0,,RPPNMLOLKHKGFBM58DB,聚富金辰,A3棟0號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路876巷,75.89,,特定農業區,甲種建築用地,1140221,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,132.07,4,3,3,有,無,12710000,96237,,0.0,0,,RPPNMLPLKHKGFBM68DB,聚富金辰,A5棟0號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路,25.66,住,,,1140221,土地3建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.24,3,2,2,有,無,12090000,96504,坡道平面,33.54,1600000,,RPPNMLQLKHKGFBM68CB,富森林,A1棟3F號,
埔里鎮,房地(土地+建物),南投縣埔里鎮虎山路,32.0,,鄉村區,乙種建築用地,1140218,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.96,3,2,2,有,無,7683000,63517,,0.0,0,,RPPNMLQLKHKGFCM88DB,天嵐與樹,同一棟5C號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮梅林三街,44.35,住,,,1140218,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.73,2,2,2,有,無,12350000,84129,一樓平面,24.79,1250000,,RPQNMLQLKHKGFCM98DB,視界,6C號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮和平東路,16.48,住,,,1140215,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.95,2,2,1,有,無,8800000,95201,坡道平面,29.22,1400000,,RPPNMLNJLHKGFCM38CB,翔禾之森,H棟13號,
南投市,房地(土地+建物),南投縣南投市成功東路,105.52,住,,,1140304,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.25,4,2,4,有,無,15100000,89747,,0.0,0,,RPPNMLPJLHKGFAM38CB,首富成功,B棟3號,
南投市,房地(土地+建物),南投縣南投市成功東路,94.54,住,,,1140301,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,140.48,4,2,4,有,無,14100000,100370,,0.0,0,,RPQNMLPJLHKGFAM48CB,首富成功,C棟7號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中和路,22.35,,鄉村區,乙種建築用地,1140301,土地2建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.64,3,2,2,有,無,10300000,80407,坡道平面,48.71,1300000,,RPPNMLPJLHKGFBM48CB,廣宣-水琉璃,A1棟07號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中和路,20.35,,鄉村區,乙種建築用地,1140217,土地2建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.35,2,2,2,有,無,11000000,82409,坡道平面,97.42,2600000,,RPQNMLPJLHKGFBM58CB,廣宣-水琉璃,B5棟10號,
竹山鎮,房地(土地+建物)+車位,南投縣竹山鎮大禮路,31.11,住,,,1140225,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.78,2,1,1,有,無,5860000,63446,坡道平面,28.18,1000000,,RPPNMLPJLHKGFDM68CB,竹山靜好,A棟4B1號,
名間鄉,房地(土地+建物),南投縣名間鄉水尾巷,123.19,,特定農業區,甲種建築用地,1140225,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,210.3,4,3,3,有,無,18200000,86543,,0.0,0,,RPPNMLQJLHKGFAM48CB,大疆方圓,B棟8號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路,25.56,住,,,1140304,土地3建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.87,3,2,2,有,無,12400000,98311,坡道平面,33.54,1750000,,RPPNMLRJLHKGFBM68CB,富森林,B6棟3F號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路,21.17,住,,,1140302,土地3建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,2,2,2,有,無,9960000,93075,坡道平面,33.54,1600000,,RPQNMLRJLHKGFBM78CB,富森林,A2棟3F號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮富春路,21.17,住,,,1140302,土地3建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.36,2,2,2,有,無,9880000,92184,坡道平面,33.54,1600000,,RPRNMLRJLHKGFBM88CB,富森林,A2棟2F號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮文教巷,34.79,,特定農業區,甲種建築用地,1140308,土地2建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.15,2,2,2,有,無,8290000,90213,坡道平面,36.45,1100000,,RPPNMLLKLHKGFBM18CB,幸福臻愛,D棟7號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮文教巷,34.0,,特定農業區,甲種建築用地,1140308,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.96,2,2,2,有,無,8020000,90446,坡道平面,36.45,1100000,,RPQNMLLKLHKGFBM28CB,幸福臻愛,E棟10號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮英二街,88.13,住,,,1140308,土地2建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,231.24,4,2,6,有,無,24380000,105432,一樓平面,0.0,0,停車位位於室內專有範圍內，未單獨計價,RPPNMLMKLHKGFCM38CB,山蒔粼粼,C棟2號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮和平東路,16.48,住,,,1140226,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.95,2,2,1,有,無,8800000,93915,坡道平面,29.22,1500000,,RPQNMLMKLHKGFCM48CB,翔禾之森,H棟6號,
埔里鎮,房地(土地+建物),南投縣埔里鎮大同街,27.79,,特定農業區,甲種建築用地,1140223,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.79,2,2,2,有,無,8380000,88406,,0.0,0,,RPPNMLNKLHKGFCM48CB,幸福大邑,C棟8號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路876巷,115.05,,特定農業區,甲種建築用地,1140312,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,170.4,4,3,3,有,無,13600000,79812,,0.0,0,,RPPNMLOKLHKGFBM58DB,聚富金辰,C1棟0號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮碧峰路876巷,95.05,,特定農業區,甲種建築用地,1140227,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,131.17,4,3,3,有,無,13160000,109755,一樓平面,14.0,300000,,RPQNMLOKLHKGFBM68DB,聚富金辰,A1棟0號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路876巷,119.05,,特定農業區,甲種建築用地,1140312,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,184.8,4,3,3,有,無,13600000,73593,,0.0,0,,RPRNMLOKLHKGFBM78DB,聚富金辰,B2棟0號,
南投市,房地(土地+建物),南投縣南投市成功東路,105.52,住,,,1140315,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.25,4,2,4,有,無,15100000,89747,,0.0,0,,RPPNMLRKLHKGFAM68CB,首富成功,B棟10號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,16.51,商,,,1140310,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.1,3,2,2,有,無,11580000,95829,坡道平面,26.0,1700000,,RPPNMLRKLHKGFCM88CB,三銳富城,A棟6號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路876巷,76.05,,特定農業區,甲種建築用地,1140225,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,132.07,4,3,3,有,無,12580000,95253,,0.0,0,,RPPNMLSKLHKGFBM98DB,聚富金辰,A14棟0號,
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,21.07,,鄉村區,乙種建築用地,1140306,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.78,1,0,1,有,無,9100000,106823,坡道平面,25.89,1100000,,RPPNMLTKLHKGFDM56CB,杉也先生,A6棟8F號,
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,21.76,,鄉村區,乙種建築用地,1140312,土地2建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.21,1,2,1,有,無,9100000,101526,坡道平面,25.89,1250000,,RPQNMLTKLHKGFDM66CB,杉也先生,A7棟4F號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮文教巷,34.79,,特定農業區,甲種建築用地,1140311,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.15,2,2,2,有,無,8270000,88708,坡道平面,36.45,1200000,,RPPNMLKLLHKGFBM18CB,幸福臻愛,D棟3號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮文教巷,32.99,,特定農業區,甲種建築用地,1140311,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.6,2,2,2,有,無,7740000,87727,坡道平面,44.76,1350000,,RPQNMLKLLHKGFBM28CB,幸福臻愛,C棟3號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮文教巷,34.79,,特定農業區,甲種建築用地,1140315,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.49,2,2,2,有,無,8510000,91092,坡道平面,39.79,1250000,,RPRNMLKLLHKGFBM38CB,幸福臻愛,B棟10號,
