編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKKHKGFAM58DB,南投段,2.39,都市：住,10000,239,持分移轉,01190014
RPPNMLQKKHKGFAM58DB,南投段,3.94,都市：商,10000,239,持分移轉,01190018
RPPNMLQKKHKGFAM58DB,南投段,13.05,都市：商,10000,239,持分移轉,01190020
RPPNMLOLKHKGFBM58DB,北投埔段,58.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07420012
RPPNMLOLKHKGFBM58DB,北投埔段,16.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,19,1,持分移轉,07420029
RPQNMLOLKHKGFAM48CB,南山段,1.03,都市：商,100000,1916,持分移轉,01200000
RPQNMLOLKHKGFAM48CB,南山段,.98,都市：商,100000,1916,持分移轉,01200001
RPQNMLOLKHKGFAM48CB,南山段,.98,都市：商,100000,1916,持分移轉,01200002
RPQNMLOLKHKGFAM48CB,南山段,6.13,都市：商,100000,1916,持分移轉,01250000
RPQNMLOLKHKGFAM48CB,南山段,5.48,都市：商,100000,1916,持分移轉,01260000
RPQNMLPJLHKGFAM48CB,新豐段,94.04,都市：住,100000,1782,持分移轉,07720000
RPQNMLPJLHKGFAM48CB,新豐段,.50,都市：住,100000,508,持分移轉,07730000
RPPNMLNJLHKGFCM38CB,忠孝段,16.48,都市：住,10000,77,持分移轉,02330000
RPQNMLQLKHKGFCM98DB,梅林段,44.35,都市：住,10000,382,持分移轉,06730000
RPPNMLPLKHKGFBM68DB,北投埔段,59.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07420013
RPPNMLPLKHKGFBM68DB,北投埔段,16.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,19,1,持分移轉,07420029
RPQNMLMKLHKGFCM48CB,忠孝段,16.48,都市：住,10000,77,持分移轉,02330000
RPPNMLQJLHKGFAM48CB,名山段,100.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01250008
RPPNMLQJLHKGFAM48CB,名山段,5.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,14,1,持分移轉,01250017
RPPNMLQJLHKGFAM48CB,名山段,1.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,14,1,持分移轉,01250018
RPPNMLQJLHKGFAM48CB,名山段,16.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,01250000
RPPNMLPJLHKGFDM68CB,菩提段,31.11,都市：住,100000,3120,持分移轉,15330000
RPPNMLPJLHKGFAM38CB,新豐段,105.02,都市：住,100000,1990,持分移轉,07720000
RPPNMLPJLHKGFAM38CB,新豐段,.50,都市：住,100000,508,持分移轉,07730000
RPPNMLNKLHKGFCM48CB,忠良段,27.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3296,持分移轉,08160001
RPPNMLOKLHKGFBM58DB,北投埔段,98.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07420019
RPPNMLOKLHKGFBM58DB,北投埔段,16.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,19,1,持分移轉,07420029
RPPNMLOKLHKGFBM58DB,北投埔段,.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,19,1,持分移轉,07420030
