編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHKGFBM48CC,中原段,21.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09700000
RPPNMLKLKHKGFBM18CC,新虎山段,19.89,都市：住,,,,02750000
RPPNMLPLKHKGFBM68CC,中興段,101.00,都市：住,,,,02910007
RPPNMLNJLHKGFBM38CC,新富仁段,26.15,都市：住,,,,00650000
RPPNMLNJLHKGFBM38CC,新富仁段,.56,都市：住,,,,01110000
RPPNMLMKLHKGFAM28CC,三塊厝段,67.00,都市：住,,,,00660017
RPQNMLMKLHKGFAM38CC,永新段,2695.11,都市：工,,,,03730000
RPQNMLMKLHKGFAM38CC,永新段,2891.69,都市：工,,,,03740000
RPRNMLMKLHKGFAM48CC,牛運堀段,74.00,都市：住,,,,05130043
RPSNMLMKLHKGFAM58CC,三塊厝段,93.00,都市：住,,,,01930062
RPPNMLNKLHKGFAM38CC,新廍段,194.97,都市：住,,,,08630000
RPPNMLNKLHKGFBM48CC,玉峰段,30.42,都市：住,,,,08730000
RPPNMLNKLHKGFBM48CC,玉峰段,11.44,都市：住,,,,08740000
RPPNMLNKLHKGFBM48CC,玉峰段,16.31,都市：住,,,,08750000
RPSNMLTKLHKGFBM76CC,復興段,995.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05270000
RPPNMLKLLHKGFBM28CC,草屯段,107.00,都市：商,,,,07470021
RPRNMLTKLHKGFBM66CC,玉峰段,43.30,都市：住,,,,04770000
RPRNMLTKLHKGFBM66CC,玉峰段,37.60,都市：住,,,,04780000
RPQNMLTKLHKGFBM56CC,新御史段,274.23,都市：其他:空白,,,,12580025
RPPNMLQLLHKGFBM88CC,新屋段,88.92,都市：住,,,,12820000
RPPNMLQLLHKGFBM88CC,新屋段,2.04,都市：住,,,,12810000
RPPNMLQLLHKGFBM88CC,新屋段,33.20,都市：住,,,,12800000
RPPNMLQLLHKGFBM88CC,新屋段,1.63,都市：住,,,,12790000
RPQNMLSJMHKGFBM09CC,草屯段,88.00,都市：其他:空白,,,,00660012
RPRNMLOKMHKGFBM88CC,龍德段,661.15,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03360000
RPQNMLOKMHKGFBM78CC,龍德段,330.50,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03360000
RPPNMLMLMHKGFBM58CC,草屯段,117.00,都市：商,,,,00830006
RPSNMLSKMHKGFBM76CC,中興段,16.23,都市：其他:空白,,,,18990000
RPPNMLPLMHKGFBM88CC,草屯段,109.00,都市：其他:倉儲區,,,,00050010
RPPNMLSLMHKGFAM09CC,新廍段,194.97,都市：住,,,,08630000
RPPNMLPJNHKGFBM78CC,建興段,103.65,都市：住,,,,12300018
RPPNMLSJNHKGFBM09CC,加老段,132.22,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06760000
RPPNMLTKNHKGFBM66CC,和平段,114.00,都市：農,,,,00060000
RPQNMLSLNHKGFBM76CC,草屯段,77.00,都市：住,,,,00890019
RPPNMLSLNHKGFBM66CC,龍德段,198.30,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03360000
