編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKNHKGFDN78DA,33,74.42,商業用,鋼筋混凝土造,81年9月19日,九層,四層,持分移轉
RPPNMLMKNHKGFDN78DA,33,10.47,避難室,鋼筋混凝土造,81年9月19日,九層,,持分移轉
RPRNMLNKNHKGFGN76DA,41,1969.51,畜牧設施蛋雞舍,磚木造、水泥柱、磚造、有牆鋼鐵造,73年5月25日,一層,一層,全筆移轉
RPRNMLQKNHKGFCN66DA,49,92.72,住家用,加強磚造,65年7月2日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTKNHKGFGN17DA,8,648.57,工廠、停車空間,鋼筋混凝土造,106年8月11日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLNKNHKGFGN66DA,44,124.24,住家用,加強磚造,69年12月29日,二層,一層 二層 騎樓,全筆移轉
RPUOMLKLNHKGFGN96DA,41,170.59,住家用,加強磚造,73年2月1日,一層,一層 屋頂突出物,全筆移轉
RPPNMLMLNHKGFGN56DA,,141.71,住家用,鋼筋混凝土造,114年2月25日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLRJNHKGFHN96DA,31,159.60,住家用,鋼筋混凝土造,83年1月18日,三層,一層 二層 三層 騎樓,全筆移轉
RPQNMLTKNHKGFCN86DA,56,96.40,住家用,鋼筋混凝土加強磚造,57年12月27日,二層,一層 二層 走廊,全筆移轉
RPPNMLPKNHKGFCN98DA,94,25.16,住家用,磚造,,一層,一層 騎樓,持分移轉
RPPNMLPKNHKGFCN98DA,27,84.33,住家用,鋼筋混凝土造,87年9月17日,四層,一層 二層 三層 四層 電梯樓梯間,持分移轉
RPXOMLKLNHKGFGN27DA,21,142.53,住家用,鋼筋混凝土造,93年9月14日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
RPPNMLKLNHKGFAN38DA,42,17.40,住家用,加強磚造,72年3月22日,二層,一層 二層,持分移轉
RPPNMLLLNHKGFAN48DA,10,169.79,住家用,鋼筋混凝土造,104年7月22日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLLLNHKGFFN98DA,45,97.02,住家用,加強磚造,69年8月6日,二層,一層 二層,全筆移轉
RPSNMLRLNHKGFGN37DA,,146.88,住家用,鋼筋混凝土造,113年11月22日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLLJOHKGFGN98DA,1,70.18,住家用,鋼筋混凝土造,113年3月26日,五層,三層 陽台,全筆移轉
RPPNMLLJOHKGFGN98DA,1,13.55,電梯、安全梯、梯廳,鋼筋混凝土造,113年3月26日,五層,,持分移轉
RPPNMLQKNHKGFAN88DA,52,53.20,住家用,鋼筋混凝土加強磚造,62年10月1日,一層,一層,全筆移轉
RPQNMLQKNHKGFHN07DA,,67.49,集合住宅,鋼筋混凝土造,113年11月15日,七層,六層 陽台,全筆移轉
RPQNMLQKNHKGFHN07DA,,25.37,共有部分,鋼筋混凝土造,113年11月15日,七層,,持分移轉
RPSNMLNJOHKGFCN09DA,1,437.00,住宅、樓梯間,鋼筋混凝土造,113年6月21日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPQNMLSLNHKGFEN07DA,1,134.12,住宅、停車空間,鋼筋混凝土造,113年9月13日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKMNHKGFGN09DA,8,648.57,工廠、停車空間,鋼筋混凝土造,106年8月11日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLTKNHKGFFN67DA,29,178.73,住家用,鋼筋混凝土造,85年6月12日,四層,一層 二層 三層 四層 陽台 地下層,全筆移轉
RPQNMLMJOHKGFAN68EA,37,164.88,住家用,鋼筋混凝土造,77年10月6日,三層,一層 二層 三層 騎樓,全筆移轉
RPWNMLSJNHKGFAN07DA,38,88.80,工業用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPXNMLSJNHKGFAN17DA,38,88.80,工業用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPOOMLSJNHKGFAN98DA,38,177.60,工業用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPTNMLMJOHKGFAN88DA,1,111.92,集合住宅,鋼筋混凝土造,112年12月27日,十四層,五層 陽台,全筆移轉
RPTNMLMJOHKGFAN88DA,1,94.35,停車空間、機房、安全梯、消防機房、昇降機、梯廳兼排煙室、防空避難室兼停車空間、台電配電室、緊急發電機室、電信室,鋼筋混凝土造,112年12月27日,十四層,,持分移轉
RPTNMLMJOHKGFAN88DA,1,36.38,管理委員會使用空間、公共使用空間、環保室、安全梯、昇降機、梯廳兼排煙室、梯廳、機械室、水錶室、水箱、昇降機房,鋼筋混凝土造,112年12月27日,十四層,,持分移轉
RPRNMLMJOHKGFAN68DA,64,60.48,住家用,磚造,49年12月31日,二層,一層 二層,全筆移轉
RPUNMLMLNHKGFAN09DA,53,72.51,住商用,鋼筋混凝土加強磚造,61年4月26日,三層,一層 二層 三層 騎樓,持分移轉
RPPOMLMJOHKGFAN58DA,16,26.85,停車空間、台電受電室、發電機室、消防機械室、電信室,鋼筋混凝土造,98年6月5日,五層,,持分移轉
RPPOMLMJOHKGFAN58DA,16,398.30,住宅、停車空間,鋼筋混凝土造,98年6月5日,四層,一層 二層 三層 四層 陽台 地下一層,全筆移轉
RPQOMLSJNHKGFAN56DA,38,293.12,工商用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPPOMLSJNHKGFAN09DA,38,324.10,工商用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPUNMLTJNHKGFAN96DA,38,88.80,工業用,鋼筋混凝土造,76年4月8日,一層,一層,全筆移轉
RPRNMLSLNHKGFAN76DA,44,163.16,住商用,鋼筋混凝土造,70年9月18日,四層,一層 二層 三層 四層,全筆移轉
RPPOMLRLNHKGFAN56DA,25,215.60,補習班,鋼筋混凝土造,89年9月30日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPQNMLTLNHKGFAN76DA,31,23.44,住家用,鋼筋混凝土造,83年5月9日,十層,四層 陽台,全筆移轉
RPQNMLTLNHKGFAN76DA,31,7.35,車道、梯間,鋼筋混凝土造,83年5月9日,十層,,持分移轉
RPQNMLTLNHKGFAN76DA,31,2.70,停車空間、避難室,鋼筋混凝土造,83年5月9日,十層,,持分移轉
RPSNMLMJOHKGFGN76DA,3,323.36,住家用,鋼筋混凝土造,111年6月13日,三層,一層 二層 三層 陽台 騎樓,全筆移轉
RPSOMLNLNHKGFAN09DA,31,90.11,住家用,鋼筋混凝土造,83年1月18日,七層,一層 平台,全筆移轉
RPSOMLNLNHKGFAN09DA,31,20.52,梯間、避難室、停車空間,鋼筋混凝土造,83年1月18日,七層,,持分移轉
RPSNMLNJOHKGFDN56DA,32,76.29,住商用,加強磚造,82年10月20日,二層,一層 二層 電梯樓梯間,全筆移轉
RPSNMLPJOHKGFGN07DA,6,213.72,住商用,鋼筋混凝土造,107年12月24日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLKLNHKGFHN09DA,31,157.50,住商用,鋼筋混凝土造,83年2月2日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPRNMLNJOHKGFHN86DA,18,177.50,住家用,鋼筋混凝土造,96年5月17日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPPNMLOJOHKGFEN09DA,34,168.45,住家用,鋼筋混凝土造,80年4月30日,三層,一層 二層 三層,全筆移轉
RPUOMLMJOHKGFAN09DA,,170.09,住家用,鋼筋混凝土造,113年11月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWOMLMJOHKGFAN66DA,,194.24,住宅、停車空間,鋼筋混凝土造,113年11月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLOJOHKGFCN98DA,1,200.58,停車空間、樓梯間、廁所盥洗室、住宅、梯間,鋼筋混凝土造,112年12月4日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPTNMLOJOHKGFDN76DA,10,26.06,住宅、停車空間,鋼筋混凝土造,104年1月9日,一層,一層 屋頂突出物,持分移轉
RPPNMLOKNHKGFCN88DA,29,168.99,農舍,鋼筋混凝土造,85年9月16日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPQNMLPJOHKGFDN56DA,3,50.51,集合住宅,鋼筋混凝土造,111年1月27日,十三層,十二層 陽台,全筆移轉
RPQNMLPJOHKGFDN56DA,3,50.96,本共有部分係依使用執照之建築概要表記載項目有停車空間、水箱、安全梯、排煙室、消防機房、雨汙水機房、揚水機房、緊急昇降機、管道間、車道、台電配電室、機房、電信室、緊急發電機室、防空避難室兼停車空間、沿街步道式開放空間、管委會使用空間、梯廳、戶外安全梯、資源回收室、廁所、梯間、機械室、水錶機房、電梯機房等２５項。,鋼筋混凝土造,111年1月27日,十三層,,持分移轉
RPRNMLMJOHKGFGN66DA,3,200.21,住家用,鋼筋混凝土造,111年2月10日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLRKNHKGFGN96DA,45,115.80,住家用,鋼筋混凝土造,69年11月8日,三層,一層 二層 三層,全筆移轉
RPQNMLPKMHKGFBN88DA,1,49.42,集合住宅,鋼筋混凝土造,113年4月19日,五層,四層 陽台,全筆移轉
RPQNMLPKMHKGFBN88DA,1,33.41,人行道、停車空間、安全梯、管委空間、機械室、樓梯間,鋼筋混凝土造,113年4月19日,五層,,持分移轉
RPPNMLMLMHKGFBN58DA,43,104.32,住商用,加強磚造,71年9月24日,二層,一層 二層 騎樓,全筆移轉
RPRNMLMLMHKGFAN68DA,10,300.78,停車空間、住宅,鋼筋混凝土造,103年10月17日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPRNMLLLMHKGFAN68EA,30,70.00,住家用,鋼筋混凝土造,83年10月14日,七層,六層 陽台 花台,全筆移轉
RPRNMLLLMHKGFAN68EA,30,20.68,梯間、門廳、防空避難室,鋼筋混凝土造,83年10月14日,七層,,持分移轉
RPPNMLNLMHKGFBN78EA,32,122.23,住家用,鋼筋混凝土造,82年6月25日,三層,一層 二層 三層,全筆移轉
RPVNMLRKMHKGFAN86DA,34,16.43,停車空間、商場、避難室,鋼筋混凝土造,80年5月14日,七層,地下一層,全筆移轉
RPVNMLRKMHKGFAN86DA,34,22.61,公共設施,鋼筋混凝土造,80年5月14日,七層,,持分移轉
RPVNMLRKMHKGFAN86DA,34,9.03,公共設施,鋼筋混凝土造,80年5月14日,七層,,持分移轉
RPSNMLTJMHKGFGN27DA,27,108.32,集合住宅,鋼筋混凝土造,87年5月6日,十三層,六層 陽台,全筆移轉
RPSNMLTJMHKGFGN27DA,27,38.60,避難室、停車空間、門廳、梯間、機房、水箱（公共設施）,鋼筋混凝土造,87年5月6日,十三層,,持分移轉
RPPNMLSKMHKGFDN66DA,54,46.28,住家用,鋼筋混凝土加強磚造,60年3月20日,二層,一層 二層 走廊,持分移轉
RPPNMLOLMHKGFDN98DA,25,22.75,防空避難室、停車空間、機械室、水箱、梯間、受電室,鋼筋混凝土造,89年7月12日,十層,,持分移轉
RPPNMLOLMHKGFDN98DA,25,61.25,住家用,鋼筋混凝土造,89年7月12日,十層,九層 陽台,全筆移轉
RPQNMLMLMHKGFAN58DA,43,98.19,住家用,加強磚造,70年12月9日,二層,一層 二層,全筆移轉
RPQNMLSLMHKGFBN66DA,,176.97,住宅、停車空間,鋼筋混凝土造,113年11月12日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWNMLSKMHKGFCN27DA,8,184.13,住家用,鋼筋混凝土造,106年6月1日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSJNHKGFBN09DA,47,104.06,住家用,鋼筋混凝土加強磚造,67年1月5日,二層,一層 二層 騎樓,全筆移轉
RPTNMLQJNHKGFBN66DA,3,186.34,騎樓、店舖、住宅,鋼筋混凝土造,111年10月21日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPPNMLSLMHKGFAN09DA,30,132.10,住家、停車空間,鋼筋混凝土造,84年6月22日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPPNMLLJNHKGFBN38DA,24,37.31,住家用,鋼筋混凝土造,89年10月30日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,持分移轉
RPXNMLSLMHKGFAN27DA,52,95.12,住家用,鋼筋混凝土加強磚造,62年7月28日,二層,一層 二層,全筆移轉
RPWNMLPLMHKGFDN17DA,46,2898.00,工業用,鋼造,68年3月23日,一層,一層,全筆移轉
RPSNMLTLMHKGFDN17DA,6,198.00,住宅,鋼筋混凝土造,108年1月4日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLOLMHKGFGN86DA,31,286.01,住家用,鋼筋混凝土造,83年8月16日,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPUNMLTJMHKGFGN47DA,36,670.54,住商用,鋼筋混凝土造,78年9月15日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPPNMLTLMHKGFGN17DA,30,217.28,農舍,鋼筋混凝土造,84年6月30日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPUNMLOLMHKGFGN17DA,12,199.16,住家用,鋼筋混凝土造,102年1月10日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLNLMHKGFAN78DA,43,142.80,住商用,鋼筋混凝土造,71年3月19日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLQKMHKGFCN66DA,30,88.71,住家用,鋼筋混凝土造,84年3月21日,八層,六層 陽台,全筆移轉
RPSNMLQKMHKGFCN66DA,30,36.12,地下室、水箱、梯間、機械室,鋼筋混凝土造,84年3月21日,八層,,持分移轉
RPQNMLMJNHKGFCN68DA,44,118.68,住商用,加強磚造,69年12月22日,二層,一層 二層 騎樓,全筆移轉
RPPNMLRLMHKGFAN98DA,31,.79,辦公室,鋼筋混凝土造,82年12月17日,十層,地下層,持分移轉
RPPNMLRLMHKGFAN98DA,31,114.84,住家用,鋼筋混凝土造,82年12月17日,十層,十層 陽台,全筆移轉
RPPNMLRLMHKGFAN98DA,31,20.35,避難室、停車空間、梯間,鋼筋混凝土造,82年12月17日,十層,,持分移轉
RPPNMLRLMHKGFAN98DA,31,23.97,避難室、停車空間、梯間,鋼筋混凝土造,82年12月17日,十層,,持分移轉
RPPNMLLJNHKGFFN78DA,44,95.46,住家用,加強磚造,69年10月27日,二層,一層 二層 騎樓,全筆移轉
RPPNMLPJNHKGFFN56DA,30,134.90,住商用,鋼筋混凝土造,84年3月10日,三層,一層 二層 三層,全筆移轉
RPQPMLSLMHKGFDN07DA,42,53.30,住商用,鋼筋混凝土造,72年2月9日,四層,一層 二層 三層 四層 防空避難室 騎樓,持分移轉
RPWOMLSLMHKGFDN57DA,,88.29,集合住宅,鋼筋混凝土造,114年2月13日,七層,七層 陽台,全筆移轉
RPWOMLSLMHKGFDN57DA,,63.28,共有部分,鋼筋混凝土造,114年2月13日,七層,,持分移轉
RPPNMLMJNHKGFHN09DA,24,176.18,住家用,鋼筋混凝土造,89年12月28日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPWPMLSLMHKGFDN67DA,34,25.52,住家用,鋼筋混凝土造,80年5月7日,五層,五層 陽台,全筆移轉
RPWPMLSLMHKGFDN67DA,34,8.58,樓梯、電梯、玄關,鋼筋混凝土造,80年5月7日,五層,,持分移轉
RPRNMLQJNHKGFEN76DA,37,164.60,住商用,鋼筋混凝土造,77年8月18日,三層,一層 二層 三層 騎樓,全筆移轉
RPSNMLRJNHKGFFN07DA,45,88.25,住家用,加強磚造,69年2月10日,二層,一層 二層,全筆移轉
RPVOMLRJNHKGFAN96DA,30,201.04,住家用,鋼筋混凝土造,83年11月30日,五層,一層 二層 三層 四層 五層 見其他登記事項,全筆移轉
RPXOMLRJNHKGFAN17DA,23,113.88,集合住宅,鋼筋混凝土造,90年11月9日,十四層,九層 陽台,全筆移轉
RPXOMLRJNHKGFAN17DA,23,11.53,梯間,鋼筋混凝土造,90年11月9日,十四層,,持分移轉
RPXOMLRJNHKGFAN17DA,23,33.62,停車空間、防空避難室,鋼筋混凝土造,90年11月9日,十四層,,持分移轉
RPQNMLRJNHKGFCN56DA,28,130.91,住宅、店鋪、人行道,鋼筋混凝土造,86年5月29日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPQNMLSJNHKGFEN86DA,47,108.10,住家用,鋼筋混凝土加強磚造,67年6月2日,二層,一層 二層 騎樓,全筆移轉
RPQNMLLLMHKGFFN98DA,2,182.24,住宅,鋼筋混凝土造,112年7月7日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLTJNHKGFGN07DA,26,204.25,住商用,鋼筋混凝土造,88年8月27日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPUNMLSJNHKGFBN96DA,32,62.96,住家用,加強磚造,82年2月12日,一層,一層,全筆移轉
RPPNMLQJNHKGFAN78DA,40,12.89,梯間、避難室,鋼筋混凝土造,74年2月8日,五層,,持分移轉
RPPNMLQJNHKGFAN78DA,40,83.10,住家用,鋼筋混凝土造,74年2月8日,五層,四層 陽台,全筆移轉
RPVNMLSJNHKGFBN07DA,51,149.20,住家用,鋼筋混凝土造,63年6月4日,四層,一層 二層 三層 四層,全筆移轉
RPXNMLMJNHKGFAN56DA,55,46.71,住家用,鋼筋混凝土加強磚造,58年11月21日,一層,一層,全筆移轉
RPOPMLRJNHKGFAN98DA,23,.04,守衛室,鋼筋混凝土造,90年11月9日,十四層,一層,持分移轉
RPOPMLRJNHKGFAN98DA,23,.01,梯間,鋼筋混凝土造,90年11月9日,十四層,,持分移轉
RPOPMLRJNHKGFAN98DA,23,11.18,停車空間、防空避難室,鋼筋混凝土造,90年11月9日,十四層,,持分移轉
RPRNMLMKNHKGFEN09DA,5,111.06,住家用,鋼筋混凝土造,108年12月19日,三層,一層 二層 三層 陽台,持分移轉
RPSNMLTJNHKGFFN27DA,,116.96,住宅,鋼骨鋼筋混凝土造,113年12月27日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLMKNHKGFGN76DA,1,66.96,住家用,鋼筋混凝土造,113年3月13日,五層,三層,全筆移轉
RPSNMLMKNHKGFGN76DA,1,38.39,住宅、樓梯間、升降機間、梯廳、走廊、停車空間,鋼筋混凝土造,113年3月13日,五層,,持分移轉
RPVNMLMKNHKGFAN09DA,45,94.92,住商用,鋼筋混凝土加強磚造,68年11月21日,二層,一層 二層 騎樓,全筆移轉
RPXNMLTJNHKGFAN27DA,37,114.35,住家用,鋼筋混凝土造,76年10月27日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPTNMLQJNHKGFGN17DA,1,163.39,停車空間、店舖、住宅,鋼筋混凝土造,113年1月23日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPSNMLRJNHKGFCN76DA,17,165.34,住家用,鋼筋混凝土造,96年10月30日,三層,一層 二層 三層 陽台 雨遮,全筆移轉
