編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKKHKGFGN76CC,儒明段,91.74,都市：住,,,,04700002
RPQNMLLLKHKGFHN09CC,大竹段,86.98,都市：住,,,,02070004
RPPNMLOKKHKGFBN58CC,富貴段,576.46,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00990002
RPRNMLOLKHKGFHN86CC,大發段,88.00,都市：住,,,,05430001
RPPNMLQLKHKGFAN78CC,南郭段南郭小段,28.39,都市：住,,,,03310000
RPPNMLLLKHKGFHN98CC,大竹段,21.50,都市：住,,,,02100000
RPRNMLNJLHKGFDN88CC,員林段,34.62,都市：商,,,,05870000
RPRNMLNJLHKGFDN88CC,員林段,2.88,都市：商,,,,05870013
RPQNMLNJLHKGFDN78CC,鎮安段,75.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03270000
RPPNMLOJLHKGFBN58CC,富貴段,3197.50,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00990001
RPRNMLLLKHKGFHN56CC,大竹段,86.98,都市：住,,,,02070004
RPQNMLRJLHKGFAN88CC,大埔段,17.64,都市：住,,,,05190000
RPPNMLRLKHKGFCN09CC,福新段,91.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04580000
RPPNMLOJLHKGFBN68DC,和北段,41.00,都市：工,,,,06000008
RPPNMLOJLHKGFBN68DC,和北段,34.00,都市：工,,,,05990014
RPQNMLPJLHKGFDN98CC,中央段,78.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09540000
RPQNMLPJLHKGFDN98CC,中央段,16.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09550000
RPPNMLPJLHKGFDN88CC,南潭段,192.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04470000
RPPNMLMKLHKGFHN09CC,鳳山段,98.00,都市：住,,,,08330016
RPPNMLNKLHKGFDN78CC,仁愛段,94.00,都市：住,,,,13850000
RPPNMLSKLHKGFGN96CC,儒芳段,98.69,都市：住,,,,13100023
RPPNMLKLLHKGFCN48CC,東昇段,43.00,都市：住,,,,01500010
RPPNMLOJLHKGFDN88DC,橋愛段,275.37,都市：住,,,,13310000
RPPNMLOJLHKGFDN88DC,橋愛段,275.37,都市：住,,,,13310001
RPPNMLOJLHKGFDN88DC,橋愛段,137.68,都市：住,,,,13320001
RPPNMLOJLHKGFDN88DC,橋愛段,137.67,都市：住,,,,13320002
RPPNMLOJLHKGFDN88DC,橋愛段,137.69,都市：住,,,,13320003
RPPNMLSKLHKGFHN07CC,光明北段,142.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03640000
RPQNMLRKLHKGFHN07CC,福安段,33.99,都市：商,,,,02340000
RPPNMLLLLHKGFCN58CC,鹿工段,6417.65,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00560024
RPPNMLQLLHKGFAN88CC,西門口段,19.75,都市：住,,,,05130002
RPQNMLOLLHKGFDN09CC,復興段,421.39,都市：住,,,,11340000
RPQNMLOLLHKGFDN09CC,復興段,448.75,都市：住,,,,11350000
RPQNMLOLLHKGFDN09CC,復興段,449.86,都市：住,,,,11350001
RPQNMLOLLHKGFDN09CC,復興段,171.87,都市：住,,,,11360000
RPRNMLOLLHKGFDN56CC,惠來段,86.00,都市：住,,,,02250010
RPPNMLQLLHKGFHN96CC,鳳山段,16.68,都市：住,,,,09530000
RPQNMLTLLHKGFAN66CC,金馬段,75.78,都市：住,,,,08760000
RPPNMLLMLHKGFEN88CC,中德段,90.00,都市：商,,,,14830000
RPPNMLLMLHKGFEN88CC,中德段,8.00,都市：其他:道路用地,,,,14830001
RPQNMLLMLHKGFAN68DC,新舊社段,600.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,04370000
RPRNMLSJMHKGFBN76DC,新發段,94.50,都市：住,,,,04440001
RPQNMLLKMHKGFAN48CC,溪南段,78.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07610000
RPQNMLPKMHKGFAN88CC,燕霧段,743.00,都市：農,,,,08840000
RPPNMLSKMHKGFHN17CC,中東段,40.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05490000
RPPNMLSKMHKGFCN66CC,鹿工段,4640.01,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00560042
RPPNMLNLMHKGFBN78CC,和中段,80.00,都市：住,,,,01280018
RPPNMLLLMHKGFAN48CC,南郭段南郭小段,18.96,都市：住,,,,00050080
RPPNMLLLMHKGFAN48CC,南郭段南郭小段,19.81,都市：住,,,,00050080
RPQNMLSLMHKGFAN66CC,南郭段南郭小段,73.00,都市：住,,,,01650000
RPPNMLSLMHKGFAN56CC,南郭段南郭小段,73.00,都市：住,,,,01650000
RPPNMLSLMHKGFCN76CC,鹽埔段,540.00,非都市：一般農業區 ; 非都市編定：交通用地,,,,13040000
RPRNMLTLMHKGFAN86CC,新莿桐段,82.80,都市：住,,,,00990000
RPQNMLKMMHKGFDN88CC,惠農段,13.01,都市：住,,,,06720000
RPRNMLKMMHKGFDN98CC,新生段,3.52,都市：住,,,,00430000
RPRNMLKMMHKGFDN98CC,新生段,57.81,都市：住,,,,00440000
RPPNMLPJNHKGFHN86CC,平和段,2267.00,都市：商,,,,02370000
RPPNMLTJNHKGFHN27CC,大溪段,84.00,都市：住,,,,07920000
RPRNMLMKNHKGFAN78CC,西勢子段西勢子小段,43.00,都市：住,,,,00920035
RPRNMLMKNHKGFAN78CC,西勢子段西勢子小段,23.77,都市：住,,,,00920001
RPRNMLMKNHKGFAN78CC,西勢子段西勢子小段,.46,都市：住,,,,00920050
RPPNMLPKNHKGFCN09CC,景福段,79.10,都市：住,,,,04770000
RPRNMLTKNHKGFDN17CC,三條段,161.00,都市：住,,,,04840000
RPRNMLTKNHKGFDN17CC,三條段,169.00,都市：住,,,,04850000
RPSNMLOKNHKGFDN76CC,出水段,61.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,07690000
RPPNMLNLNHKGFDN09CC,益民段,16.00,,,,,03100000
RPPNMLNLNHKGFDN09CC,益民段,52.00,,,,,03110000
RPPNMLLKOHKGFHN66CC,大溪段,144.00,都市：住,,,,07770000
RPPNMLSLNHKGFCN86CC,鹿興段,105.78,都市：住,,,,05330000
RPQNMLOLNHKGFAN98CC,新灣子口段,179.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01110003
RPSNMLSLNHKGFAN96CC,秀中段,62.08,都市：住,,,,08610000
