鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新竹市,房地(土地+建物)+車位,新竹市新竹市北區武陵路218巷,31.57,住,,,1140211,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.85,3,2,2,有,無,27340000,192631,坡道平面,23.38,2400000,,RPPNMLPKKHKGFAO58CB,昌昕/森林首席,A棟10號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區鐵道路二段,32.61,住,,,1140216,土地1建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.16,3,2,2,有,無,36300000,225932,坡道平面,33.0,2600000,,RPPNMLRKKHKGFAO88DB,鴻萃,A棟20號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路六段647巷136弄,150.92,,山坡地保育區,丙種建築用地,1140218,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,130.44,3,2,3,有,無,19900000,152561,一樓平面,13.75,0,,RPPNMLSKKHKGFAO88CB,沐清城L區,LA棟10號,1140721全部解約
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路六段647巷136弄,139.54,,山坡地保育區,丙種建築用地,1140212,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,128.6,3,2,3,有,無,18500000,143857,一樓平面,13.75,0,,RPQNMLSKKHKGFAO98CB,沐清城L區,LA棟11號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段357巷17號旁,30.08,,鄉村區,乙種建築用地,1140217,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.65,3,2,2,有,無,22460000,161671,坡道平面,17.88,2450000,,RPPNMLTKKHKGFAO98CB,昌禾/大道首席,B棟11號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區西門街,28.99,住,,,1140223,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.46,3,2,2,有,無,27900000,200222,坡道平面,33.1,2600000,,RPPNMLNLKHKGFAO58DB,鴻碩,B-8號,
新竹市,房地(土地+建物)+車位,新竹市新竹市光華一街,26.63,住,,,1140217,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.64,4,1,2,有,無,29500000,201746,坡道平面,17.33,2000000,,RPPNMLOLKHKGFAO58CB,光華悅,C棟13F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街,25.97,住,,,1140222,土地3建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.32,3,2,2,有,無,28590000,211498,坡道平面,36.78,2250000,,RPRNMLOLKHKGFAO78CB,昌傑玥玥,A棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街,30.18,住,,,1140222,土地3建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.9,4,2,2,有,無,34100000,218292,坡道平面,39.14,2500000,,RPSNMLOLKHKGFAO88CB,昌傑玥玥,B棟9號,
新竹市,房地(土地+建物)+車位,新竹市新竹市高翠路9巷4弄,41.86,住,,,1140219,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.47,3,1,2,有,無,21600000,218051,一樓平面,8.5,2200000,,RPPNMLOLKHKGFAO68DB,雲端．雲峰,3A棟0號,
新竹市,房地(土地+建物)+車位,新竹市新竹市高翠路9巷4弄,40.22,住,,,1140221,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.15,3,1,2,有,無,20950000,218410,一樓平面,13.76,2300000,,RPQNMLOLKHKGFAO78DB,雲端．雲峰,5C棟0號,
新竹市,房地(土地+建物),新竹市新竹市金山北三街和金山十六街交叉口,19.53,住,,,1140217,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.2,2,2,2,有,無,13600000,211838,,0.0,0,,RPPNMLPLKHKGFAO68CB,金山望月,2F-B號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段,29.25,,鄉村區,乙種建築用地,1140213,土地13建物1車位2,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.24,3,2,2,有,無,23190000,168239,坡道平面,59.12,5000000,,RPRNMLMJLHKGFAO48CB,日光聚,B棟5H號,
新竹市,房地(土地+建物)+車位,新竹市新竹市東區民族路,21.13,住,,,1140228,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.32,4,2,2,有,無,39950000,237654,坡道平面,25.0,2800000,,RPPNMLMJLHKGFAO38DB,鴻上,B棟7號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區西大路,27.83,住,,,1140302,土地19建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.47,3,2,2,有,無,29200000,211820,坡道平面,41.6,2750000,,RPQNMLMJLHKGFAO48DB,鴻藏,D棟4號,
新竹市,房地(土地+建物),新竹市新竹市明湖路1253巷,27.2,,鄉村區,乙種建築用地,1140220,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.46,1,0,2,有,無,12500000,126955,,0.0,0,,RPPNMLNJLHKGFAO38CB,翠湖璟瑟,B棟5號,
新竹市,房地(土地+建物),新竹市新竹市明湖路1253巷,29.71,,鄉村區,乙種建築用地,1140222,土地2建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.57,1,0,2,有,無,13990000,130055,,0.0,0,,RPQNMLNJLHKGFAO48CB,翠湖璟瑟,D棟5號,
新竹市,房地(土地+建物),新竹市新竹市明湖路1253巷,21.68,,鄉村區,乙種建築用地,1140223,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.47,2,1,1,有,無,9970000,127055,,0.0,0,,RPRNMLNJLHKGFAO58CB,翠湖璟瑟,C棟3號,
新竹市,房地(土地+建物),新竹市新竹市明湖路1253巷,20.55,,鄉村區,乙種建築用地,1140224,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.41,2,1,1,有,無,9450000,126999,,0.0,0,,RPSNMLNJLHKGFAO68CB,翠湖璟瑟,A棟2號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段357巷17號旁,30.08,,鄉村區,乙種建築用地,1140303,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.65,3,2,2,有,無,22180000,158601,坡道平面,17.88,2550000,,RPUNMLNJLHKGFAO88CB,昌禾/大道首席,B棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市高峰路110巷旁,49.9,住,,,1140303,土地1建物1車位2,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,199.02,3,2,2,有,無,27700000,163090,坡道平面,55.48,4290000,,RPVNMLNJLHKGFAO98CB,昌禾/學府首席Ⅱ,J棟6號,
新竹市,房地(土地+建物),新竹市新竹市明湖路1253巷,20.54,,鄉村區,乙種建築用地,1140224,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.34,2,1,1,有,無,9450000,127119,,0.0,0,,RPWNMLNJLHKGFAO09CB,翠湖璟瑟,D棟2號,
新竹市,房地(土地+建物),新竹市新竹市明湖路648巷107號旁,74.6,,山坡地保育區,丙種建築用地,1140212,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.17,3,2,2,有,無,18980000,164800,,0.0,0,,RPOOMLNJLHKGFAO38CB,成熟大人,A棟5號,
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街,26.92,住,,,1140224,土地3建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.01,3,2,2,有,無,30540000,216775,坡道平面,37.89,2550000,,RPPOMLNJLHKGFAO48CB,昌傑玥玥,D棟8號,
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街,26.92,住,,,1140301,土地3建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.26,3,2,2,有,無,30600000,217627,坡道平面,39.14,2500000,,RPQOMLNJLHKGFAO58CB,昌傑玥玥,D棟10號,
新竹市,房地(土地+建物),新竹市新竹市中華路四段270巷,85.5,住,,,1140228,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,245.53,3,2,4,有,無,31000000,126257,,0.0,0,,RPROMLNJLHKGFAO68CB,幸福雄郡NO11,F棟0號,
新竹市,房地(土地+建物)+車位,新竹市新竹市嘉濱路,32.74,住,,,1140226,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.09,2,2,2,有,無,11280000,121874,其他,6.92,900000,,RPRNMLOJLHKGFAO68CB,幸福雄郡NO17,4F-A號,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路二段,9.75,商,,,1140225,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,129.88,2,2,1,有,無,21800000,212254,坡道平面,36.36,1950000,,RPPNMLPJLHKGFAO58CB,益展心築湛,A6棟23F號,
新竹市,房地(土地+建物)+車位,新竹市新竹市北區西門街,28.99,住,,,1140306,土地1建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.56,3,2,2,有,無,30800000,202596,坡道平面,66.2,5200000,,RPPNMLQJLHKGFAO78DB,鴻碩,B-13號,
新竹市,房地(土地+建物),新竹市新竹市新竹市中華路二段628號旁,10.64,商,,,1140214,土地4建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,,84.84,2,2,2,有,無,15300000,180339,,0.0,0,,RPPNMLRJLHKGFAO78CB,沅朔曦月,C棟7號,
新竹市,房地(土地+建物),新竹市新竹市高峰路110巷旁,134.79,住,,,1140304,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,206.96,4,2,4,有,無,36500000,176363,,0.0,0,,RPRNMLRJLHKGFAO98CB,昌昕/學府CASAⅢ,透天棟C號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段457巷,36.41,,鄉村區,乙種建築用地,1140219,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.53,2,2,1,有,無,11340000,132196,其他,14.8,800000,,RPPNMLKKLHKGFAO18CB,幸福雄郡NO20,2F-A號,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路二段457巷,36.41,,鄉村區,乙種建築用地,1140219,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.73,2,2,1,有,無,12350000,154898,一樓平面,0.0,1500000,該車位位於一樓法定空地上屬一樓平面式車位,RPQNMLKKLHKGFAO28CB,幸福雄郡NO20,5F-A號,
新竹市,房地(土地+建物)+車位,新竹市新竹市高翠路9巷4弄,40.22,住,,,1140308,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.15,3,1,2,有,無,21100000,220166,一樓平面,13.76,2300000,,RPQNMLKKLHKGFAO38DB,雲端．雲峰,4C棟0號,
新竹市,房地(土地+建物),新竹市新竹市中華路四段270巷,85.5,住,,,1140308,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,238.84,3,2,4,有,無,32800000,137330,,0.0,0,,RPPNMLMKLHKGFAO38CB,幸福雄郡NO11,C棟0號,
新竹市,房地(土地+建物),新竹市新竹市金山北三街和金山十六街交叉口,20.18,住,,,1140302,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.35,2,2,2,有,無,14150000,213263,,0.0,0,,RPRNMLMKLHKGFAO58CB,金山望月,2F-A號,
