編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLSKKHKGFAO98CB,一樓平面,0,13.75,一樓
RPSNMLOLKHKGFAO88CB,坡道平面,2500000,39.14,地下二樓
RPPNMLSKKHKGFAO88CB,一樓平面,0,13.75,一樓
RPRNMLOLKHKGFAO78CB,坡道平面,2250000,36.78,地下三樓
RPPNMLOLKHKGFAO58CB,坡道平面,2000000,17.33,地下一樓
RPRNMLMJLHKGFAO48CB,坡道平面,2500000,29.56,地下二樓
RPRNMLMJLHKGFAO48CB,坡道平面,2500000,29.56,地下二樓
RPPNMLTKKHKGFAO98CB,坡道平面,2450000,17.88,地下二樓
RPUNMLNJLHKGFAO88CB,坡道平面,2550000,17.88,地下一樓
RPPNMLPKKHKGFAO58CB,坡道平面,2400000,23.38,地下一樓
RPPNMLMJLHKGFAO38DB,坡道平面,2800000,25.00,地下一樓
RPPNMLNLKHKGFAO58DB,坡道平面,2600000,33.10,地下一樓
RPQNMLMJLHKGFAO48DB,坡道平面,2750000,41.60,地下三樓
RPQNMLOLKHKGFAO78DB,一樓平面,2300000,13.76,一樓
RPPNMLRKKHKGFAO88DB,坡道平面,2600000,33.00,地下一樓
RPPNMLOLKHKGFAO68DB,一樓平面,2200000,8.50,一樓
RPVNMLNJLHKGFAO98CB,坡道平面,2450000,27.74,地下一樓
RPVNMLNJLHKGFAO98CB,坡道平面,1840000,27.74,地下一樓
RPQOMLNJLHKGFAO58CB,坡道平面,2500000,39.14,地下二樓
RPPOMLNJLHKGFAO48CB,坡道平面,2550000,37.89,地下二樓
RPPNMLPJLHKGFAO58CB,坡道平面,1950000,36.36,地下三樓
RPQNMLKKLHKGFAO28CB,一樓平面,1500000,,一樓
RPQNMLKKLHKGFAO38DB,一樓平面,2300000,13.76,一樓
RPPNMLKKLHKGFAO18CB,其他,800000,14.80,一樓
RPRNMLOJLHKGFAO68CB,其他,900000,6.92,一樓
RPPNMLQJLHKGFAO78DB,坡道平面,2600000,33.10,地下一樓
RPPNMLQJLHKGFAO78DB,坡道平面,2600000,33.10,地下一樓
RPPNMLNKLHKGFAO48CB,坡道平面,1900000,35.92,地下二樓
RPPNMLSKLHKGFAO98CB,坡道平面,1900000,19.88,地下一樓
RPQOMLRKLHKGFAO09CB,坡道平面,2450000,23.83,地下二樓
RPQOMLRKLHKGFAO09CB,坡道平面,2450000,23.83,地下二樓
RPPOMLRKLHKGFAO98CB,坡道平面,2200000,23.83,地下四樓
RPPOMLRKLHKGFAO98CB,坡道平面,2200000,23.83,地下四樓
RPRNMLRKLHKGFAO09CB,坡道平面,2500000,29.56,地下二樓
RPROMLRKLHKGFAO56CB,坡道平面,2100000,29.62,地下三樓
RPROMLRKLHKGFAO56CB,坡道平面,2100000,29.62,地下三樓
RPRNMLSKLHKGFAO56CB,坡道平面,2150000,28.80,地下二樓
RPOOMLRKLHKGFAO88CB,坡道平面,2200000,23.83,地下四樓
RPOOMLRKLHKGFAO88CB,坡道平面,2100000,21.92,地下四樓
RPPNMLRKLHKGFAO88CB,坡道平面,2600000,29.56,地下一樓
RPPNMLRKLHKGFAO88CB,坡道平面,2600000,29.56,地下一樓
RPQNMLRKLHKGFAO98CB,坡道平面,2500000,29.56,地下二樓
RPQNMLRKLHKGFAO98CB,坡道平面,2500000,29.56,地下二樓
RPSOMLRKLHKGFAO66CB,坡道平面,2100000,29.62,地下三樓
RPSNMLSKLHKGFAO66CB,坡道平面,1950000,32.07,地下二樓
RPUNMLSKLHKGFAO86CB,坡道平面,2600000,29.56,地下一樓
RPSNMLOLLHKGFAO98CB,坡道平面,2500000,29.56,地下二樓
RPXNMLSKLHKGFAO17CB,坡道平面,2500000,29.56,地下一樓
RPPNMLKLLHKGFAO28CB,坡道平面,1760000,20.43,地下一樓
RPPNMLKLLHKGFAO28CB,坡道平面,2450000,20.55,地下一樓
RPVNMLSKLHKGFAO96CB,坡道平面,3500000,52.22,地下一樓
RPPOMLSKLHKGFAO09CB,坡道平面,2500000,29.56,地下二樓
RPQOMLSKLHKGFAO56CB,坡道平面,2500000,29.56,地下二樓
RPQOMLSKLHKGFAO56CB,坡道平面,2400000,27.19,地下二樓
RPOOMLSKLHKGFAO98CB,坡道平面,3400000,51.63,地下一樓
RPPNMLTKLHKGFAO09CB,坡道平面,2600000,29.56,地下一樓
RPPNMLNLLHKGFAO58CB,坡道平面,1550000,47.23,地下一樓
RPQNMLLLLHKGFAO48CB,坡道平面,2250000,26.81,地下一樓
RPQNMLLLLHKGFAO48CB,坡道平面,2250000,26.81,地下一樓
RPTNMLLLLHKGFAO78CB,坡道平面,2500000,18.26,地下二樓
RPUNMLLLLHKGFAO88CB,坡道平面,2250000,25.31,地下二樓
RPTNMLLLLHKGFAO78CB,坡道平面,2600000,19.29,地下二樓
RPPNMLLLLHKGFAO38CB,其他,680000,12.74,一樓
RPRNMLLLLHKGFAO58CB,坡道平面,2500000,29.56,地下二樓
RPPNMLOLLHKGFAO68CB,坡道平面,2400000,17.88,地下二樓
RPROMLSKLHKGFAO66CB,坡道平面,2650000,37.89,地下一樓
RPQNMLKLLHKGFAO38CB,坡道平面,2580000,29.37,地下一樓
RPWNMLSKLHKGFAO07CB,坡道平面,3400000,52.22,地下二樓
RPTNMLOLLHKGFAO09CB,坡道平面,2200000,23.83,地下四樓
RPTNMLOLLHKGFAO09CB,坡道平面,2200000,23.83,地下四樓
RPQNMLQLLHKGFAO98CB,一樓平面,2000000,18.82,一樓
RPPNMLPLLHKGFAO78CB,升降平面,2600000,50.78,地下二樓
RPPNMLLMLHKGFAO58DB,一樓平面,1850000,,一樓
RPVNMLRLLHKGFAO96CB,坡道平面,2200000,36.36,地下二樓
RPPNMLRLLHKGFAO98CB,坡道平面,1900000,34.02,地下三樓
RPSNMLRLLHKGFAO66CB,坡道平面,2400000,34.02,地下二樓
RPTNMLRLLHKGFAO76CB,坡道平面,2100000,34.02,地下四樓
RPUNMLRLLHKGFAO86CB,坡道平面,2050000,34.02,地下五樓含以下
RPPNMLQLLHKGFAO88CB,坡道平面,2650000,37.89,地下一樓
