編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPLKHKGFAP98CC,雲林溪段,324.15,都市：住,,,,00420000
RPSNMLRJLHKGFDP96CC,虎新段,73.06,都市：商,,,,07620000
RPSNMLRJLHKGFDP96CC,虎新段,29.04,都市：商,,,,07630000
RPQNMLOLLHKGFDP66CC,新吉段,39.67,都市：住,,,,00330008
RPPNMLTKLHKGFDP96CC,明正段,91.57,都市：商,,,,09500000
RPPNMLRLLHKGFCP76CC,興西段,24.86,都市：住,,,,01200000
RPPNMLLKMHKGFCP78CC,東玄段,93.93,都市：住,,,,04170007
RPPNMLTJMHKGFDP96CC,博愛段,118.00,都市：其他:空白,,,,03520000
RPWNMLQKMHKGFAP17CC,秀才段,49.58,非都市：一般農業區 ; 非都市編定：農牧用地,,,,04480000
RPPNMLOLMHKGFBP09CC,磚仔窯段,89.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00510000
RPPNMLRJNHKGFDP86CC,大學段,106.00,都市：住,,,,03520025
