編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLOKKHKGFAP66DC,坡道平面,1800,26.46,地下一樓
RPPNMLPJLHKGFAP78CC,塔式車位,0,3.01,
RPSNMLLKLHKGFAP78CC,一樓平面,0,19.15,一樓
RPUNMLSKLHKGFAP07CC,一樓平面,0,,一樓
RPRNMLOLLHKGFAP09CC,坡道平面,0,,地下一樓
RPQNMLOLLHKGFDP66CC,坡道平面,2000,39.67,一樓
RPPNMLRLLHKGFCP76CC,坡道機械,0,,地下一樓
RPSOMLMJMHKGFAP98CC,坡道平面,2000,13.75,地下一樓
RPPNMLQJMHKGFAP98CC,一樓平面,0,,一樓
RPPNMLPKMHKGFBP09CC,坡道平面,0,19.61,地下一樓
RPPNMLRJNHKGFEP96CC,坡道平面,0,13.68,一樓
