編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKNHKGFCQ86EA,28,49.93,集合住宅,鋼筋混凝土造,85年12月20日,十一層,八層 陽台,全筆移轉
RPPNMLQKNHKGFCQ86EA,28,4.81,共有部分,鋼筋混凝土造,85年12月20日,十一層,,持分移轉
RPPNMLQKNHKGFCQ86EA,28,.36,共有部分,鋼筋混凝土造,85年12月20日,十一層,,持分移轉
RPPNMLQKNHKGFCQ86EA,28,4.25,共有部分,鋼筋混凝土造,85年12月20日,十一層,,持分移轉
RPPNMLQKNHKGFCQ86EA,28,4.43,共有部分,鋼筋混凝土造,85年12月20日,十一層,,持分移轉
RPWOMLTKNHKGFCQ87DA,43,93.30,住家用,鋼筋混凝土加強磚造,71年2月11日,二層,一層 二層,全筆移轉
RPSNMLNKNHKGFCQ76DA,45,111.60,住家用,鋼筋混凝土加強磚造,69年10月30日,二層,一層 二層 騎樓,全筆移轉
RPRNMLSLNHKGFBQ17DA,41,131.95,住家用,鋼筋混凝土加強磚造,73年7月16日,二層,一層 二層 陽台 騎樓,全筆移轉
RPQNMLQLNHKGFDQ07DA,31,24.00,共有部份,鋼筋混凝土造,83年6月20日,,,持分移轉
RPQNMLQLNHKGFDQ07DA,31,175.20,住家用,鋼筋混凝土造,83年6月20日,四層,一層 二層 三層 四層 地下層 見其他登記事項,全筆移轉
RPVNMLQLNHKGFDQ57DA,2,177.33,住家用,鋼筋混凝土造,112年6月12日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSNMLSLNHKGFDQ47DA,1,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,六層 陽台,全筆移轉
RPSNMLSLNHKGFDQ47DA,1,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPTNMLTLNHKGFBQ47DA,32,154.25,住商用,鋼筋混凝土加強磚造,82年6月15日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPPNMLTLNHKGFEQ37DA,40,140.69,住家用,鋼筋混凝土加強磚造,73年12月28日,一層,一層 騎樓,全筆移轉
RPRNMLRLNHKGFEQ37DA,52,61.64,住家用,磚造,62年5月1日,一層,一層,全筆移轉
RPRNMLMJOHKGFEQ76DA,32,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,十層 陽台,全筆移轉
RPRNMLMJOHKGFEQ76DA,32,7.31,梯間,鋼筋混凝土造,82年4月1日,十八層,,持分移轉
