編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLMKKHKGFDQ66CB,坡道平面,1700000,27.75,地下二樓
RPQNMLOJLHKGFDQ09CB,升降機械,900000,16.44,一樓
RPPNMLOLKHKGFCQ98CB,坡道平面,1450000,29.58,地下一樓
RPPNMLQJLHKGFCQ09CB,坡道平面,1500000,29.58,地下一樓
RPPNMLRJLHKGFCQ56CB,坡道平面,1170000,29.27,一樓
RPPNMLPJLHKGFBQ88CB,其他,450000,9.10,一樓
RPRNMLRJLHKGFCQ76CB,坡道平面,1200000,29.27,二樓含以上
RPQNMLRJLHKGFCQ66CB,坡道平面,1100000,29.27,一樓
RPSNMLRJLHKGFCQ86CB,坡道平面,1190000,29.27,一樓
RPRNMLNKLHKGFDQ56CB,坡道平面,1700000,27.75,地下二樓
RPPNMLOJLHKGFDQ98CB,升降機械,900000,16.44,一樓
RPPNMLNKLHKGFDQ98CB,一樓平面,1200000,16.93,一樓
RPQNMLNKLHKGFDQ09CB,一樓平面,1200000,16.93,一樓
RPSNMLNKLHKGFDQ66CB,坡道平面,1700000,26.65,地下一樓
RPUNMLNKLHKGFDQ86CB,坡道平面,1850000,27.75,地下一樓
RPTNMLNKLHKGFDQ76CB,坡道平面,1800000,27.75,地下一樓
RPQNMLRKLHKGFCQ76CB,一樓平面,0,,一樓
RPPNMLRKLHKGFBQ56CB,一樓平面,1200000,27.30,一樓
RPPNMLTKLHKGFDQ96CB,一樓平面,1400000,31.63,一樓
RPPNMLOLLHKGFEQ66CB,其他,1200000,33.35,地下一樓
RPPNMLOLLHKGFBQ98CB,一樓平面,1000000,22.65,一樓
RPPNMLRLLHKGFDQ86CB,一樓平面,0,,一樓
RPPNMLLLLHKGFCQ78CB,坡道平面,1200000,33.30,地下一樓
RPRNMLLLLHKGFCQ98CB,坡道平面,1300000,33.30,地下一樓
RPRNMLSKLHKGFCQ96CB,坡道平面,1300000,29.58,地下二樓
RPUNMLRKLHKGFCQ17CB,一樓平面,0,,一樓
RPPNMLSLLHKGFCQ86CB,坡道平面,1400000,33.06,地下一樓
RPSNMLRKLHKGFCQ96CB,一樓平面,0,,一樓
RPPNMLSKLHKGFCQ76CB,坡道平面,1450000,26.00,地下一樓
RPQNMLLLLHKGFCQ88CB,一樓平面,1150000,33.30,一樓
RPRNMLSLLHKGFCQ07CB,一樓平面,0,,一樓
RPPNMLLJMHKGFDQ78CB,其他,0,,一樓
RPSNMLSLLHKGFCQ17CB,一樓平面,1200000,15.12,一樓
RPUNMLSLLHKGFCQ37CB,一樓平面,0,,一樓
RPPNMLOJMHKGFCQ98CB,坡道平面,0,29.27,一樓
RPPNMLOJMHKGFCQ98CB,坡道平面,0,29.27,一樓
RPQNMLRJMHKGFCQ76CB,一樓平面,1200000,15.12,一樓
