編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKKHKGFBQ76CC,新寮段,165.28,都市：農,,,,02960000
RPPNMLOLKHKGFCQ56DC,建國段,84.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08700002
RPPNMLPJLHKGFDQ56CC,柳新段,70.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,11610000
RPRNMLQJLHKGFBQ66CC,文明段,355.99,都市：住,,,,06850001
RPPNMLTJLHKGFCQ86CC,興南段,82.44,都市：住,,,,03760031
RPPNMLPKLHKGFCQ56CC,秀林段,396.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,16880000
RPRNMLOLLHKGFDQ86CC,嘉新段,233.24,都市：其他:空白,,,,11230000
RPRNMLQJLHKGFDQ86CC,水東段,108.94,都市：其他:(空白),,,,03410013
RPRNMLQJLHKGFDQ86CC,水東段,109.04,都市：其他:(空白),,,,03410016
RPSNMLOLLHKGFDQ96CC,東新段,91.93,都市：住,,,,08350011
RPSNMLOLLHKGFDQ96CC,東新段,16.10,都市：住,,,,08350000
RPQNMLSKLHKGFDQ07CC,麻寮段,133.26,都市：其他:空白,,,,00170000
RPRNMLQLLHKGFCQ96CC,秀林段,390.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,16890000
RPRNMLQLLHKGFCQ96CC,秀林段,312.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,16900000
RPRNMLQLLHKGFCQ96CC,秀林段,78.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,16910000
RPRNMLQLLHKGFCQ96CC,秀林段,780.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,11910000
RPPNMLLKMHKGFBQ78CC,新庄新段,636.04,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03700000
RPPNMLLKMHKGFDQ98CC,後庄段,70.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01510006
RPPNMLOKMHKGFCQ56CC,頂寮段中廣小段,165.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05970000
RPPNMLTLMHKGFCQ17CC,東林段,59.11,都市：住,,,,11830000
RPQNMLPJNHKGFDQ86CC,南新段,49.58,都市：其他:空白,,,,05960000
RPQNMLTKNHKGFDQ37CC,南新段,1925.46,都市：工,,,,06040000
