編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLOJLHKGFDQ56CC,坡道平面,0,14.26,地下二樓
RPUNMLKKLHKGFDQ66CC,其他,0,,地下一樓
RPPNMLSKLHKGFDQ96CC,坡道平面,0,16.82,地下二樓
RPSNMLOLLHKGFDQ96CC,一樓平面,0,,一樓
RPPNMLTJMHKGFDQ07CC,坡道平面,0,29.87,地下二樓
RPPNMLKKMHKGFCQ78CC,一樓平面,0,,一樓
RPQNMLMLMHKGFCQ56CC,一樓平面,0,,一樓
RPRNMLLKMHKGFDQ56CC,坡道平面,0,16.82,地下二樓
RPPNMLLLMHKGFDQ09CC,坡道平面,0,29.86,地下二樓
RPPNMLLJNHKGFDQ98CC,坡道平面,0,16.81,地下一樓
RPQNMLLJNHKGFDQ09CC,坡道平面,0,16.82,地下一樓
RPRNMLQJNHKGFDQ07CC,坡道平面,0,16.82,地下一樓
RPQNMLTJNHKGFDQ27CC,坡道平面,0,16.82,地下二樓
RPPNMLQKNHKGFDQ96CC,坡道平面,0,,一樓
RPQNMLTLNHKGFDQ47CC,坡道平面,0,16.82,地下二樓
