鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
里港鄉,土地,里平段101地號,153.0,住,,,1140602,土地1建物0車位0,,,其他,,,,0.0,2,1,2,有,無,13138955,85876,,0.0,0,本案含未保存登記建物:屏東縣里港鄉中山路93號,RPPNMLQJOHKGFBT96DA,0.0,0.0,0.0,無,0001
里港鄉,土地,永春段716地號,152.33,商,,,1140602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,6565,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJOHKGFBT07DA,0.0,0.0,0.0,無,
枋寮鄉,土地,隆安段647地號,4311.89,,一般農業區,農牧用地,1140603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3870000,898,,0.0,0,農作物；農業設施；,RPPNMLQJOHKGFFT47EA,0.0,0.0,0.0,無,
高樹鄉,土地,新日段1464地號,3213.91,,一般農業區,農牧用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,1089,,0.0,0,,RPPNMLTJNHKGFBT27EA,0.0,0.0,0.0,無,0002
內埔鄉,土地,新展段1397-4地號,224.62,,一般農業區,農牧用地,1140506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,224620,1000,,0.0,0,,RPPNMLQJNHKGFCT96DA,0.0,0.0,0.0,無,
牡丹鄉,土地,牡丹段377-18地號,10962.0,,山坡地保育區,林業用地,1140506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580000,53,,0.0,0,,RPQNMLMKNHKGFET96DA,0.0,0.0,0.0,無,
泰武鄉,土地,比悠瑪段32-144地號,6924.46,,森林區,國土保安用地,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380000,55,,0.0,0,,RPPNMLNJNHKGFCT66DA,0.0,0.0,0.0,無,
來義鄉,土地,丹林段1758地號,565.0,,山坡地保育區,農牧用地,1140506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,297000,526,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJNHKGFCT37DA,0.0,0.0,0.0,無,
萬巒鄉,土地,佳佐段908-24地號,145.6,,鄉村區,乙種建築用地,1140505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,3777,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKNHKGFCT17DA,0.0,0.0,0.0,無,
東港鎮,房地(土地+建物),屏東縣東港鎮船頭路２５之２４０號二樓,43.65,住,,,1140507,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830625,119.92,3,1,2,有,有,3100000,25851,,0.0,0,,RPVNMLMKNHKGFDT37DA,87.72,0.0,11.72,無,
高樹鄉,土地,幸福段84地號,74.09,,一般農業區,農牧用地,1140506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,4049,,0.0,0,,RPVNMLNKNHKGFBT27DA,0.0,0.0,0.0,無,
內埔鄉,土地,美和段1269-1地號,221.0,,特定農業區,農牧用地,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,2262,,0.0,0,無私契親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKNHKGFCT47DA,0.0,0.0,0.0,無,
內埔鄉,土地,豐田段610-4地號,37.75,都市：其他:道路用地,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,376200,9966,,0.0,0,,RPUNMLOKNHKGFCT37DA,0.0,0.0,0.0,無,
獅子鄉,土地,凱地段351地號,560.08,,山坡地保育區,農牧用地,1140509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,1071,,0.0,0,,RPQNMLMKNHKGFFT07DA,0.0,0.0,0.0,無,
春日鄉,土地,歸崇段847地號,9580.0,,山坡地保育區,林業用地,1140503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,570000,59,,0.0,0,,RPUNMLMKNHKGFFT47DA,0.0,0.0,0.0,無,
萬丹鄉,土地,崙頂段2174地號,115.0,,鄉村區,乙種建築用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4174800,36303,,0.0,0,,RPQNMLNKNHKGFAT76EA,0.0,0.0,0.0,無,
高樹鄉,土地,新日段1396地號,2431.06,,一般農業區,農牧用地,1140508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2917200,1200,,0.0,0,,RPRNMLPKNHKGFBT07DA,0.0,0.0,0.0,無,0003
高樹鄉,土地,南興段719地號,39.5,農,,,1140512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,360000,9114,,0.0,0,,RPQNMLQKNHKGFBT07DA,0.0,0.0,0.0,無,
潮州鎮,土地,林後段84地號,697.36,,鄉村區,乙種建築用地,1140507,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18000000,25812,,0.0,0,,RPUNMLPKNHKGFCT47DA,0.0,0.0,0.0,無,0004
滿州鄉,土地,花海段965地號,4.88,都市：其他:道路用地,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,35000,7172,,0.0,0,,RPPNMLOKNHKGFET07DA,0.0,0.0,0.0,無,0005
春日鄉,土地,久雅住段11-77地號,5000.0,,森林區,林業用地,1140503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,270000,54,,0.0,0,,RPSNMLMKNHKGFFT27DA,0.0,0.0,0.0,無,
長治鄉,土地,進興段72-1地號,10167.04,住,,,1140503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,84000000,8262,,0.0,0,,RPWNMLPKNHKGFAT47DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿機場北路７６８號,7.91,住,,,1140504,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881204,62.849999999999994,4,2,2,有,有,660000,10503,,0.0,0,,RPPOMLPKNHKGFAT86DA,37.0,0.0,5.04,有,0006
屏東市,土地,正安段238地號,71.54,,一般農業區,農牧用地,1140502,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,34945,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQKNHKGFAT07DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮太平路２３２號六樓之十,26.12,住,,,1140507,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830812,152.82,3,3,3,有,有,3600000,23557,坡道平面,0.0,0,,RPTNMLQKNHKGFCT47DA,87.0,0.0,8.3,有,
竹田鄉,土地,新田段1928-6地號,357.5,,鄉村區,乙種建築用地,1140508,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1497600,4189,,0.0,0,1.竹田鄉新田段1928-5、1928-6地號總價格新台幣84萬7600元整2.竹田鄉新田段1928-1、1928-4地號總價格新台幣65萬元整,RPVNMLQKNHKGFCT67DA,0.0,0.0,0.0,無,
新園鄉,土地,興厝段1076地號,1526.35,農,,,1140501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2250000,1474,,0.0,0,,RPRNMLNKNHKGFDT07DA,0.0,0.0,0.0,無,
林邊鄉,土地,鎮安段281-1地號,304.98,,鄉村區,乙種建築用地,1140512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2970000,9738,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOKNHKGFDT07DA,0.0,0.0,0.0,無,0007
獅子鄉,土地,南世段73-1地號,29355.0,,山坡地保育區,林業用地,1140512,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,31,,0.0,0,共有土地買賣,RPQNMLQKNHKGFFT47DA,0.0,0.0,0.0,無,0008
新埤鄉,土地,糞箕湖段224-82地號,355.0,,一般農業區,農牧用地,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,563,,0.0,0,,RPSNMLTKNHKGFCT77EA,0.0,0.0,0.0,無,
高樹鄉,土地,源興段1309-16地號,1435.44,,一般農業區,農牧用地,1140503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3250000,2264,,0.0,0,,RPPOMLTJNHKGFBT27DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉興南路６２之４號,97.06,,鄉村區,乙種建築用地,1140505,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0830926,109.2,2,2,2,有,無,2200000,20147,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOQMLKLNHKGFCT76DA,109.2,0.0,0.0,無,
新園鄉,土地,新吉段1459-6地號,94.11,,一般農業區,農牧用地,1140502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,341619,3630,,0.0,0,,RPSNMLSJNHKGFDT57DA,0.0,0.0,0.0,無,
琉球鄉,土地,天台段503地號,6.29,住,,,1140512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,57000,9062,,0.0,0,,RPPNMLTKNHKGFDT47DA,0.0,0.0,0.0,無,0009
琉球鄉,土地,天台段504地號,1.67,都市：其他:保護區,,,1140512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000,2994,,0.0,0,,RPQNMLTKNHKGFDT57DA,0.0,0.0,0.0,無,0010
九如鄉,土地,九明段413地號,475.06,,一般農業區,農牧用地,1140509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,902614,1900,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTKNHKGFAT47EA,0.0,0.0,0.0,無,
萬丹鄉,土地,萬生段32地號,152.0,住,,,1140501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5800000,38158,,0.0,0,本件買賣印花稅.登記費.代辦費全部由買方負擔未登記建物；,RPQNMLPKNHKGFAT86DA,0.0,0.0,0.0,無,
潮州鎮,土地,八爺段930-3地號,385.52,,一般農業區,農牧用地,1140507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,771040,2000,,0.0,0,,RPSNMLLLNHKGFCT96DA,0.0,0.0,0.0,無,
恆春鎮,土地,萬里桐段99地號,8.29,,國家公園區,,1140512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,125000,15078,,0.0,0,,RPPNMLKKNHKGFET66DA,0.0,0.0,0.0,無,0011
牡丹鄉,土地,東源段537地號,223.0,,鄉村區,乙種建築用地,1140507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,3587,,0.0,0,賣清件親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKNHKGFET57DA,0.0,0.0,0.0,無,
