編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLMKNHKGFDT37DA,31,20.48,公共設施,鋼筋混凝土造,83年6月25日,五層,,持分移轉
RPVNMLMKNHKGFDT37DA,31,99.44,住家用,鋼筋混凝土造,83年6月25日,五層,二層 陽台,全筆移轉
RPPNMLLLNHKGFCT76EA,43,74.66,住商用,加強磚造,71年1月19日,三層,一層 二層 三層 騎樓,持分移轉
RPOQMLKLNHKGFCT76DA,31,109.20,住家用,加強磚造,83年9月26日,二層,一層 二層,全筆移轉
RPTNMLQKNHKGFCT47DA,31,57.52,防空避難室、停車空間、水箱、樓梯間、機械室、圖書室,鋼筋混凝土造,83年8月12日,七層,,持分移轉
RPTNMLQKNHKGFCT47DA,31,95.30,住家用,鋼筋混凝土造,83年8月12日,七層,六層 陽台,全筆移轉
RPPNMLTKNHKGFFT77EA,40,86.58,國民住宅,加強磚造,74年9月27日,二層,一層 二層 屋頂突出物,全筆移轉
RPPOMLLLNHKGFAT56DA,30,27.10,商業用,鋼筋混凝土造,84年2月24日,七層,六層 陽台,全筆移轉
RPPOMLLLNHKGFAT56DA,30,14.20,受電室，避難室，水箱，停車空間,鋼筋混凝土造,84年2月24日,七層,,持分移轉
RPPNMLQLNHKGFAT07EA,45,105.32,住商用,加強磚造,68年12月21日,二層,一層 二層 騎樓,全筆移轉
RPQOMLTKNHKGFAT37DA,7,91.97,住家用,鋼筋混凝土造,107年9月17日,三層,一層 二層 三層 陽台,持分移轉
RPPOMLPKNHKGFAT86DA,25,42.04,集合住宅,鋼筋混凝土造,88年12月4日,十四層,一層 陽台,持分移轉
RPPOMLPKNHKGFAT86DA,25,20.81,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,持分移轉
RPVNMLQKNHKGFAT47DA,28,190.22,住商用,鋼筋混凝土造,86年1月4日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPVOMLQKNHKGFDT87DA,31,19.59,梯間，頂蓋型開放空間，停車空間，防空避難室，變電室，水箱,鋼筋混凝土造,83年6月27日,,,持分移轉
RPVOMLQKNHKGFDT87DA,31,81.48,住家用,鋼筋混凝土造,83年6月27日,十二層,六層 陽台,全筆移轉
RPQNMLMLNHKGFCT86DA,1,34.83,本共有部分之項目有公共梯間、停車空間、電信室、樓梯間、走廊及機械室等六項。,鋼筋混凝土造,113年5月31日,五層,,持分移轉
RPQNMLMLNHKGFCT86DA,1,90.05,集合住宅,鋼筋混凝土造,113年5月31日,五層,四層 陽台,全筆移轉
RPWNMLMLNHKGFET67DA,30,15.97,共有部份,鋼筋混凝土造,84年7月10日,四層,,持分移轉
RPWNMLMLNHKGFET67DA,30,23.22,住家用,鋼筋混凝土造,84年7月10日,四層,二層 陽台,全筆移轉
RPPNMLSLNHKGFET57DA,30,25.37,住家用,鋼筋混凝土造,84年11月16日,十二層,九層 陽台,全筆移轉
RPPNMLSLNHKGFET57DA,30,11.87,共有部份,鋼筋混凝土造,84年11月16日,十二層,,持分移轉
RPQNMLQLNHKGFDT37DA,2,96.22,集合住宅,鋼筋混凝土造,112年5月19日,五層,二層 陽台,全筆移轉
RPQNMLQLNHKGFDT37DA,2,41.77,本共有部分之項目有停車空間、公共梯間、電信室、樓梯間、機械室等５項,鋼筋混凝土造,112年5月19日,五層,,持分移轉
RPRQMLKLNHKGFCT07DA,25,16.11,住家用,鋼筋混凝土造,88年11月30日,五層,三層 陽台,全筆移轉
RPRQMLKLNHKGFCT07DA,25,6.56,梯間、機械室、電信室、台電配電室、水塔、停車空間,鋼筋混凝土造,88年11月30日,五層,,持分移轉
RPOOMLPKNHKGFAT76DA,1,94.95,集合住宅,鋼筋混凝土造,113年8月8日,五層,二層 陽台,全筆移轉
