鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
內埔鄉,租賃房屋,屏東縣內埔鄉學人路５４９號２樓之３,0.0,,,,1140212,土地0建物1車位0,全,5,透天厝,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,0840119,34.0,1,1,1,有,無,有,6800,200,,0.0,0,,RPPNMLMKKHKGFCT09CC,獨立套房,無,1140215~1150214,無,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
內埔鄉,租賃房屋,屏東縣內埔鄉學人路５４９號５樓之３,0.0,,,,1140212,土地0建物1車位0,全,5,透天厝,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,0840119,34.0,1,1,1,有,無,有,7500,221,,0.0,0,,RPRNMLMKKHKGFCT66CC,獨立套房,無,1140215~1150214,無,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
屏東市,土地,信興段246地號,1297.16,,一般農業區,農牧用地,1140213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,12000,9,,0.0,0,含有多個門牌且未個別計算租金屏東市信興段246地號 租金10000元/月屏東市信興段247地號 租金2000元/月；租賃期間有約定不同租金屏東市信興段246地號租金每五年漲幅5%，初始租金為10000元/月，第五年調漲10500元/月，第十年調漲為11025元/月，第十五年調漲11576元/月，第二十年調漲12155元/月。屏東市信興段247地號租金每五年漲幅5%，初始租金為2000元/月，第五年調漲2100元/月，第十年調漲2205元/月，第十五年調漲2315元/月，第二十年調漲2431元/月。；,RPPNMLNKKHKGFAT98CC,,,1140205~1360204,,,
潮州鎮,租賃房屋,屏東縣潮州鎮愛國路１１７號３樓之２,35.02,住,,,1140212,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821228,82.7,3,2,2,有,無,無,15000,181,,0.0,0,,RPSNMLNKKHKGFCT86CC,整棟(戶)出租,無,1140212~1150212,無,冷氣、熱水器、洗衣機、冰箱,
內埔鄉,租賃房屋,屏東縣內埔鄉學人路５４９號４樓之１,0.0,,,,1140214,土地0建物1車位0,全,5,透天厝,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,0840119,31.7,1,1,1,有,無,有,7000,221,,0.0,0,,RPPNMLOKKHKGFCT66CC,獨立套房,無,1140215~1150214,無,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市民和二路４８-１１號６樓,0.0,,,,1140215,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0960530,16.2,1,0,1,有,有,有,3800,235,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLRKKHKGFAT86CC,獨立套房,有,1140215~1140814,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉新豐路１７３號３樓之２,0.0,,,,1140217,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1121101,90.16999999999999,3,2,2,有,無,有,17500,194,,0.0,0,屏東縣政府包租代管計畫。,RPRNMLSKKHKGFCT27CC,整棟(戶)出租,無,1140220~1150219,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅包租轉租
內埔鄉,租賃房屋,屏東縣內埔鄉永興二巷２３號,0.0,,,,1140213,土地0建物1車位0,全,4,透天厝,住宅,鋼筋混凝土構造,0820807,169.38,4,2,3,有,有,有,9000,53,,0.0,0,此為屏東縣政府包租代管計畫。,RPUNMLSKKHKGFCT57CC,整棟(戶)出租,有,1140305~1150304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新埤鄉,租賃房屋,屏東縣新埤鄉龍潭路１４０之１０號,0.0,,,,1140213,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0770109,122.6,3,1,1,有,無,有,13500,110,,0.0,0,此為屏東縣政府包租代管計畫。,RPVNMLSKKHKGFCT67CC,整棟(戶)出租,無,1140220~1150219,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
