鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,29.56,住,,,1140212,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.81,2,2,1,有,無,7850000,97141,,0.0,0,,RPPNMLNKKHKGFAU98CB,沐谷上流,1棟5FA號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,11.29,商,,,1140211,土地2建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.11,2,2,2,有,無,9436000,98658,坡道平面,2.0,250000,,RPPNMLOLKHKGFAU56CB,鑫晶鑽,1A棟4FA8號,
玉里鎮,房地(土地+建物)+車位,花蓮縣玉里鎮大同路,30.9,住,,,1140222,土地2建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.51,3,2,2,有,無,8250000,69598,一樓平面,11.03,700000,,RPPNMLRLKHKGFCU07CB,大同之星二期華廈,1A棟3FD號,
玉里鎮,房地(土地+建物)+車位,花蓮縣玉里鎮大同路,30.9,住,,,1140215,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.51,3,2,2,有,無,8570000,72548,一樓平面,11.03,700000,,RPQNMLRLKHKGFCU17CB,大同之星二期華廈,1A棟5FC號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,9.12,商,,,1140226,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,105.74,2,2,1,有,無,9500000,118922,升降平面,39.31,1600000,,RPPNMLSLKHKGFAU96CB,?富,1棟10B號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街及吉祥六街,41.4,住,,,1140216,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,165.68,3,2,2,有,無,12000000,75908,坡道平面,24.72,1300000,,RPPNMLNJLHKGFAU98CB,天悅,B棟B1號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,10.23,商,,,1140212,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,113.88,2,2,1,有,無,10280000,116401,升降平面,39.31,1600000,,RPPNMLQJLHKGFAU66CB,?富,1棟10D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市化道路與中美十一街口,40.16,住,,,1140306,土地4建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,201.67,3,2,2,有,無,20670000,107377,坡道平面,23.14,1500000,,RPPNMLRJLHKGFAU76CB,藏峰,1棟6B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市化道路與中美11街口,25.82,住,,,1140306,土地4建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.92,2,2,2,有,無,13478400,104360,坡道平面,23.14,1500000,,RPRNMLLKLHKGFAU09CB,藏峰,1棟5D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市化道路與中美11街口,16.16,住,,,1140305,土地4建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.97,1,1,1,有,無,10730000,128498,坡道平面,23.14,1500000,,RPSNMLLKLHKGFAU56CB,藏峰,1棟9C號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國盛二街201號,13.59,商,,,1140228,土地2建物1車位1,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,130.49,3,2,2,有,無,10780000,91671,坡道平面,31.44,1700000,,RPQNMLLKLHKGFAU09DB,晁邦灃禾,B棟3B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,9.81,商,,,1140310,土地2建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.88,2,2,1,有,無,10610000,102800,坡道平面,18.53,2350000,,RPPNMLMKLHKGFAU98CB,鑫晶鑽,1A棟5FA2號,
玉里鎮,房地(土地+建物)+車位,花蓮縣玉里鎮大同路,19.18,住,,,1140221,土地2建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.75,2,2,1,有,無,5600000,72357,一樓平面,11.03,700000,,RPPNMLMKLHKGFCU56CB,大同之 星二期華廈,1A棟4FC號,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮大同路,86.13,住,,,1140303,土地1建物1車位0,全,4,店面(店鋪),商業用,鋼筋混凝土造,,210.81,4,2,4,有,無,13100000,62141,,0.0,0,,RPQNMLMKLHKGFCU66CB,大同之星二期,1A棟C號,
