編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRLKHKGFCU17CB,玉城段,29.42,都市：住,100000,4485,持分移轉,11950000
RPQNMLRLKHKGFCU17CB,玉城段,1.48,都市：住,100000,4485,持分移轉,11950005
RPPNMLRLKHKGFCU07CB,玉城段,29.42,都市：住,100000,4485,持分移轉,11950000
RPPNMLRLKHKGFCU07CB,玉城段,1.48,都市：住,100000,4485,持分移轉,11950005
RPQNMLMKLHKGFCU66CB,玉城段,86.13,都市：住,1,1,全筆移轉,11950004
RPQNMLLKLHKGFAU09DB,富國段,4.17,都市：商,100000,1420,持分移轉,02140000
RPQNMLLKLHKGFAU09DB,富國段,9.41,都市：商,100000,1420,持分移轉,02150000
RPPNMLTKLHKGFAU17DB,宜寧段,28.74,都市：商,10000,258,持分移轉,04440000
RPPNMLTKLHKGFAU17DB,宜寧段,1.83,都市：商,10000,258,持分移轉,04450000
RPPNMLMKLHKGFCU56CB,玉城段,18.26,都市：住,100000,2784,持分移轉,11950000
RPPNMLMKLHKGFCU56CB,玉城段,.92,都市：住,100000,2784,持分移轉,11950005
RPPNMLPLLHKGFCU96CB,玉城段,20.85,都市：住,100000,3179,持分移轉,11950000
RPPNMLPLLHKGFCU96CB,玉城段,1.05,都市：住,100000,3179,持分移轉,11950005
RPPNMLRKLHKGFAU86CB,仁恥段,3.04,都市：住,10000,181,持分移轉,06000000
RPPNMLMKLHKGFAU09DB,福興段,27.06,都市：住,10000,281,持分移轉,06880000
RPPNMLRKLHKGFAU86CB,仁恥段,24.53,都市：住,10000,181,持分移轉,06010000
RPPNMLSKLHKGFAU96CB,裕民段,29.60,都市：住,100000,3262,持分移轉,02490002
RPQNMLKLLHKGFAU98CB,北濱段,13.85,都市：商,100000,1455,持分移轉,10420000
RPPNMLNKLHKGFAU56DB,稻香段,79.52,都市：住,100000,7610,持分移轉,01280000
RPPNMLMKLHKGFAU98CB,明義段,9.16,都市：商,100000,882,持分移轉,10950000
RPPNMLMKLHKGFAU98CB,明義段,.65,都市：商,100000,882,持分移轉,10950002
RPSNMLLKLHKGFAU56CB,樹人段,8.35,都市：住,100000,1606,持分移轉,00030000
RPSNMLLKLHKGFAU56CB,樹人段,.53,都市：住,100000,1606,持分移轉,00040015
RPSNMLLKLHKGFAU56CB,樹人段,4.38,都市：住,100000,1606,持分移轉,00050000
RPSNMLLKLHKGFAU56CB,樹人段,2.89,都市：住,100000,1606,持分移轉,00060000
RPPNMLKLLHKGFAU88CB,北濱段,11.46,都市：商,100000,1204,持分移轉,10420000
RPPNMLRLLHKGFAU96CB,北濱段,14.20,都市：商,100000,1492,持分移轉,10420000
RPPNMLSLKHKGFAU96CB,莊敬段,9.12,都市：商,100000,2597,持分移轉,03230000
RPPNMLQJLHKGFAU66CB,莊敬段,10.23,都市：商,100000,2915,持分移轉,03230000
RPQNMLQLLHKGFAU96CB,富國段,10.97,都市：商,10000,37,持分移轉,01220000
RPRNMLLKLHKGFAU09CB,樹人段,13.35,都市：住,100000,2567,持分移轉,00030000
RPRNMLLKLHKGFAU09CB,樹人段,.85,都市：住,100000,2567,持分移轉,00040015
RPRNMLLKLHKGFAU09CB,樹人段,7.01,都市：住,100000,2567,持分移轉,00050000
RPRNMLLKLHKGFAU09CB,樹人段,4.62,都市：住,100000,2567,持分移轉,00060000
RPPNMLNKKHKGFAU98CB,國股段,29.56,都市：住,510,19,持分移轉,04310000
RPPNMLQLLHKGFAU86CB,富國段,16.02,都市：商,10000,54,持分移轉,01220000
RPPNMLNJLHKGFAU98CB,宜昌段,41.40,都市：住,1000000,14787,持分移轉,05900000
RPPNMLTJMHKGFAU07CB,北濱段,11.19,都市：商,100000,1175,持分移轉,10420000
RPPNMLOLKHKGFAU56CB,明義段,10.54,都市：商,100000,1015,持分移轉,10950000
RPPNMLOLKHKGFAU56CB,明義段,.75,都市：商,100000,1015,持分移轉,10950002
RPQNMLRJMHKGFAU96CB,仁廉段,26.56,都市：住,100000,1682,持分移轉,09710000
RPPNMLLJMHKGFAU98DB,新興段,8.52,都市：住,568,7,持分移轉,00300000
RPPNMLRJMHKGFAU86CB,仁廉段,20.76,都市：住,100000,1315,持分移轉,09710000
RPPNMLRJLHKGFAU76CB,樹人段,20.76,都市：住,100000,3992,持分移轉,00030000
