編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLMKKHKGFAU76CC,32,32.38,住家用,鋼筋混凝土造,82年8月2日,七層,,
RPTNMLMKKHKGFAU76CC,32,8.12,共有部份,鋼筋混凝土造,82年8月2日,七層,,
RPSNMLRKKHKGFAU17CC,31,106.58,人行道、住宅,鋼筋混凝土造,83年8月11日,八層,,
RPSNMLRKKHKGFAU17CC,31,29.57,共有部份,鋼筋混凝土造,83年8月11日,八層,,
RPVNMLSKKHKGFAU57CC,34,269.04,住家用,鋼筋混凝土造,80年4月23日,二層,,
RPUNMLMKKHKGFAU86CC,9,63.85,住家用,鋼筋混凝土造,104年11月5日,四層,,
RPTNMLSKKHKGFAU37CC,38,4.06,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPQNMLRKKHKGFAU96CC,26,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,,
RPRNMLTKKHKGFAU27CC,19,19.84,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPQNMLRKKHKGFAU96CC,26,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,
RPQNMLRKKHKGFAU96CC,26,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,,
RPRNMLOKKHKGFAU76CC,29,27.51,住家用,鋼筋混凝土造,84年8月19日,十一層,,
RPRNMLOKKHKGFAU76CC,29,8.01,共有部份,鋼筋混凝土造,84年8月19日,十一層,,
RPPNMLSKKHKGFAU96CC,41,16.52,住家用,鋼筋混凝土加強磚造,72年11月5日,二層,,
RPWNMLSKKHKGFAU67CC,38,4.06,住家用,鋼筋混凝土造,76年2月23日,五層,,
RPRNMLKLKHKGFAU09CC,37,29.40,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPRNMLKLKHKGFAU09CC,37,9.37,共有部份,鋼筋混凝土造,76年11月17日,七層,,
RPQNMLSKKHKGFAU07CC,28,39.56,住家用,鋼筋混凝土造,86年1月13日,七層,,
RPQNMLSKKHKGFAU07CC,28,16.54,共有部份,鋼筋混凝土造,86年1月13日,七層,,
RPPNMLOLKHKGFAU66CC,37,50.90,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPPNMLRKKHKGFAU86CC,46,58.04,資訊遊樂場,鋼筋混凝土加強磚造,67年10月24日,二層,,
RPSNMLMKKHKGFAU66CC,21,280.50,住商用,鋼筋混凝土造,92年12月3日,四層,,
RPSNMLKLKHKGFAU56CC,14,75.15,集合住宅,鋼筋混凝土造,100年1月21日,十二層,,
RPSNMLKLKHKGFAU56CC,14,36.89,共有部份,鋼筋混凝土造,100年1月21日,十二層,,
RPSNMLLLKHKGFAU66CC,49,69.88,住家用,鋼筋混凝土加強磚造,65年7月27日,一層,,
RPPNMLTKKHKGFAU07CC,48,112.86,住商用,鋼筋混凝土加強磚造,66年2月8日,二層,,
RPTNMLKLKHKGFAU66CC,19,26.45,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPNMLSKKHKGFAU07DC,22,111.42,住家用,鋼筋混凝土造,91年12月2日,十三層,,
RPPNMLSKKHKGFAU07DC,22,63.77,共有部份,鋼筋混凝土造,91年12月2日,十三層,,
RPQNMLLLKHKGFAU09CC,21,165.81,住家用,鋼筋混凝土造,93年7月2日,四層,,
RPUNMLOLKHKGFAU17CC,40,129.58,住商用,鋼筋混凝土造,74年1月11日,二層,,
RPRNMLOLKHKGFAU86CC,2,55.79,集合住宅,鋼筋混凝土造,112年7月26日,十五層,,
RPRNMLOLKHKGFAU86CC,2,23.72,共有部份,鋼筋混凝土造,112年7月26日,十五層,,
RPQNMLOLKHKGFAU76CC,32,34.39,住家用,鋼筋混凝土造,82年8月2日,七層,,
RPQNMLOLKHKGFAU76CC,32,8.68,共有部份,鋼筋混凝土造,82年8月2日,七層,,
RPPNMLOLKHKGFAU76DC,4,25.78,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPWNMLOLKHKGFAU37CC,43,87.12,住家用,鋼筋混凝土加強磚造,71年6月11日,二層,,
RPXNMLOLKHKGFAU47CC,3,20.87,住家用,鋼筋混擬土、鋼骨或鋼骨混合造,111年5月26日,四層,,
RPXNMLQLKHKGFAU67CC,30,26.44,住家用,鋼筋混凝土造,83年10月26日,九層,,
RPPNMLRLKHKGFAU96CC,17,50.30,住家用,鋼筋混凝土造,97年6月26日,五層,,
