鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
台東市,租賃房屋,臺東縣臺東市中山路３９３號八樓之３,0.0,,,,1140214,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土結構造,0841004,39.24,1,0,1,有,無,有,9500,242,,0.0,0,,RPPNMLRKKHKGFAV96CC,獨立套房,無,1140214~1150213,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市知本路三段３９號,0.0,,,,1140216,土地0建物1車位0,全,1,透天厝,住商用,磚木,,92.47,3,2,1,有,無,有,10000,108,,0.0,0,,RPRNMLRKKHKGFAV17CC,整棟(戶)出租,無,1140225~1150224,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市中華路二段３４１號,0.0,,,,1140216,土地0建物0車位0,全,4,透天厝,住宅，避難室,鋼筋混凝土造,0791002,19.83,8,0,8,有,無,有,7000,353,,0.0,0,電視盒一個,RPSNMLRKKHKGFAV27CC,分租套房,無,1140308~1150307,無,冷氣、熱水器、洗衣機、電視機、冰箱,
台東市,租賃房屋,臺東縣臺東市正氣路４１號,0.0,,,,1140216,土地0建物1車位0,全,2,透天厝,住家用,鋼筋水泥加強磚造,0660816,42.8,6,2,3,有,無,有,10000,234,,0.0,0,,RPUNMLRKKHKGFAV47CC,分層出租,無,1140301~1160228,無,冰箱,一般代管
台東市,租賃房屋,臺東縣臺東市正氣路４１號,0.0,,,,1140216,土地0建物1車位0,全,2,透天厝,住家用,鋼筋水泥加強磚造,0660816,50.0,6,2,3,有,無,有,16000,320,,0.0,0,多人共同承租2；含增建或未登記建物；,RPVNMLRKKHKGFAV57CC,分層出租,無,1140301~1160228,無,冷氣、熱水器,一般代管
台東市,租賃房屋,臺東縣臺東市更生路７６４號,0.0,,,,1140214,土地0建物0車位0,全,2,透天厝,住家用,鋼筋水泥．加強磚造,0660930,32.56,3,3,3,有,無,有,9500,292,,0.0,0,,RPWNMLRKKHKGFAV67CC,分租套房,無,1140215~1150214,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市中興路一段６１４號,0.0,,,,1140214,土地0建物0車位0,全,3,透天厝,住家用,鐵筋水泥磚,0650607,29.8,4,0,2,有,無,有,7000,235,,0.0,0,,RPPNMLSKKHKGFAV07CC,分租雅房,無,1140215~1150214,無,冷氣、冰箱,一般轉租
台東市,租賃房屋,臺東縣臺東市強國街２７６巷１８號,0.0,,,,1140217,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0760302,128.56,3,1,2,有,無,無,8000,62,,0.0,0,,RPPNMLTKKHKGFAV17CC,整棟(戶)出租,無,1140205~1150204,無,,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市康樂路１３１巷２６號二樓,0.0,,,,1140217,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0840601,79.7,2,1,1,有,無,無,6000,75,,0.0,0,,RPQNMLTKKHKGFAV27CC,整棟(戶)出租,無,1140225~1150224,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市康樂路１３１巷３弄８號三樓,0.0,,,,1140219,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0840601,93.10999999999999,3,1,2,有,無,有,8500,91,,0.0,0,,RPRNMLTKKHKGFAV37CC,整棟(戶)出租,無,1140301~1150228,無,冷氣、熱水器,社會住宅包租轉租
台東市,租賃房屋+車位,臺東縣臺東市岩灣路５０巷４３２號二樓,0.0,,,,1140219,土地0建物1車位1,二層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0950310,215.62,4,2,2,有,有,無,13500,63,坡道平面,0.0,0,多人共同承租2；,RPRNMLOLKHKGFAV96CC,整棟(戶)出租,無,1140318~1150317,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
台東市,租賃房屋,臺東縣臺東市仁五街１號三樓,0.0,,,,1140220,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋水泥造,0721004,96.24000000000001,3,2,1,有,無,有,12000,125,,0.0,0,,RPSNMLOLKHKGFAV07CC,整棟(戶)出租,無,1140306~1150305,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市長沙街１７０巷７弄６號二樓,0.0,,,,1140226,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0821203,110.53,3,2,2,有,有,有,17000,154,,0.0,0,,RPPNMLPJLHKGFAV76CC,整棟(戶)出租,無,1140303~1150302,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
台東市,租賃房屋,臺東縣臺東市知本路三段７２號,0.0,,,,1140303,土地0建物1車位0,全,2,透天厝,住家用,加強磚竹造，鐵皮頂,0740701,130.64,4,3,1,有,無,有,18000,138,,0.0,0,,RPQNMLPJLHKGFAV86CC,整棟(戶)出租,無,1140303~1150302,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
