編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTJNHKGFAW47DA,北九十劃段,488.72,都市：其他:農業區,1,1,全筆移轉,02400000
RPPNMLMKNHKGFAW76DA,官嶼劃段,500.00,都市：其他:農業區,1,1,全筆移轉,02910000
RPPNMLSJNHKGFAW27DA,機場段,683.77,都市：其他:農業區,1,1,全筆移轉,05730000
RPRNMLSJNHKGFAW47DA,中五劃段,967.00,都市：其他:第二類一般管制區,1,1,全筆移轉,06720000
RPQNMLRJNHKGFAW27DA,寧劃段,979.09,都市：其他:農業區,1,1,全筆移轉,03790000
RPRNMLQJNHKGFAW27DA,昔果山測段,234.00,都市：其他:自然村專用區,1,1,全筆移轉,01460000
RPPNMLQJNHKGFAW07DA,中四劃段,700.00,都市：其他:農業區,1,1,全筆移轉,01530000
RPQNMLQLNHKGFAW37DA,擎天段,52.75,都市：其他:自然村專用區,4,1,持分移轉,13400000
RPPNMLPJNHKGFAW96DA,沙田劃段,1000.00,都市：其他:保護區,1,1,全筆移轉,04380000
RPQNMLQLNHKGFAW37DA,擎天段,52.52,都市：其他:農業區,4,1,持分移轉,13400001
RPWNMLPJNHKGFAW67DA,西方劃測段,1550.00,都市：其他:農業區,1,1,全筆移轉,07810000
RPTNMLRJNHKGFAW57DA,浯坑劃測段,539.99,都市：其他:農業區,1,1,全筆移轉,00710000
RPPNMLMLNHKGFAW86DA,沙碧劃段,800.00,都市：其他:農業區,1,1,全筆移轉,04110000
RPSNMLRJNHKGFAW47DA,延平段,984.88,都市：其他:農業區,1,1,全筆移轉,02350000
RPRNMLQLNHKGFAW47DA,湖東劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,06060000
RPSNMLQLNHKGFAW57DA,北一段,7.17,都市：其他:農業區,30000,321,持分移轉,00230000
RPSNMLQLNHKGFAW57DA,北一段,1.54,都市：其他:農業區,30000,321,持分移轉,00230002
RPPNMLMJOHKGFAW76DA,城隍廟段,82.01,都市：其他:第二種住宅區,1,1,全筆移轉,01630000
RPPNMLQKNHKGFAW17DA,中五劃段,334.49,都市：其他:第二類一般管制區,1,1,全筆移轉,03570000
RPPNMLKLNHKGFAW66DA,祥豐段,21.12,都市：其他:第三種住宅區。,42,3,持分移轉,00460000
RPSNMLMJOHKGFAW07DA,烏土段,427.00,都市：其他:農業區,1,1,全筆移轉,00960000
RPRNMLPKNHKGFAW27DA,沙宅劃段,724.00,都市：其他:農業區,1,1,全筆移轉,00370000
RPRNMLMJOHKGFAW96DA,西堡劃測段,1748.01,都市：其他:農業區,1,1,全筆移轉,00420000
RPUNMLPKNHKGFAW57DA,寧安五劃段,1007.00,都市：其他:農業區,1,1,全筆移轉,00180000
RPUNMLPKNHKGFAW57DA,寧安五劃段,1193.00,都市：其他:農業區,1,1,全筆移轉,02130000
RPPNMLNJOHKGFAW86DA,寧山段,41.41,都市：其他:農業區,1,1,全筆移轉,10350000
RPTNMLPKNHKGFAW47DA,金門城測段,31.55,都市：其他:自然村專用區,10000,2141,持分移轉,07560001
RPPNMLNJOHKGFAW86DA,寧山段,16.43,都市：其他:農業區,1,1,全筆移轉,10760004
RPSNMLPKNHKGFAW37DA,寧古劃段,575.00,都市：其他:第二類一般管制區,1,1,全筆移轉,09160000
RPQNMLNKNHKGFAW96DA,北九十劃段,976.72,都市：其他:農業區,1,1,全筆移轉,02830000
RPPNMLPKMHKGFAW07EA,寧劃段,489.63,都市：其他:農業區,1,1,全筆移轉,11330000
RPSNMLPLMHKGFAW47EA,官澳測段,79.20,都市：其他:第二類一般管制區,1,1,全筆移轉,06350001
RPSNMLSKMHKGFAW67EA,烈濱劃測段,300.01,都市：其他:農業區,1,1,全筆移轉,11660000
RPPNMLTJOHKGFAW47DA,汶沙測段,18.00,都市：其他:第六種住宅區,1,1,全筆移轉,03680005
RPUNMLTJOHKGFAW97DA,寧湖二劃測段,24.75,都市：其他:自然村專用區,10000,1113,持分移轉,07500000
RPUNMLTJOHKGFAW97DA,寧湖二劃測段,9.01,都市：其他:自然村專用區,10000,1023,持分移轉,07500002
RPUNMLTJOHKGFAW97DA,寧湖二劃測段,20.90,都市：其他:自然村專用區,10000,1113,持分移轉,07510000
RPUNMLTJOHKGFAW97DA,寧湖二劃測段,3.76,都市：其他:自然村專用區,10000,588,持分移轉,07510001
RPUNMLTJOHKGFAW97DA,寧湖二劃測段,5.48,都市：其他:自然村專用區,10000,588,持分移轉,07510005
RPRNMLPLMHKGFAW37EA,官澳測段,34.54,都市：其他:第二類一般管制區,1,1,全筆移轉,06470001
RPPNMLRJMHKGFAW07DA,浯坑劃測段,121.12,都市：其他:風景區,1,1,全筆移轉,09850000
RPPNMLRJMHKGFAW07DA,浯坑劃測段,467.07,都市：其他:風景區,1,1,全筆移轉,11570001
RPQNMLMJMHKGFAW66DA,青山段,23.98,都市：其他:自然村專用區,4,1,持分移轉,11890002
RPQNMLMJMHKGFAW66DA,青山段,58.45,都市：其他:自然村專用區,1,1,全筆移轉,11890006
RPRNMLTJMHKGFAW47DA,北二三劃測段,500.00,都市：其他:農業區,1,1,全筆移轉,05690000
RPSNMLTJMHKGFAW57DA,北二三劃測段,1000.00,都市：其他:農業區,1,1,全筆移轉,05700000
RPRNMLLJNHKGFAW76DA,寧安二劃段,31.74,都市：其他:自然村專用區,10,1,持分移轉,04950000
RPRNMLLJNHKGFAW76DA,寧安二劃段,12.26,都市：其他:農業區,10,1,持分移轉,04950002
RPPNMLTLMHKGFAW57EA,浯坑劃測段,262.18,都市：其他:農業區,1,1,全筆移轉,00870000
RPPNMLTLMHKGFAW57EA,浯坑劃測段,40.61,都市：其他:道路用地,1,1,全筆移轉,00870001
RPPNMLKKMHKGFAW09DA,料羅段,518.13,都市：其他:保護區,1,1,全筆移轉,06030000
RPQNMLLKMHKGFAW66DA,寧山段,69.71,都市：其他:農業區,1,1,全筆移轉,10340000
RPQNMLLKMHKGFAW66DA,寧山段,14.00,都市：其他:農業區,1,1,全筆移轉,10760005
RPRNMLOKMHKGFAW07DA,舊金城段,1168.00,都市：其他:農業區,1,1,全筆移轉,02000000
RPPNMLQKMHKGFAW07DA,慈湖段,235.98,都市：其他:保護區,1,1,全筆移轉,04640000
RPOOMLPKMHKGFAW96DA,擎天段,429.89,都市：其他:農業區,1,1,全筆移轉,07250000
RPOOMLPKMHKGFAW96DA,擎天段,191.17,都市：其他:農業區,1,1,全筆移轉,07260000
RPQNMLOKMHKGFAW96DA,湖前段,25.43,都市：其他:自然村專用區,100000,1906,持分移轉,08920000
RPRNMLTLMHKGFAW77EA,漁村段,116.32,都市：其他:風景區,1,1,全筆移轉,01110000
RPRNMLTLMHKGFAW77EA,漁村段,21.52,都市：其他:自然村專用區,1,1,全筆移轉,01110001
RPQNMLPJNHKGFAW07DA,湖前段,175.37,都市：其他:農業區,6,1,持分移轉,07240000
RPQNMLSJMHKGFAW27DA,長寮段,38.63,都市：其他:自然村專用區,20000,2514,持分移轉,06120000
RPRNMLPJNHKGFAW17DA,羅劃測段,54.15,都市：其他:自然村專用區,10000,542,持分移轉,02000000
RPRNMLPJNHKGFAW17DA,羅劃測段,49.46,都市：其他:自然村專用區,10000,542,持分移轉,02010000
RPPNMLTLNHKGFAW67EA,安西劃段,878.43,都市：其他:農業區,1,1,全筆移轉,09860000
RPQNMLLJNHKGFAW76EA,寧湖一劃段,50.40,都市：其他:自然村專用區,100000,5040,持分移轉,03180000
RPPNMLSLNHKGFAW57EA,官澳測段,170.56,都市：其他:第二類一般管制區,1,1,全筆移轉,03800000
RPPNMLSLNHKGFAW57EA,官澳測段,435.75,都市：其他:第二類一般管制區,1,1,全筆移轉,03820000
RPPNMLMLNHKGFAW96EA,后湖段,16.77,都市：其他:農業區,1,1,全筆移轉,00030001
RPPNMLTJOHKGFAW57EA,金門城測段,72.00,都市：其他:農業區,1,1,全筆移轉,02410000
RPPNMLMKNHKGFAW86EA,楊厝測段,845.27,都市：其他:農業區,1,1,全筆移轉,01320000
RPPNMLMKNHKGFAW86EA,楊厝測段,207.68,都市：其他:農業區,1,1,全筆移轉,05320000
RPPNMLMKNHKGFAW86EA,楊厝測段,782.59,都市：其他:農業區,1,1,全筆移轉,05470000
RPPNMLMKNHKGFAW86EA,楊厝測段,185.80,都市：其他:農業區,1,1,全筆移轉,05480000
RPPNMLMKNHKGFAW86EA,楊厝測段,35.73,都市：其他:農業區,1,1,全筆移轉,05490000
RPQNMLQJNHKGFAW17DA,沙宅劃段,203.00,都市：其他:農業區,1,1,全筆移轉,00040000
RPQNMLQJNHKGFAW17DA,洋山測段,303.22,都市：其他:農業區,1,1,全筆移轉,04950000
RPQNMLQJNHKGFAW17DA,洋山段,437.00,都市：其他:農業區,1,1,全筆移轉,10650000
RPQNMLQJNHKGFAW17DA,洋山段,170.00,都市：其他:農業區,1,1,全筆移轉,10780000
RPPNMLSJMHKGFAW17DA,市港段,12.17,都市：其他:第五種住宅區,100000,690,持分移轉,00580000
RPSNMLPJNHKGFAW27DA,北一段,28.77,都市：其他:道路用地,3,1,持分移轉,02370001
RPSNMLPJNHKGFAW27DA,北一段,304.81,都市：其他:農業區,1,1,全筆移轉,02370003
RPQNMLTLMHKGFAW67EA,官澳段,25.00,都市：其他:自然村專用區,1,1,全筆移轉,11190000
RPTNMLMKNHKGFAW17DA,寧湖三劃段,499.99,都市：其他:農業區,1,1,全筆移轉,01060000
RPQNMLTLMHKGFAW67EA,官澳段,44.00,都市：其他:自然村專用區,2,1,持分移轉,12050000
RPQNMLTLMHKGFAW67EA,官澳段,92.00,都市：其他:自然村專用區,2,1,持分移轉,12540000
RPXNMLPKMHKGFAW77DA,盤山村測段,100.82,都市：其他:自然村專用區,1,1,全筆移轉,00800000
RPRNMLRJNHKGFAW37DA,蔡厝劃測段,585.58,都市：其他:農業區,1,1,全筆移轉,07880000
RPQNMLSJNHKGFAW37DA,上后垵測段,212.98,都市：其他:自然村專用區,1,1,全筆移轉,01310000
RPPNMLTJNHKGFAW37DA,湖前段,96.03,都市：其他:自然村專用區,200054,9603,持分移轉,05460000
RPVNMLPJNHKGFAW57DA,陽宅段,1256.31,都市：其他:農業區,1,1,全筆移轉,03440001
RPQNMLPKNHKGFAW17DA,中三劃測段,730.58,都市：其他:農業區,1,1,全筆移轉,05240000
RPQNMLPKNHKGFAW17DA,中三劃測段,2.44,都市：其他:道路用地,1,1,全筆移轉,05240001
RPPNMLOKNHKGFAW96DA,汶沙測段,87.33,都市：其他:自然村專用區,3,1,持分移轉,17700000
RPTNMLLJNHKGFAW96DA,寧安二劃段,31.74,都市：其他:自然村專用區,10,1,持分移轉,04950000
RPTNMLLJNHKGFAW96DA,寧安二劃段,12.26,都市：其他:農業區,10,1,持分移轉,04950002
RPPNMLSKMHKGFAW27DA,市港段,11.01,都市：其他:第五種住宅區,100000,624,持分移轉,00580000
RPQNMLOLMHKGFAW07DA,北九劃段,911.59,都市：其他:農業區,1,1,全筆移轉,12200000
RPQNMLOLMHKGFAW07DA,北九劃段,88.41,都市：其他:道路用地,1,1,全筆移轉,12200001
RPTNMLKMMHKGFAW07DA,寧湖三劃段,39.26,都市：其他:自然村專用區,115567,6481,持分移轉,00300000
RPPNMLPLMHKGFAW07DA,沙田劃段,1000.00,都市：其他:保護區,1,1,全筆移轉,01980000
RPPNMLPLMHKGFAW07DA,沙田劃段,1000.00,都市：其他:保護區,1,1,全筆移轉,01990000
RPPNMLOLMHKGFAW96DA,西堡劃測段,234.66,都市：其他:保護區,1,1,全筆移轉,04420000
RPSNMLOLMHKGFAW27DA,北九十劃段,976.13,都市：其他:農業區,1,1,全筆移轉,01500000
RPTNMLMLMHKGFAW17DA,東紅山段,781.60,都市：其他:遊憩區,1,1,全筆移轉,11990000
RPSNMLKMMHKGFAW96DA,官嶼劃段,1000.00,都市：其他:農業區,1,1,全筆移轉,05590000
RPSNMLKMMHKGFAW96DA,北九十劃段,606.50,都市：其他:農業區,2,1,持分移轉,06120000
RPSNMLKMMHKGFAW96DA,官嶼劃段,492.00,都市：其他:農業區,2,1,持分移轉,06640000
RPRNMLOLMHKGFAW17DA,沙港劃段,938.96,都市：其他:農業區,1,1,全筆移轉,03060000
RPSNMLKMMHKGFAW96DA,官嶼劃段,8.00,都市：其他:農業區,2,1,持分移轉,06640001
RPRNMLOLMHKGFAW17DA,沙港劃段,61.10,都市：其他:道路用地,1,1,全筆移轉,03060001
RPSNMLKMMHKGFAW96DA,官澳段,447.00,都市：其他:自然村專用區,1,1,全筆移轉,13110000
RPQNMLSLMHKGFAW47DA,寧湖一劃段,60.51,都市：其他:自然村專用區,4,1,持分移轉,02140001
RPSNMLPLMHKGFAW37DA,湖后劃段,395.00,都市：其他:農業區,2,1,持分移轉,04430000
RPPNMLNLNHKGFAW96DA,庵前劃測段,27.96,都市：其他:自然村專用區,10000,824,持分移轉,03650000
RPPNMLSLMHKGFAW37DA,湖尾村測段,117.27,都市：其他:自然村專用區,1,1,全筆移轉,02070000
RPQNMLSKMHKGFAW37DA,榜林村測段,14.68,都市：其他:自然村專用區,1000,25,持分移轉,00240000
RPRNMLOKNHKGFAW17DA,夏墅測段,42.13,都市：其他:自然村專用區,3,1,持分移轉,00300000
RPRNMLKLNHKGFAW86DA,西山段,16.54,都市：其他:農業區,100000,9124,持分移轉,06670000
RPRNMLKLNHKGFAW86DA,西山段,2.41,都市：其他:自然村專用區,100000,9124,持分移轉,06670003
RPRNMLKLNHKGFAW86DA,西山段,9.78,都市：其他:自然村專用區,100000,9124,持分移轉,06670004
RPQNMLMLMHKGFAW86DA,延平段,492.85,都市：其他:農業區,1,1,全筆移轉,10340001
RPSNMLSLMHKGFAW67DA,湖前段,50.00,都市：其他:自然村專用區,10,1,持分移轉,06370001
SPQNMLPKNHKGFAW27DA,中三劃測段,730.54,都市：其他:農業區,1,1,全筆移轉,05230000
SPQNMLPKNHKGFAW27DA,中三劃測段,2.46,都市：其他:道路用地,1,1,全筆移轉,05230001
RPQNMLNLNHKGFAW07DA,庵前劃測段,27.96,都市：其他:自然村專用區,10000,824,持分移轉,03650000
RPQNMLMLNHKGFAW96DA,西堡劃測段,633.68,都市：其他:農業區,3,1,持分移轉,03230000
RPSNMLLJNHKGFAW86DA,寧安二劃段,31.74,都市：其他:自然村專用區,10,1,持分移轉,04950000
RPRNMLKMMHKGFAW86DA,塔后段,849.63,都市：其他:農業區,1,1,全筆移轉,06650000
RPSNMLLJNHKGFAW86DA,寧安二劃段,12.26,都市：其他:農業區,10,1,持分移轉,04950002
RPWNMLPKMHKGFAW67DA,北二三劃測段,46.11,都市：其他:自然村專用區,20,1,持分移轉,02610000
RPTNMLTLNHKGFAW97DA,庵前劃測段,41.16,都市：其他:自然村專用區,10000,1213,持分移轉,03650000
RPSNMLNJOHKGFAW17DA,庵前劃測段,25.62,都市：其他:自然村專用區,10000,755,持分移轉,03650000
RPSNMLMKNHKGFAW07DA,湖下村測段,71.50,都市：其他:自然村專用區,2,1,持分移轉,02460000
RPUNMLPJNHKGFAW47DA,東洲段,11.49,都市：其他:自然村專用區,4,1,持分移轉,05000021
RPUNMLPJNHKGFAW47DA,東洲段,94.39,都市：其他:自然村專用區,1,1,全筆移轉,05060017
RPVNMLPKMHKGFAW57DA,北二三劃測段,46.11,都市：其他:自然村專用區,20,1,持分移轉,02610000
RPTNMLNJOHKGFAW27DA,庵前劃測段,27.96,都市：其他:自然村專用區,10000,824,持分移轉,03650000
RPPNMLRKLHKGFAW17EA,汶沙測段,104.00,都市：其他:自然村專用區,1,1,全筆移轉,18760000
RPQNMLNJOHKGFAW96DA,庵前劃測段,41.16,都市：其他:自然村專用區,10000,1213,持分移轉,03650000
RPPNMLKLLHKGFAW56EA,古塔段,250.78,都市：其他:國家公園區,1,1,全筆移轉,02900000
RPRNMLNJOHKGFAW07DA,庵前劃測段,41.16,都市：其他:自然村專用區,10000,1213,持分移轉,03650000
RPPNMLKLLHKGFAW56EA,古塔段,216.30,都市：其他:特別景觀區,1,1,全筆移轉,06880000
