編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKNHKGFAW86CC,9,89.06,集合住宅,鋼筋混凝土造,104年11月30日,三層,,
RPQNMLMKNHKGFAW96CC,25,293.52,住宅、停車空間、自用儲藏室,鋼筋混凝土造,89年3月15日,四層,,
RPPNMLMKNHKGFAW86CC,9,42.78,共有部分：本共有部分之項目有樓梯間一項。,鋼筋混凝土造,104年11月30日,三層,,
RPPNMLOLLHKGFAW96CC,4,72.57,集合住宅,鋼筋混凝土造,110年3月9日,三層,,
RPPNMLOLLHKGFAW96CC,4,14.08,集合住宅：本共有部分之項目計有樓梯間１項。,鋼筋混凝土造,110年3月9日,三層,,
RPPNMLTJMHKGFAW37CC,30,86.13,住家用,鋼筋混凝土加強磚造,84年5月17日,三層,,
RPPNMLTJMHKGFAW37CC,30,12.95,共用部分,鋼筋混凝土加強磚造,84年5月17日,三層,,
RPPNMLLKLHKGFAW56CC,14,89.96,住家用,鋼筋混凝土造,100年8月23日,三層,,
RPPNMLLKLHKGFAW56CC,14,25.90,共有部分，本共有部分之項目有樓梯間一項。,鋼筋混凝土造,100年8月23日,三層,,
