編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTJNHKGFAX77DA,馬公段,2.00,都市：其他:商業區,1,1,全筆移轉,09970023
RPSNMLTJNHKGFAX77DA,馬公段,16.00,都市：其他:商業區,1,1,全筆移轉,10200000
RPPNMLSLNHKGFAX67EA,七美一段,99.67,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01640000
RPPNMLMJOHKGFAX96EA,後寮東段,144.15,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12020000
RPTNMLPJNHKGFAX47DA,東石新段,1028.33,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,06950000
RPQNMLPJNHKGFAX17DA,東石新段,418.69,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05890002
RPQNMLPJNHKGFAX17DA,東石新段,837.38,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05890003
RPQNMLPJNHKGFAX17DA,東石新段,1000.78,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05910000
RPVNMLQJNHKGFAX77DA,烏崁新段,1663.35,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07030000
RPUNMLSJMHKGFAX77DA,尖山南段,402.51,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,08490000
RPUNMLSJMHKGFAX77DA,尖山南段,372.92,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,09580000
RPUNMLSJMHKGFAX77DA,尖山南段,237.25,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,09590000
YPUNMLQKNHKGFAX48DA,四維段,194.86,非都市：一般農業區 ; 非都市編定：農牧用地,10000,905,持分移轉,02080000
RPTNMLLLNHKGFAX27DA,中山段,56.07,都市：其他:住宅區,1,1,全筆移轉,02660000
RPTNMLQKNHKGFAX67DA,山水南段,52.76,非都市：一般農業區 ; 非都市編定：林業用地,1,1,全筆移轉,06350006
RPPNMLKLNHKGFAX76DA,許家段,98.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04080001
RPUNMLLLNHKGFAX37DA,五德西段,247.67,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00930000
RPUNMLLLNHKGFAX37DA,五德西段,15.56,非都市：一般農業區 ; 非都市編定：交通用地,12425,1556,持分移轉,00930003
RPUNMLLLNHKGFAX37DA,五德西段,15.00,非都市：一般農業區 ; 非都市編定：交通用地,500000,9245,持分移轉,00980004
RPRNMLLLMHKGFAX96DA,林投北段,92.51,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,06560000
