編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLSKMHKGFAX67DA,一樓平面,1000000,13.42,一樓
RPQNMLNJOHKGFAX07DA,坡道平面,0,,地下二樓
RPPNMLOKMHKGFAX96DA,坡道平面,0,,地下二樓
RPTNMLSLMHKGFAX87DA,坡道機械,0,,一樓
SPWNMLSKMHKGFAX18DA,一樓平面,900000,13.42,一樓
RPSNMLQLMHKGFAX57DA,一樓平面,0,,一樓
RPSNMLSLMHKGFAX77DA,一樓平面,0,,一樓
RPOOMLSKMHKGFAX37DA,一樓平面,1000000,13.48,一樓
RPQNMLOKNHKGFAX17DA,一樓平面,0,,一樓
RPPNMLRKLHKGFAX17DA,坡道平面,0,,地下一樓
RPRNMLRKLHKGFAX37DA,坡道平面,870000,11.86,地下一樓
RPSNMLRKLHKGFAX47DA,坡道平面,870000,13.78,地下一樓
RPSNMLQKMHKGFAX47DA,坡道平面,0,,地下一樓
RPTNMLRKLHKGFAX57DA,坡道平面,870000,13.78,地下一樓
RPPNMLRJLHKGFAX07DA,坡道平面,0,,地下二樓
RPPNMLMKNHKGFAX86DA,坡道平面,0,,地下一樓
RPPNMLMKNHKGFAX86DA,坡道平面,0,,地下二樓
RPXNMLSKMHKGFAX18DA,一樓平面,1000000,13.42,一樓
