鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
馬公市,租賃房屋,澎湖縣馬公市五福路 ２０１ 巷 ２ 弄 ８ 號,0.0,,,,1140309,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1000601,16.0,13,0,12,有,無,有,6500,406,,0.0,0,租金總額含水費；,RPPNMLKKLHKGFAX56CC,分租套房,無,1140309~1150630,無,冷氣、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市西文里新生路３６-７號３樓,0.0,,,,1140301,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850118,31.9,3,1,2,有,無,有,6500,204,,0.0,0,租金總額含管理費；水費；電費；瓦斯費；網路費；,RPPNMLRLLHKGFAX37CC,分租雅房,無,1140301~1140630,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市林森路２３號,0.0,,,,1140301,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970205,29.0,9,1,9,有,無,有,8000,276,,0.0,0,多人共同承租2；租金總額含水費；網路費；,RPQNMLRLLHKGFAX47CC,分租套房,無,1140301~1150228,無,冷氣、熱水器、洗衣機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市文化路中心巷１號,0.0,,,,1140327,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強空心磚造,0510815,68.16,0,0,0,無,無,無,16000,235,,0.0,0,租金總額含稅；,RPPNMLMJMHKGFAX76CC,,無,1140701~1190630,無,,
馬公市,租賃房屋,澎湖縣馬公市文化路中心巷２號,0.0,,,,1140327,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強空心磚造,0510815,53.9,0,0,0,無,無,無,15000,278,,0.0,0,租金總額含稅；,RPQNMLMJMHKGFAX86CC,,無,1140701~1190630,無,,
馬公市,租賃房屋,澎湖縣馬公市文化路中心巷３號,0.0,,,,1140327,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強空心磚造,0510815,63.91,0,0,0,無,無,無,14000,219,,0.0,0,租金總額含稅；,RPRNMLMJMHKGFAX96CC,,無,1140701~1190630,無,,
馬公市,租賃房屋,澎湖縣馬公市石泉７０２號,0.0,,,,1140402,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,1130627,178.62,6,1,6,有,無,無,15000,84,,0.0,0,,RPPNMLSJMHKGFAX47DC,整棟(戶)出租,無,1140501~1170430,無,,
馬公市,租賃房屋,澎湖縣馬公市西文澳７５５號,0.0,,,,1140321,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1130614,23.0,9,0,9,有,無,有,8800,383,,0.0,0,多人共同承租2；租金總額含水費；,RPPNMLOKMHKGFAX07CC,分租套房,無,1140322~1150630,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市西文澳７５５號,0.0,,,,1140331,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1130614,12.0,9,0,9,有,無,有,6200,517,,0.0,0,租金總額含水費；,RPQNMLOKMHKGFAX17CC,分租套房,無,1140601~1160601,無,冷氣、熱水器、電視機、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市西文澳７５５號,0.0,,,,1140411,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1130614,12.0,9,0,9,有,無,有,5000,417,,0.0,0,租金總額含水費；,RPSNMLOKMHKGFAX37CC,分租雅房,無,1140701~1150630,無,冷氣、電視機、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市西文澳７５５號,0.0,,,,1140410,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1130614,12.0,9,0,9,有,無,有,6500,542,,0.0,0,多人共同承租2；租金總額含水費；,RPTNMLOKMHKGFAX47CC,分租套房,無,1140410~1150630,無,冷氣、熱水器、電視機、網路,一般轉租
