編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKNHKGFAZ17DA,福沃段,3.99,都市：其他:機關用地,10000,121,持分移轉,05140000
RPPNMLQJOHKGFAZ47DA,珠螺段,169.75,都市：其他:農業區,1,1,全筆移轉,03720000
RPPNMLMJNHKGFAZ96DA,橋仔段,133.00,都市：其他:住宅區,2,1,持分移轉,01710000
RPPNMLMLNHKGFAZ17DA,復興段,76.76,都市：其他:住宅區,1,1,全筆移轉,04590000
RPPNMLOKLHKGFAZ07DA,東引西段,46.14,都市：其他:住宅區,1,1,全筆移轉,14350002
RPPNMLRJMHKGFAZ37DA,清水段,108.92,都市：其他:住宅區,1,1,全筆移轉,07340000
RPPNMLKKLHKGFAZ66DA,仁愛段,50.63,都市：其他:住宅區,1,1,全筆移轉,07640001
RPPNMLSKKHKGFAZ37DA,田沃段,4.75,,1,1,全筆移轉,03650001
RPPNMLSKKHKGFAZ37DA,田沃段,6.31,,1,1,全筆移轉,03650002
RPPNMLSKKHKGFAZ37DA,田沃段,.15,,1,1,全筆移轉,03650003
RPPNMLRLNHKGFAZ67DA,坂里段,20.61,,1,1,全筆移轉,07410000
RPPNMLRLNHKGFAZ67DA,坂里段,.82,,1,1,全筆移轉,07410001
RPQNMLKKLHKGFAZ76DA,塘岐段,92.00,都市：其他:商業區,1,1,全筆移轉,06510000
RPPNMLLJMHKGFAZ76DA,馬祖段,88.87,都市：其他:學校用地,1,1,全筆移轉,07990002
RPPNMLLJMHKGFAZ76DA,馬祖段,71.27,都市：其他:學校用地,1,1,全筆移轉,08110001
