編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.37,都市：住,100000,1752,持分移轉,05170000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.06,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02540000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.74,都市：住,100000,1752,持分移轉,05180048
RPUNMLTKNHKGFBA48CB,迪化段二小段,.17,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02550000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.72,都市：住,100000,1752,持分移轉,05180049
RPUNMLTKNHKGFBA48CB,迪化段二小段,.14,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02560000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.05,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02570000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.05,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02580000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.01,都市：商,100000,722,持分移轉,06760000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.12,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02590000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.02,都市：商,100000,722,持分移轉,06760002
RPPNMLLLNHKGFBA27CB,雙連段二小段,.72,都市：住,100000,1752,持分移轉,05180050
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.01,都市：商,100000,722,持分移轉,06770001
RPUNMLTKNHKGFBA48CB,迪化段二小段,.12,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02600000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.38,都市：住,100000,1752,持分移轉,05180051
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.01,都市：商,100000,722,持分移轉,06780000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.01,都市：商,100000,722,持分移轉,06790000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.05,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02610000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.84,都市：住,100000,1752,持分移轉,05180052
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.73,都市：商,100000,722,持分移轉,06800000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.26,都市：住,100000,1752,持分移轉,05180053
RPUNMLTKNHKGFBA48CB,迪化段二小段,.05,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02620000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.71,都市：商,100000,722,持分移轉,06810000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.26,都市：住,100000,1752,持分移轉,05180054
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.58,都市：商,100000,722,持分移轉,06820000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.08,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02630000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.81,都市：住,100000,1752,持分移轉,05180055
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.55,都市：商,100000,722,持分移轉,06830000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.04,都市：商,100000,722,持分移轉,06840000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.07,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02640000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.28,都市：住,100000,1752,持分移轉,05180056
RPUNMLPKNHKGFBA08CB,玉泉段一小段,1.93,都市：商,100000,722,持分移轉,06850000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.09,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02650000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.95,都市：住,100000,1752,持分移轉,05180057
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.08,都市：商,100000,722,持分移轉,06870000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.16,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02660000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.42,都市：住,100000,1752,持分移轉,05180058
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.14,都市：商,100000,722,持分移轉,06890000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.70,都市：住,100000,1752,持分移轉,05180061
RPUNMLTKNHKGFBA48CB,迪化段二小段,.34,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02670000
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.01,都市：商,100000,722,持分移轉,06900000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.89,都市：住,100000,1752,持分移轉,05180070
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.18,都市：商,100000,722,持分移轉,06910000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.24,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02680000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.75,都市：住,100000,1752,持分移轉,05180071
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.12,都市：商,100000,722,持分移轉,06920000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.53,都市：住,100000,1752,持分移轉,05180072
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.48,都市：商,100000,722,持分移轉,06930000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.19,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02690000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.84,都市：住,100000,1752,持分移轉,05180073
RPUNMLPKNHKGFBA08CB,玉泉段一小段,.38,都市：商,100000,722,持分移轉,06940000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.15,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02700000
RPPNMLLLNHKGFBA27CB,雙連段二小段,.16,都市：住,100000,1752,持分移轉,05180074
RPUNMLTKNHKGFBA48CB,迪化段二小段,.27,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02710000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.38,都市：住,100000,1752,持分移轉,05180075
RPUNMLTKNHKGFBA48CB,迪化段二小段,.24,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02720000
RPPNMLLLNHKGFBA27CB,雙連段二小段,1.30,都市：住,100000,1752,持分移轉,05180076
RPUNMLTKNHKGFBA48CB,迪化段二小段,.17,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02730000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.17,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02740000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.24,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02750000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.23,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02760000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.18,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02770000
RPVNMLTKNHKGFBA58CB,城中段二小段,.61,都市：商,100000,469,持分移轉,04210000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.19,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02780000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.26,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02790000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.20,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02810000
RPVNMLTKNHKGFBA58CB,城中段二小段,.09,都市：商,100000,469,持分移轉,04220000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.03,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02830000
RPVNMLTKNHKGFBA58CB,城中段二小段,.60,都市：商,100000,469,持分移轉,04230000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.12,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02840000
RPVNMLTKNHKGFBA58CB,城中段二小段,.09,都市：商,100000,469,持分移轉,04240000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.04,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02850000
RPVNMLTKNHKGFBA58CB,城中段二小段,.56,都市：商,100000,469,持分移轉,04250000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.07,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02860000
RPVNMLTKNHKGFBA58CB,城中段二小段,.08,都市：商,100000,469,持分移轉,04260000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.15,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02870000
RPUNMLTKNHKGFBA48CB,迪化段二小段,.14,都市：其他:特定專用區(供一般商業使用),100000,284,持分移轉,02880000
RPPNMLKLNHKGFAA17DB,南海段五小段,16.15,都市：其他:商特,10000,299,持分移轉,05060002
RPQNMLMLNHKGFBA47CB,漢中段二小段,.86,都市：商,10000,107,持分移轉,00930000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.19,都市：商,10000,107,持分移轉,00940000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.19,都市：商,10000,107,持分移轉,00950000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.79,都市：商,10000,107,持分移轉,00960000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.74,都市：商,10000,107,持分移轉,00970000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.18,都市：商,10000,107,持分移轉,00980000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.21,都市：商,10000,107,持分移轉,00990000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.92,都市：商,10000,107,持分移轉,01000000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.16,都市：商,10000,107,持分移轉,01190000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.42,都市：商,10000,107,持分移轉,01200000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.71,都市：商,10000,107,持分移轉,01210000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.22,都市：商,10000,107,持分移轉,01220000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.35,都市：商,10000,107,持分移轉,01230000
RPQNMLMLNHKGFBA47CB,漢中段二小段,.52,都市：商,10000,107,持分移轉,01240000
RPRNMLMLNHKGFBA57CB,橋北段三小段,1.29,都市：住,100000,1466,持分移轉,06840000
RPRNMLMLNHKGFBA57CB,橋北段三小段,2.24,都市：住,100000,1466,持分移轉,06850000
RPRNMLMLNHKGFBA57CB,橋北段三小段,1.13,都市：住,100000,1466,持分移轉,07020000
RPRNMLMLNHKGFBA57CB,橋北段三小段,1.16,都市：住,100000,1466,持分移轉,07030000
RPSNMLMLNHKGFBA67CB,橋北段三小段,1.29,都市：住,100000,1466,持分移轉,06840000
RPSNMLMLNHKGFBA67CB,橋北段三小段,2.24,都市：住,100000,1466,持分移轉,06850000
RPSNMLMLNHKGFBA67CB,橋北段三小段,1.13,都市：住,100000,1466,持分移轉,07020000
RPSNMLMLNHKGFBA67CB,橋北段三小段,1.16,都市：住,100000,1466,持分移轉,07030000
RPTNMLMLNHKGFBA77CB,橋北段三小段,1.41,都市：住,100000,1604,持分移轉,06840000
RPTNMLMLNHKGFBA77CB,橋北段三小段,2.45,都市：住,100000,1604,持分移轉,06850000
RPTNMLMLNHKGFBA77CB,橋北段三小段,1.24,都市：住,100000,1604,持分移轉,07020000
RPTNMLMLNHKGFBA77CB,橋北段三小段,1.27,都市：住,100000,1604,持分移轉,07030000
RPRNMLTKNHKGFAA08CB,華興段一小段,29.83,都市：住,1000000,751,持分移轉,04210000
RPRNMLTKNHKGFAA08CB,華興段一小段,.07,都市：住,1000000,751,持分移轉,04290000
RPSNMLTKNHKGFAA18CB,華興段一小段,38.80,都市：住,1000000,977,持分移轉,04210000
RPSNMLTKNHKGFAA18CB,華興段一小段,.10,都市：住,1000000,977,持分移轉,04290000
RPUNMLOKNHKGFAA87CB,華興段一小段,13.15,都市：住,1000000,331,持分移轉,04210000
RPUNMLOKNHKGFAA87CB,華興段一小段,.03,都市：住,1000000,331,持分移轉,04290000
RPPNMLTKNHKGFFA38CB,通化段一小段,10.06,都市：商,100000,455,持分移轉,01130000
RPPNMLTKNHKGFFA38CB,通化段一小段,1.68,都市：商,100000,455,持分移轉,01130001
RPPNMLTKNHKGFFA38CB,通化段一小段,.85,都市：商,100000,455,持分移轉,01200000
RPPNMLTKNHKGFFA38CB,通化段一小段,.73,都市：商,100000,455,持分移轉,01210000
RPPNMLTKNHKGFFA38CB,通化段一小段,.09,都市：商,100000,455,持分移轉,01220000
RPPNMLTKNHKGFFA38CB,通化段一小段,.59,都市：商,100000,455,持分移轉,01220001
RPPNMLTKNHKGFFA38CB,通化段一小段,.61,都市：商,100000,455,持分移轉,01230000
RPPNMLTKNHKGFFA38CB,通化段一小段,.01,都市：商,100000,455,持分移轉,01240000
RPPNMLTKNHKGFFA38CB,通化段一小段,1.13,都市：商,100000,455,持分移轉,01250000
RPPNMLTKNHKGFFA38CB,通化段一小段,2.14,都市：商,100000,455,持分移轉,01260000
RPPNMLTKNHKGFFA38CB,通化段一小段,1.09,都市：商,100000,455,持分移轉,01260001
RPPNMLTKNHKGFFA38CB,通化段一小段,.16,都市：商,100000,455,持分移轉,01260002
RPPNMLTKNHKGFFA38CB,通化段一小段,.33,都市：商,100000,455,持分移轉,01290000
RPPNMLTKNHKGFFA38CB,通化段一小段,.00,都市：商,100000,455,持分移轉,01300000
RPPNMLTKNHKGFFA38CB,通化段一小段,.54,都市：商,100000,455,持分移轉,01310000
RPPNMLTKNHKGFFA38CB,通化段一小段,.83,都市：商,100000,455,持分移轉,01320000
RPPNMLTKNHKGFFA38CB,通化段一小段,.38,都市：商,100000,455,持分移轉,01330000
RPPNMLTKNHKGFFA38CB,通化段一小段,.15,都市：商,100000,455,持分移轉,01330001
RPPNMLTKNHKGFFA38CB,通化段一小段,.45,都市：商,100000,455,持分移轉,01330002
RPQNMLTKNHKGFEA38CB,新洲美段,10.52,都市：其他:住商混合區,100000,846,持分移轉,00960000
RPQNMLTKNHKGFEA38CB,新洲美段,10.52,都市：其他:住商混合區,100000,846,持分移轉,00970000
RPSNMLOKNHKGFAA67CB,華興段一小段,27.48,都市：住,1000000,692,持分移轉,04210000
RPSNMLOKNHKGFAA67CB,華興段一小段,.07,都市：住,1000000,692,持分移轉,04290000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.07,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02540000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.21,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02550000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.17,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02560000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.06,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02570000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.06,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02580000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.15,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02590000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.15,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02600000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.06,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02610000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.06,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02620000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.10,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02630000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.08,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02640000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.11,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02650000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.21,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02660000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.42,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02670000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.30,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02680000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.23,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02690000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.19,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02700000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.34,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02710000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.30,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02720000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.22,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02730000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.22,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02740000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.30,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02750000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.29,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02760000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.23,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02770000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.24,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02780000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.32,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02790000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.25,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02810000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.03,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02830000
RPQNMLTKNHKGFBA08CB,迪化段二小段,.15,都市：其他:特定專用區(供一般商業使用),100000,356,持分移轉,02840000
