鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
松山區,租賃房屋,臺北市松山區八德路四段７６５號３樓之１０,0.0,,,,1140512,土地0建物0車位0,三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860613,22.73,2,0,2,有,有,無,13400,590,,0.0,0,套房B室續租案件；,RPQNMLMKNHKGFDA67CC,分租套房,有,1140601~1150531,有,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般代管
松山區,租賃房屋,臺北市松山區八德路四段７６５號３樓之７,0.0,,,,1140512,土地0建物0車位0,三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860613,30.68,2,2,2,有,有,有,14600,476,,0.0,0,D套房續租案件；,RPSNMLMKNHKGFDA87CC,分租套房,有,1140516~1150515,有,冷氣、洗衣機、電視機、冰箱、網路,一般代管
文山區,租賃房屋,臺北市文山區羅斯福路五段１７０巷３弄７號５樓,0.0,,,,1140512,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671202,99.96,3,1,1,有,無,有,28000,280,,0.0,0,續租案件；,RPRNMLNKNHKGFAA57CC,整棟(戶)出租,無,1140525~1150524,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,臺北市中山區中山北路１段５３巷１２號５樓之１,0.0,,,,1140512,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711108,31.64,1,1,1,有,有,有,15800,499,,0.0,0,,RPWNMLNKNHKGFCA28CC,獨立套房,有,1140515~1150514,有,冷氣、洗衣機、電視機、冰箱,社會住宅代管
內湖區,租賃房屋,臺北市內湖區文德路１１３號１樓,0.0,,,,1140512,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0730111,55.29,0,0,0,無,無,無,51200,926,,0.0,0,分租1樓全部租金總額含稅；租賃建物部分範圍，且未計入共有部分面積；,RPUOMLNKNHKGFCA18CC,,無,1140605~1170604,無,,
松山區,租賃房屋,臺北市松山區八德路四段７６５號２樓之１１,0.0,,,,1140511,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860613,41.0,2,0,2,有,有,有,15700,383,,0.0,0,續租案件；,RPWNMLNKNHKGFDA38CC,整棟(戶)出租,有,1140511~1150510,有,冷氣、洗衣機、電視機、冰箱,一般代管
松山區,租賃房屋,臺北市松山區南京東路五段２３９號７樓,0.0,,,,1140512,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,97.98,2,1,1,有,有,有,47150,481,,0.0,0,,RPXNMLNKNHKGFDA48CC,整棟(戶)出租,有,1140516~1160515,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
信義區,租賃房屋,臺北市信義區松德路１１８巷３號,0.0,,,,1140512,土地0建物1車位0,二層,24,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831006,72.0,1,1,1,有,有,無,38000,528,,0.0,0,僅承租2樓租金總額含稅；管理費；,RPROMLNKNHKGFDA97CC,,無,1140601~1170531,有,,
北投區,租賃房屋,臺北市北投區文林北路３０６號２０樓之１,0.0,,,,1140512,土地0建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040213,167.0,3,1,2,有,有,有,94888,568,,0.0,0,租金總額含管理費；網路費；其他租金內含所得稅、健保補充保費、有線電視；,RPSNMLNKNHKGFEA08CC,整棟(戶)出租,有,1140515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
