編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLOKNHKGFCB58CC,坡道平面,0,23.86,地下一樓
RPOPMLOKNHKGFCB87CC,坡道平面,0,17.88,地下二樓
RPPNMLPKNHKGFBB77CC,坡道平面,3500,26.20,地下二樓
RPSPMLPKNHKGFBB28CC,坡道平面,3000,25.30,地下三樓
RPOPMLPKNHKGFBB87CC,坡道平面,2000,23.87,地下一樓
RPROMLPKNHKGFCB18CC,坡道平面,0,1.31,一樓
RPRNMLQKNHKGFBB08CC,坡道平面,3000,31.79,地下三樓
RPUNMLQKNHKGFBB38CC,坡道平面,2000,27.60,地下三樓
RPSPMLQKNHKGFBB38CC,坡道平面,3000,31.79,地下三樓
RPUPMLQKNHKGFBB58CC,坡道平面,3000,32.04,地下三樓
RPXOMLOKNHKGFFB98CC,坡道平面,1100,35.86,地下二樓
RPUNMLPKNHKGFFB68CC,坡道平面,1200,37.29,地下二樓
RPUNMLQKNHKGFCB48CC,坡道平面,0,31.86,地下二樓
RPPNMLPKNHKGFJB58CC,坡道平面,3000,26.01,地下三樓
RPPNMLTKNHKGFAB08CC,坡道平面,2150,38.20,地下一樓
RPSNMLTKNHKGFBB48CC,坡道平面,0,34.66,地下四樓
RPUNMLTKNHKGFBB68CC,坡道機械,0,,地下三樓
RPPOMLTKNHKGFBB28CC,坡道平面,2500,27.60,地下三樓
RPTNMLTKNHKGFCB68CC,坡道機械,0,21.01,地下五樓含以下
RPQNMLTKNHKGFFB68CC,坡道平面,0,25.22,地下一樓
RPRNMLTKNHKGFFB78CC,坡道平面,0,29.59,地下三樓
RPSNMLTKNHKGFFB88CC,坡道平面,2000,34.35,地下二樓
RPTNMLTKNHKGFFB98CC,坡道平面,2000,33.76,地下二樓
RPPNMLKLNHKGFBB37CC,坡道機械,3000,9.29,地下一樓
RPQNMLKLNHKGFFB87CC,坡道平面,1756,26.54,地下一樓
RPOOMLTKNHKGFIB88CC,坡道平面,3000,17.58,地下一樓
RPQNMLKLNHKGFIB18CC,坡道平面,2000,24.76,地下三樓
RPRNMLTKNHKGFIB09CC,坡道平面,0,,地下一樓
RPOPMLKLNHKGFIB18CC,坡道平面,500,24.76,地下二樓
RPPOMLLLNHKGFAB47CC,坡道平面,0,,地下二樓
RPQOMLLLNHKGFAB57CC,坡道平面,0,21.20,地下二樓
RPXOMLLLNHKGFBB38CC,坡道平面,2000,42.50,地下一樓
RPWOMLLLNHKGFBB28CC,坡道平面,1600,21.58,地下二樓
RPRNMLLLNHKGFCB77CC,坡道機械,2500,13.92,地下四樓
RPUNMLLLNHKGFCB08CC,坡道平面,0,23.17,地下二樓
RPOPMLLLNHKGFCB67CC,坡道平面,4000,14.76,地下五樓含以下
RPQPMLLLNHKGFCB87CC,坡道平面,0,17.27,地下四樓
RPQPMLLLNHKGFCB87CC,坡道平面,0,17.27,地下四樓
RPRPMLLLNHKGFCB97CC,坡道平面,4000,17.27,地下四樓
RPQNMLLLNHKGFFB97CC,坡道平面,0,24.94,地下四樓
RPWOMLLLNHKGFIB98CC,坡道平面,0,32.54,地下二樓
RPXOMLLLNHKGFIB09CC,坡道平面,0,29.78,地下二樓
