編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLQJQHKGFDC88DA,觀音段,24.40,都市：其他:商業區,5,1,持分移轉,06300000
UPSOMLSKQHKGFDC66DA,港濱段,3.08,都市：其他:商業區(商一),24,1,持分移轉,13820000
WPSOMLSKQHKGFDC86DA,港濱段,3.08,都市：其他:商業區(商一),24,1,持分移轉,13820000
UPSOMLSKQHKGFDC66DA,港濱段,.04,都市：其他:商業區(商一),24,1,持分移轉,13820001
WPSOMLSKQHKGFDC86DA,港濱段,.04,都市：其他:商業區(商一),24,1,持分移轉,13820001
VPSOMLSKQHKGFDC76DA,港濱段,3.08,都市：其他:商業區(商一),24,1,持分移轉,13820000
RPSOMLSKQHKGFDC98DA,港濱段,9.25,都市：其他:商業區(商一),8,1,持分移轉,13820000
RPROMLSKQHKGFDC88DA,港濱段,4.62,都市：其他:商業區(商一),16,1,持分移轉,13820000
RPUOMLSKQHKGFDC56DA,港濱段,4.62,都市：其他:商業區(商一),16,1,持分移轉,13820000
RPSOMLSKQHKGFDC98DA,港濱段,.12,都市：其他:商業區(商一),8,1,持分移轉,13820001
RPUOMLSKQHKGFDC56DA,港濱段,.06,都市：其他:商業區(商一),16,1,持分移轉,13820001
VPSOMLSKQHKGFDC76DA,港濱段,.04,都市：其他:商業區(商一),24,1,持分移轉,13820001
RPVNMLTKQHKGFDC66DA,調和段,22.06,都市：其他:住宅區(住二),10000,13,持分移轉,14140000
RPVNMLTKQHKGFDC66DA,調和段,.00,都市：其他:道路用地,10000,13,持分移轉,14140001
RPOOMLTKQHKGFDC68DA,長潭段,13.11,都市：其他:住宅區(住二),100000,48,持分移轉,08920000
SPROMLSKQHKGFDC98DA,港濱段,4.62,都市：其他:商業區(商一),16,1,持分移轉,13820000
SPSOMLSKQHKGFDC09DA,港濱段,4.62,都市：其他:商業區(商一),16,1,持分移轉,13820000
SPSOMLSKQHKGFDC09DA,港濱段,.06,都市：其他:商業區(商一),16,1,持分移轉,13820001
RPVNMLSJQHKGFDC09DA,調和段,5.93,都市：其他:住宅區(住二),100000,41,持分移轉,14130000
RPPNMLPKQHKGFDC28DA,基瑞段,16.05,都市：其他:乙種工業區,1,1,全筆移轉,05680000
RPXQMLPKQHKGFDC76DA,溪頭段,.79,都市：其他:倉儲區,720,2,持分移轉,00450000
RPXQMLPKQHKGFDC76DA,溪頭段,23.14,都市：其他:倉儲區,8640,24,持分移轉,00510000
RPXQMLPKQHKGFDC76DA,溪頭段,8.99,都市：其他:倉儲區,8640,24,持分移轉,00820000
RPXQMLPKQHKGFDC76DA,溪頭段,.42,都市：其他:倉儲區,8640,24,持分移轉,00830000
RPXQMLPKQHKGFDC76DA,溪頭段,2.17,都市：其他:倉儲區,8640,24,持分移轉,00850000
RPXQMLPKQHKGFDC76DA,溪頭段,5.23,都市：其他:倉儲區,8640,24,持分移轉,00880000
RPXQMLPKQHKGFDC76DA,溪頭段,.09,都市：其他:道路用地,720,2,持分移轉,00890000
RPXQMLPKQHKGFDC76DA,溪頭段,.27,都市：其他:道路用地,720,2,持分移轉,00900000
